id,occ,momage,anti,female,childage,hispanic,black,momwork,married,self,pov
CP,B,16,0,F,10.0,N,N,N,Y,22.0,N
CP,C,16,2,F,10.0,N,N,N,Y,20.0,N
CQ,A,19,1,M,9.833333,N,N,N,N,14.0,N
CQ,B,19,2,M,9.833333,N,N,N,N,16.0,N
CQ,C,19,4,M,9.833333,N,N,N,N,16.0,N
CR,A,22,0,M,8.333333,N,N,N,N,23.0,N
CR,B,22,0,M,8.333333,N,N,N,N,23.0,N
CR,C,22,0,M,8.333333,N,N,N,N,24.0,N
CS,A,24,1,F,8.583333,N,N,N,N,21.0,N
CS,B,24,1,F,8.583333,N,N,N,N,23.0,N
CS,C,24,0,F,8.583333,N,N,N,N,24.0,N
CT,A,20,4,M,9.583333,N,Y,Y,N,20.0,N
CT,B,20,3,M,9.583333,N,Y,Y,N,23.0,N
CT,C,20,3,M,9.583333,N,Y,Y,N,23.0,N
CU,A,23,1,F,8.0,N,N,Y,N,21.0,N
CU,B,23,0,F,8.0,N,N,Y,N,22.0,N
CU,C,23,0,F,8.0,N,N,Y,N,24.0,Y
CV,A,24,1,M,8.166667,N,Y,N,Y,18.0,N
CV,B,24,2,M,8.166667,N,Y,N,Y,24.0,Y
CV,C,24,2,M,8.166667,N,Y,N,Y,22.0,Y
CW,A,19,0,F,9.5,N,Y,N,Y,18.0,Y
CW,B,19,0,F,9.5,N,Y,N,Y,24.0,Y
CW,C,19,5,F,9.5,N,Y,N,Y,16.0,N
CX,A,23,0,M,8.333333,N,N,N,N,23.0,N
CX,B,23,0,M,8.333333,N,N,N,N,23.0,N
CX,C,23,0,M,8.333333,N,N,N,N,24.0,N
CY,A,20,4,F,9.25,N,N,N,N,24.0,Y
CY,B,20,4,F,9.25,N,N,N,N,18.0,Y
CY,C,20,3,F,9.25,N,N,N,N,16.0,Y
CZ,A,22,0,M,9.833333,N,N,N,N,20.0,N
CZ,B,22,0,M,9.833333,N,N,N,N,18.0,N
CZ,C,22,0,M,9.833333,N,N,N,N,18.0,N
Ca,A,22,2,F,9.333333,Y,N,Y,N,20.0,Y
Ca,B,22,0,F,9.333333,Y,N,Y,N,24.0,Y
Ca,C,22,5,F,9.333333,Y,N,Y,N,18.0,Y
Cb,A,24,0,M,8.833333,N,N,N,N,22.0,N
Cb,B,24,0,M,8.833333,N,N,N,N,24.0,N
Cb,C,24,0,M,8.833333,N,N,N,N,19.0,N
Cc,A,23,0,F,9.666667,Y,N,Y,Y,18.0,Y
Cc,B,23,0,F,9.666667,Y,N,Y,Y,21.0,Y
Cc,C,23,0,F,9.666667,Y,N,Y,Y,16.0,N
Cd,A,24,1,M,8.416667,Y,N,Y,Y,17.0,Y
Cd,B,24,0,M,8.416667,Y,N,Y,Y,23.0,Y
Cd,C,24,0,M,8.416667,Y,N,Y,Y,24.0,N
Ce,A,18,1,M,9.833333,N,N,N,N,22.0,N
Ce,B,18,3,M,9.833333,N,N,N,N,20.0,N
Ce,C,18,4,M,9.833333,N,N,N,N,17.0,N
Cf,A,23,1,M,8.75,N,N,N,N,23.0,N
Cf,B,23,0,M,8.75,N,N,N,N,21.0,N
Cf,C,23,3,M,8.75,N,N,N,N,22.0,N
Cg,A,23,3,M,9.75,N,Y,N,N,23.0,Y
Cg,B,23,4,M,9.75,N,Y,N,N,22.0,Y
Cg,C,23,6,M,9.75,N,Y,N,N,19.0,N
Ch,A,17,0,F,8.083333,N,Y,Y,N,23.0,Y
Ch,B,17,1,F,8.083333,N,Y,Y,N,24.0,N
Ch,C,17,0,F,8.083333,N,Y,Y,N,24.0,N
Ci,A,19,2,M,8.166667,N,N,N,N,21.0,N
Ci,B,19,3,M,8.166667,N,N,N,N,24.0,N
Ci,C,19,4,M,8.166667,N,N,N,N,20.0,N
Cj,A,19,1,F,8.166667,N,N,N,Y,21.0,N
Cj,B,19,1,F,8.166667,N,N,N,Y,23.0,N
Cj,C,19,4,F,8.166667,N,N,N,Y,18.0,N
Ck,A,23,4,F,8.416667,N,N,Y,N,22.0,N
Ck,B,23,2,F,8.416667,N,N,Y,N,24.0,N
Ck,C,23,5,F,8.416667,N,N,Y,N,24.0,N
Cl,A,17,0,M,9.666667,N,Y,N,Y,20.0,N
Cl,B,17,1,M,9.666667,N,Y,N,Y,23.0,N
Cl,C,17,0,M,9.666667,N,Y,N,Y,20.0,Y
Cm,A,18,0,M,8.166667,N,Y,N,Y,21.0,N
Cm,B,18,0,M,8.166667,N,Y,N,Y,22.0,N
Cm,C,18,0,M,8.166667,N,Y,N,Y,23.0,Y
Cn,A,24,2,F,8.0,N,Y,N,N,24.0,Y
Cn,B,24,4,F,8.0,N,Y,N,N,24.0,Y
Cn,C,24,3,F,8.0,N,Y,N,N,24.0,Y
Co,A,25,0,F,8.666667,N,N,N,N,23.0,N
Co,B,25,1,F,8.666667,N,N,N,N,21.0,N
Co,C,25,1,F,8.666667,N,N,N,N,20.0,N
Cp,A,22,1,M,9.916667,N,N,N,N,19.0,N
Cp,B,22,0,M,9.916667,N,N,N,N,24.0,N
Cp,C,22,0,M,9.916667,N,N,N,N,24.0,N
Cq,A,19,3,F,9.25,N,N,N,N,21.0,N
Cq,B,19,4,F,9.25,N,N,N,N,20.0,N
Cq,C,19,4,F,9.25,N,N,N,N,16.0,N
Cr,A,22,1,M,8.833333,N,Y,N,N,20.0,N
Cr,B,22,3,M,8.833333,N,Y,N,N,19.0,N
Cr,C,22,2,M,8.833333,N,Y,N,N,10.0,N
Cs,A,17,1,F,9.583333,N,N,N,N,19.0,N
Cs,B,17,0,F,9.583333,N,N,N,N,19.0,N
Cs,C,17,0,F,9.583333,N,N,N,N,16.0,N
Ct,A,23,0,F,9.083333,N,N,Y,N,16.0,N
Ct,B,23,1,F,9.083333,N,N,Y,N,19.0,N
Ct,C,23,0,F,9.083333,N,N,Y,N,14.0,N
Cu,A,22,2,M,8.083333,N,N,N,N,20.0,N
Cu,B,22,4,M,8.083333,N,N,N,N,21.0,N
Cu,C,22,3,M,8.083333,N,N,N,N,20.0,N
Cv,A,21,4,M,9.916667,N,N,Y,N,22.0,Y
Cv,B,21,3,M,9.916667,N,N,Y,N,21.0,N
Cv,C,21,3,M,9.916667,N,N,Y,N,23.0,N
Cw,A,20,4,M,9.666667,N,N,Y,N,22.0,N
Cw,B,20,2,M,9.666667,N,N,Y,N,24.0,N
Cw,C,20,5,M,9.666667,N,N,Y,N,24.0,N
Cx,A,22,1,F,9.75,N,N,N,N,18.0,N
Cx,B,22,1,F,9.75,N,N,N,N,21.0,N
Cx,C,22,2,F,9.75,N,N,N,N,16.0,N
Cy,A,21,0,F,9.166667,N,N,N,N,21.0,N
Cy,B,21,0,F,9.166667,N,N,N,N,19.0,N
Cy,C,21,1,F,9.166667,N,N,N,N,23.0,N
Cz,A,20,3,M,9.583333,N,N,Y,N,19.0,Y
Cz,B,20,1,M,9.583333,N,N,Y,N,22.0,Y
Cz,C,20,3,M,9.583333,N,N,Y,N,17.0,Y
D0,A,19,0,M,9.416667,N,N,N,N,17.0,N
D0,B,19,0,M,9.416667,N,N,N,N,19.0,N
D0,C,19,2,M,9.416667,N,N,N,N,18.0,N
D1,A,21,3,M,8.416667,N,Y,N,N,23.0,Y
D1,B,21,2,M,8.416667,N,Y,N,N,24.0,Y
D1,C,21,3,M,8.416667,N,Y,N,N,24.0,Y
D2,A,21,0,M,9.583333,Y,N,N,Y,24.0,Y
D2,B,21,0,M,9.583333,Y,N,N,Y,24.0,Y
D2,C,21,1,M,9.583333,Y,N,N,Y,20.0,Y
D3,A,22,0,F,8.666667,Y,N,N,Y,16.0,Y
D3,B,22,0,F,8.666667,Y,N,N,Y,24.0,Y
D3,C,22,2,F,8.666667,Y,N,N,Y,18.0,Y
D4,A,21,2,M,9.0,N,N,N,N,19.0,N
D4,B,21,3,M,9.0,N,N,N,N,20.0,N
D4,C,21,1,M,9.0,N,N,N,N,23.0,N
D5,A,22,0,M,8.916667,N,N,N,N,22.0,N
D5,B,22,0,M,8.916667,N,N,N,N,24.0,N
D5,C,22,2,M,8.916667,N,N,N,N,24.0,N
D6,A,23,4,M,9.333333,N,N,N,N,18.0,Y
D6,B,23,3,M,9.333333,N,N,N,N,21.0,N
D6,C,23,3,M,9.333333,N,N,N,N,22.0,Y
D7,A,20,0,F,8.416667,N,N,N,N,24.0,N
D7,B,20,0,F,8.416667,N,N,N,N,24.0,N
D7,C,20,0,F,8.416667,N,N,N,N,21.0,N
D8,A,23,0,M,9.916667,N,N,Y,N,24.0,N
D8,B,23,0,M,9.916667,N,N,Y,N,24.0,N
D8,C,23,0,M,9.916667,N,N,Y,N,24.0,N
D9,A,23,3,F,8.583333,N,Y,N,N,18.0,Y
D9,B,23,2,F,8.583333,N,Y,N,N,19.0,Y
D9,C,23,2,F,8.583333,N,Y,N,N,24.0,Y
DA,A,20,1,M,9.0,N,Y,N,Y,18.0,Y
DA,B,20,1,M,9.0,N,Y,N,Y,19.0,Y
DA,C,20,1,M,9.0,N,Y,N,Y,19.0,N
DB,A,19,0,M,9.5,N,N,N,N,16.0,N
DB,B,19,2,M,9.5,N,N,N,N,19.0,N
DB,C,19,0,M,9.5,N,N,N,N,15.0,N
DC,A,22,3,F,8.5,N,N,N,N,17.0,N
DC,B,22,0,F,8.5,N,N,N,N,23.0,N
DC,C,22,3,F,8.5,N,N,N,N,23.0,N
DD,A,20,4,F,10.0,N,N,Y,Y,17.0,Y
DD,B,20,3,F,10.0,N,N,Y,Y,15.0,N
DD,C,20,3,F,10.0,N,N,Y,Y,21.0,N
DE,A,23,2,M,9.0,N,Y,Y,N,21.0,N
DE,B,23,1,M,9.0,N,Y,Y,N,19.0,Y
DE,C,23,2,M,9.0,N,Y,Y,N,19.0,Y
DF,A,22,4,M,8.416667,N,Y,Y,N,15.0,N
DF,B,22,4,M,8.416667,N,Y,Y,N,24.0,N
DF,C,22,3,M,8.416667,N,Y,Y,N,21.0,N
DG,A,23,6,M,8.5,N,N,N,Y,20.0,N
DG,B,23,5,M,8.5,N,N,N,Y,11.0,N
DG,C,23,0,M,8.5,N,N,N,Y,12.0,N
DH,A,22,2,M,8.833333,N,Y,N,Y,21.0,N
DH,B,22,0,M,8.833333,N,Y,N,Y,23.0,N
DH,C,22,0,M,8.833333,N,Y,N,Y,24.0,N
DI,A,19,1,M,9.083333,N,N,N,Y,24.0,N
DI,B,19,1,M,9.083333,N,N,N,Y,19.0,N
DI,C,19,1,M,9.083333,N,N,N,Y,20.0,Y
DJ,A,23,0,M,9.666667,N,N,Y,N,22.0,N
DJ,B,23,0,M,9.666667,N,N,Y,N,24.0,N
DJ,C,23,0,M,9.666667,N,N,Y,N,22.0,N
DK,A,18,5,M,8.833333,N,N,N,N,22.0,N
DK,B,18,3,M,8.833333,N,N,N,N,22.0,N
DK,C,18,4,M,8.833333,N,N,N,N,21.0,N
DL,A,23,0,M,8.916667,N,N,Y,N,22.0,N
DL,B,23,2,M,8.916667,N,N,Y,N,22.0,N
DL,C,23,1,M,8.916667,N,N,Y,N,24.0,N
DM,A,23,0,M,8.166667,N,Y,N,N,19.0,N
DM,B,23,0,M,8.166667,N,Y,N,N,20.0,N
DM,C,23,0,M,8.166667,N,Y,N,N,22.0,N
DN,A,19,0,F,9.333333,N,Y,N,N,21.0,N
DN,B,19,2,F,9.333333,N,Y,N,N,22.0,N
DN,C,19,0,F,9.333333,N,Y,N,N,23.0,N
DO,A,23,2,M,9.75,N,Y,Y,N,17.0,Y
DO,B,23,2,M,9.75,N,Y,Y,N,19.0,Y
DO,C,23,0,M,9.75,N,Y,Y,N,20.0,Y
DP,A,17,3,F,9.916667,N,Y,N,N,20.0,Y
DP,B,17,3,F,9.916667,N,Y,N,N,21.0,Y
DP,C,17,4,F,9.916667,N,Y,N,N,15.0,Y
DQ,A,19,2,F,9.416667,N,N,N,N,24.0,N
DQ,B,19,0,F,9.416667,N,N,N,N,22.0,N
DQ,C,19,1,F,9.416667,N,N,N,N,22.0,N
DR,A,23,1,F,9.75,N,N,N,N,17.0,N
DR,B,23,0,F,9.75,N,N,N,N,12.0,N
DR,C,23,0,F,9.75,N,N,N,N,16.0,N
DS,A,21,0,F,8.5,N,N,Y,N,19.0,N
DS,B,21,0,F,8.5,N,N,Y,N,22.0,N
DS,C,21,1,F,8.5,N,N,Y,N,24.0,N
DT,A,23,0,M,8.166667,N,N,N,Y,17.0,N
DT,B,23,0,M,8.166667,N,N,N,Y,17.0,N
DT,C,23,1,M,8.166667,N,N,N,Y,24.0,N
DU,A,21,1,F,9.0,N,Y,N,N,23.0,N
DU,B,21,1,F,9.0,N,Y,N,N,19.0,N
DU,C,21,2,F,9.0,N,Y,N,N,15.0,Y
DV,A,18,0,M,9.083333,Y,N,N,Y,16.0,Y
DV,B,18,0,M,9.083333,Y,N,N,Y,23.0,Y
DV,C,18,0,M,9.083333,Y,N,N,Y,20.0,Y
DW,A,23,3,M,9.083333,N,N,Y,N,24.0,N
DW,B,23,2,M,9.083333,N,N,Y,N,24.0,Y
DW,C,23,1,M,9.083333,N,N,Y,N,23.0,Y
DX,A,19,3,M,9.916667,N,Y,Y,N,24.0,N
DX,B,19,5,M,9.916667,N,Y,Y,N,15.0,N
DX,C,19,4,M,9.916667,N,Y,Y,N,24.0,N
DY,A,21,1,M,8.166667,N,Y,Y,N,17.0,N
DY,B,21,1,M,8.166667,N,Y,Y,N,24.0,N
DY,C,21,1,M,8.166667,N,Y,Y,N,23.0,N
DZ,A,24,0,F,8.5,N,N,N,N,22.0,N
DZ,B,24,0,F,8.5,N,N,N,N,23.0,N
DZ,C,24,1,F,8.5,N,N,N,N,24.0,N
Da,A,20,2,M,9.166667,N,N,Y,N,18.0,N
Da,B,20,3,M,9.166667,N,N,Y,N,21.0,N
Da,C,20,3,M,9.166667,N,N,Y,N,19.0,N
Db,A,21,3,M,8.083333,N,N,Y,N,16.0,N
Db,B,21,4,M,8.083333,N,N,Y,N,22.0,N
Db,C,21,2,M,8.083333,N,N,Y,N,22.0,N
Dc,A,22,0,F,9.833333,N,N,N,N,23.0,N
Dc,B,22,2,F,9.833333,N,N,N,N,23.0,N
Dc,C,22,2,F,9.833333,N,N,N,N,15.0,Y
Dd,A,24,0,M,8.416667,N,N,N,N,24.0,N
Dd,B,24,2,M,8.416667,N,N,N,N,24.0,N
Dd,C,24,3,M,8.416667,N,N,N,N,17.0,Y
De,A,22,1,M,9.083333,N,N,N,Y,20.0,Y
De,B,22,2,M,9.083333,N,N,N,Y,22.0,N
De,C,22,1,M,9.083333,N,N,N,Y,20.0,N
Df,A,23,1,M,9.333333,Y,N,Y,Y,22.0,Y
Df,B,23,4,M,9.333333,Y,N,Y,Y,20.0,Y
Df,C,23,3,M,9.333333,Y,N,Y,Y,19.0,Y
Dg,A,19,1,M,9.666667,N,N,Y,N,24.0,N
Dg,B,19,0,M,9.666667,N,N,Y,N,22.0,N
Dg,C,19,4,M,9.666667,N,N,Y,N,21.0,N
Dh,A,20,2,M,8.416667,N,N,N,N,21.0,N
Dh,B,20,3,M,8.416667,N,N,N,N,22.0,N
Dh,C,20,2,M,8.416667,N,N,N,N,23.0,N
Di,A,22,0,F,8.5,N,N,Y,N,20.0,Y
Di,B,22,2,F,8.5,N,N,Y,N,22.0,Y
Di,C,22,6,F,8.5,N,N,Y,N,19.0,Y
Dj,A,22,1,F,8.5,N,N,Y,N,23.0,Y
Dj,B,22,2,F,8.5,N,N,Y,N,17.0,Y
Dj,C,22,6,F,8.5,N,N,Y,N,16.0,Y
Dk,A,20,5,M,9.833333,N,Y,N,Y,19.0,Y
Dk,B,20,4,M,9.833333,N,Y,N,Y,24.0,Y
Dk,C,20,6,M,9.833333,N,Y,N,Y,16.0,Y
Dl,A,20,4,M,9.166667,Y,N,N,Y,19.0,Y
Dl,B,20,4,M,9.166667,Y,N,N,Y,21.0,N
Dl,C,20,2,M,9.166667,Y,N,N,Y,21.0,N
Dm,A,17,2,M,10.0,Y,N,N,N,20.0,N
Dm,B,17,1,M,10.0,Y,N,N,N,12.0,N
Dm,C,17,1,M,10.0,Y,N,N,N,13.0,N
Dn,A,21,2,M,9.583333,N,N,N,N,20.0,N
Dn,B,21,1,M,9.583333,N,N,N,N,17.0,N
Dn,C,21,4,M,9.583333,N,N,N,N,20.0,N
Do,A,21,4,F,8.25,N,N,N,Y,20.0,Y
Do,B,21,3,F,8.25,N,N,N,Y,24.0,Y
Do,C,21,6,F,8.25,N,N,N,Y,21.0,Y
Dp,A,21,2,M,9.833333,N,N,N,N,24.0,N
Dp,B,21,4,M,9.833333,N,N,N,N,23.0,N
Dp,C,21,1,M,9.833333,N,N,N,N,21.0,N
Dq,A,21,2,F,9.083333,N,N,N,N,21.0,N
Dq,B,21,2,F,9.083333,N,N,N,N,19.0,N
Dq,C,21,1,F,9.083333,N,N,N,N,17.0,N
Dr,A,21,1,M,8.833333,N,Y,N,N,20.0,N
Dr,B,21,0,M,8.833333,N,Y,N,N,20.0,N
Dr,C,21,0,M,8.833333,N,Y,N,N,20.0,N
Ds,A,20,3,M,10.0,N,N,N,N,13.0,N
Ds,B,20,3,M,10.0,N,N,N,N,24.0,N
Ds,C,20,3,M,10.0,N,N,N,N,22.0,N
Dt,A,22,2,F,8.416667,N,N,N,N,22.0,N
Dt,B,22,2,F,8.416667,N,N,N,N,22.0,N
Dt,C,22,1,F,8.416667,N,N,N,N,19.0,N
Du,A,20,6,F,8.0,N,N,Y,Y,14.0,Y
Du,B,20,3,F,8.0,N,N,Y,Y,20.0,Y
Du,C,20,3,F,8.0,N,N,Y,Y,20.0,N
Dv,A,23,0,M,9.166667,N,N,N,N,21.0,N
Dv,B,23,0,M,9.166667,N,N,N,N,22.0,N
Dv,C,23,0,M,9.166667,N,N,N,N,24.0,N
Dw,A,20,0,F,8.75,N,N,N,Y,14.0,N
Dw,B,20,0,F,8.75,N,N,N,Y,21.0,N
Dw,C,20,1,F,8.75,N,N,N,Y,18.0,N
Dx,A,19,1,F,8.333333,N,N,N,N,21.0,Y
Dx,B,19,1,F,8.333333,N,N,N,N,18.0,N
Dx,C,19,1,F,8.333333,N,N,N,N,18.0,N
Dy,A,17,0,F,9.666667,N,N,N,Y,21.0,Y
Dy,B,17,0,F,9.666667,N,N,N,Y,22.0,Y
Dy,C,17,0,F,9.666667,N,N,N,Y,23.0,Y
Dz,A,21,1,F,8.0,N,N,N,N,18.0,N
Dz,B,21,0,F,8.0,N,N,N,N,8.0,N
Dz,C,21,1,F,8.0,N,N,N,N,11.0,Y
E0,A,19,0,M,8.166667,N,N,N,N,24.0,N
E0,B,19,1,M,8.166667,N,N,N,N,23.0,N
E0,C,19,1,M,8.166667,N,N,N,N,20.0,Y
E1,A,20,0,F,8.416667,N,N,Y,N,17.0,N
E1,B,20,2,F,8.416667,N,N,Y,N,16.0,N
E1,C,20,3,F,8.416667,N,N,Y,N,17.0,N
E2,A,20,3,F,9.333333,N,N,Y,N,18.0,N
E2,B,20,3,F,9.333333,N,N,Y,N,23.0,N
E2,C,20,5,F,9.333333,N,N,Y,N,12.0,Y
E3,A,23,2,F,8.583333,N,N,N,Y,22.0,N
E3,B,23,0,F,8.583333,N,N,N,Y,24.0,N
E3,C,23,0,F,8.583333,N,N,N,Y,20.0,N
E4,A,21,3,F,9.75,N,Y,N,N,20.0,N
E4,B,21,4,F,9.75,N,Y,N,N,19.0,N
E4,C,21,3,F,9.75,N,Y,N,N,23.0,N
E5,A,21,0,F,8.416667,N,N,N,N,19.0,N
E5,B,21,0,F,8.416667,N,N,N,N,24.0,N
E5,C,21,0,F,8.416667,N,N,N,N,22.0,N
E6,A,24,0,M,8.833333,N,N,N,N,23.0,N
E6,B,24,0,M,8.833333,N,N,N,N,24.0,N
E6,C,24,0,M,8.833333,N,N,N,N,24.0,N
E7,A,22,1,F,8.083333,N,N,N,N,18.0,N
E7,B,22,1,F,8.083333,N,N,N,N,23.0,N
E7,C,22,1,F,8.083333,N,N,N,N,20.0,N
E8,A,25,2,F,8.166667,N,N,Y,N,22.0,N
E8,B,25,1,F,8.166667,N,N,Y,N,18.0,N
E8,C,25,0,F,8.166667,N,N,Y,N,22.0,Y
E9,A,17,0,M,9.166667,N,N,N,N,24.0,Y
E9,B,17,1,M,9.166667,N,N,N,N,24.0,N
E9,C,17,3,M,9.166667,N,N,N,N,24.0,N
EA,A,18,0,F,8.0,N,N,N,N,23.0,Y
EA,B,18,0,F,8.0,N,N,N,N,24.0,N
EA,C,18,1,F,8.0,N,N,N,N,22.0,N
EB,A,22,0,F,9.333333,N,N,N,N,24.0,N
EB,B,22,1,F,9.333333,N,N,N,N,24.0,N
EB,C,22,0,F,9.333333,N,N,N,N,24.0,N
EC,A,20,3,F,8.416667,N,N,N,Y,15.0,N
EC,B,20,1,F,8.416667,N,N,N,Y,21.0,N
EC,C,20,1,F,8.416667,N,N,N,Y,21.0,N
ED,A,23,1,M,9.75,N,N,N,N,24.0,N
ED,B,23,2,M,9.75,N,N,N,N,24.0,N
ED,C,23,5,M,9.75,N,N,N,N,24.0,N
EE,A,23,3,M,8.916667,N,N,N,Y,21.0,Y
EE,B,23,2,M,8.916667,N,N,N,Y,24.0,N
EE,C,23,1,M,8.916667,N,N,N,Y,22.0,N
EF,A,19,2,M,8.083333,N,N,N,N,21.0,N
EF,B,19,5,M,8.083333,N,N,N,N,19.0,N
EF,C,19,4,M,8.083333,N,N,N,N,23.0,N
EG,A,25,0,F,8.083333,N,N,Y,N,23.0,N
EG,B,25,1,F,8.083333,N,N,Y,N,21.0,N
EG,C,25,0,F,8.083333,N,N,Y,N,23.0,N
EH,A,22,0,F,9.666667,N,N,Y,N,20.0,N
EH,B,22,0,F,9.666667,N,N,Y,N,23.0,N
EH,C,22,0,F,9.666667,N,N,Y,N,23.0,N
EI,A,19,1,M,9.25,Y,N,N,N,15.0,N
EI,B,19,3,M,9.25,Y,N,N,N,19.0,N
EI,C,19,2,M,9.25,Y,N,N,N,22.0,N
EJ,A,20,4,M,8.083333,Y,N,N,N,15.0,N
EJ,B,20,3,M,8.083333,Y,N,N,N,11.0,N
EJ,C,20,2,M,8.083333,Y,N,N,N,24.0,N
EK,A,18,0,F,9.75,N,N,Y,N,21.0,Y
EK,B,18,0,F,9.75,N,N,Y,N,19.0,Y
EK,C,18,0,F,9.75,N,N,Y,N,20.0,N
EL,A,20,1,M,9.833333,N,N,N,N,24.0,Y
EL,B,20,0,M,9.833333,N,N,N,N,22.0,Y
EL,C,20,0,M,9.833333,N,N,N,N,22.0,N
EM,A,18,1,F,9.75,N,N,N,N,22.0,N
EM,B,18,1,F,9.75,N,N,N,N,21.0,N
EM,C,18,1,F,9.75,N,N,N,N,21.0,N
EN,A,22,0,F,9.75,N,N,Y,N,14.0,N
EN,B,22,1,F,9.75,N,N,Y,N,19.0,N
EN,C,22,1,F,9.75,N,N,Y,N,18.0,N
EO,A,23,2,F,9.5,N,N,Y,N,20.0,N
EO,B,23,0,F,9.5,N,N,Y,N,23.0,N
EO,C,23,0,F,9.5,N,N,Y,N,23.0,N
EP,A,23,6,M,8.666667,N,N,N,N,24.0,Y
EP,B,23,5,M,8.666667,N,N,N,N,24.0,Y
EP,C,23,6,M,8.666667,N,N,N,N,23.0,Y
EQ,A,22,2,M,9.0,N,N,N,N,23.0,N
EQ,B,22,1,M,9.0,N,N,N,N,24.0,N
EQ,C,22,1,M,9.0,N,N,N,N,24.0,N
ER,A,20,4,M,8.166667,N,N,N,N,22.0,N
ER,B,20,3,M,8.166667,N,N,N,N,17.0,N
ER,C,20,3,M,8.166667,N,N,N,N,24.0,N
ES,A,20,1,M,9.25,N,N,Y,N,21.0,N
ES,B,20,1,M,9.25,N,N,Y,N,23.0,N
ES,C,20,1,M,9.25,N,N,Y,N,24.0,N
ET,A,23,1,M,9.916667,N,N,N,N,20.0,N
ET,B,23,1,M,9.916667,N,N,N,N,15.0,N
ET,C,23,0,M,9.916667,N,N,N,N,16.0,N
EU,A,20,3,M,10.0,N,N,N,N,24.0,N
EU,B,20,3,M,10.0,N,N,N,N,24.0,N
EU,C,20,3,M,10.0,N,N,N,N,20.0,N
EV,A,17,2,M,8.5,N,N,N,N,16.0,N
EV,B,17,1,M,8.5,N,N,N,N,21.0,Y
EV,C,17,1,M,8.5,N,N,N,N,21.0,Y
EW,A,19,3,M,9.5,N,N,Y,N,24.0,Y
EW,B,19,3,M,9.5,N,N,Y,N,24.0,Y
EW,C,19,5,M,9.5,N,N,Y,N,24.0,Y
EX,A,19,0,F,9.333333,N,N,N,N,24.0,N
EX,B,19,2,F,9.333333,N,N,N,N,24.0,N
EX,C,19,0,F,9.333333,N,N,N,N,24.0,N
EY,A,22,2,F,8.25,N,N,N,N,24.0,N
EY,B,22,0,F,8.25,N,N,N,N,18.0,N
EY,C,22,1,F,8.25,N,N,N,N,22.0,N
EZ,A,20,3,M,8.0,N,Y,N,N,19.0,N
EZ,B,20,3,M,8.0,N,Y,N,N,24.0,Y
EZ,C,20,1,M,8.0,N,Y,N,N,24.0,Y
Ea,A,23,1,M,9.666667,N,N,N,N,18.0,N
Ea,B,23,1,M,9.666667,N,N,N,N,22.0,N
Ea,C,23,1,M,9.666667,N,N,N,N,20.0,N
Eb,A,24,1,F,9.083333,N,N,N,N,15.0,N
Eb,B,24,0,F,9.083333,N,N,N,N,19.0,N
Eb,C,24,0,F,9.083333,N,N,N,N,18.0,N
Ec,A,23,0,F,9.0,N,N,N,N,21.0,N
Ec,B,23,0,F,9.0,N,N,N,N,24.0,N
Ec,C,23,1,F,9.0,N,N,N,N,18.0,N
Ed,A,24,0,M,8.0,N,N,N,N,21.0,N
Ed,B,24,0,M,8.0,N,N,N,N,20.0,N
Ed,C,24,0,M,8.0,N,N,N,N,18.0,N
Ee,A,22,3,F,8.583333,N,N,Y,N,20.0,N
Ee,B,22,0,F,8.583333,N,N,Y,N,20.0,N
Ee,C,22,1,F,8.583333,N,N,Y,N,17.0,N
Ef,A,17,2,F,8.166667,N,Y,N,N,17.0,N
Ef,B,17,4,F,8.166667,N,Y,N,N,14.0,Y
Ef,C,17,5,F,8.166667,N,Y,N,N,18.0,N
Eg,A,19,0,M,8.583333,N,N,N,N,14.0,N
Eg,B,19,0,M,8.583333,N,N,N,N,19.0,N
Eg,C,19,2,M,8.583333,N,N,N,N,23.0,N
Eh,A,19,0,F,8.583333,N,N,N,Y,23.0,Y
Eh,B,19,0,F,8.583333,N,N,N,Y,24.0,Y
Eh,C,19,2,F,8.583333,N,N,N,Y,19.0,Y
Ei,A,21,1,F,9.583333,N,N,N,Y,14.0,N
Ei,B,21,0,F,9.583333,N,N,N,Y,24.0,N
Ei,C,21,1,F,9.583333,N,N,N,Y,12.0,N
Ej,A,21,2,F,9.25,N,N,N,N,23.0,N
Ej,B,21,2,F,9.25,N,N,N,N,24.0,N
Ej,C,21,3,F,9.25,N,N,N,N,14.0,N
Ek,A,18,2,M,9.0,N,N,Y,N,24.0,N
Ek,B,18,3,M,9.0,N,N,Y,N,23.0,N
Ek,C,18,3,M,9.0,N,N,Y,N,17.0,N
El,A,21,1,M,8.833333,Y,N,N,N,13.0,N
El,B,21,1,M,8.833333,Y,N,N,N,18.0,N
El,C,21,0,M,8.833333,Y,N,N,N,23.0,N
Em,A,19,1,F,9.583333,Y,N,N,N,17.0,Y
Em,B,19,6,F,9.583333,Y,N,N,N,23.0,Y
Em,C,19,4,F,9.583333,Y,N,N,N,22.0,N
En,A,19,1,F,8.166667,Y,N,N,N,18.0,Y
En,B,19,1,F,8.166667,Y,N,N,N,23.0,Y
En,C,19,0,F,8.166667,Y,N,N,N,23.0,N
Eo,A,19,1,M,9.916667,Y,N,N,N,16.0,Y
Eo,B,19,0,M,9.916667,Y,N,N,N,23.0,Y
Eo,C,19,0,M,9.916667,Y,N,N,N,24.0,N
