district,person,year,score,party,class,age,religion,male
AZ,Cl,1,5,C,B,52,A,F
AZ,Cl,2,3,C,B,52,A,F
AZ,Cl,3,4,C,B,52,A,F
AZ,Cl,4,4,C,B,52,A,F
AZ,Cm,1,7,A,A,78,B,M
AZ,Cm,2,5,A,A,78,B,M
AZ,Cm,3,7,A,A,78,B,M
AZ,Cm,4,6,A,C,78,B,M
AZ,Cn,1,7,C,A,50,A,M
AZ,Cn,2,2,C,C,50,A,M
AZ,Cn,3,7,C,A,50,A,M
AZ,Cn,4,6,C,C,50,A,M
AZ,Co,1,3,C,A,48,C,M
AZ,Co,2,3,C,B,48,C,M
AZ,Co,3,3,C,A,48,C,M
AZ,Co,4,3,E,A,48,C,M
Aa,Cp,1,3,C,B,40,A,F
Aa,Cp,2,7,C,B,40,A,F
Aa,Cp,3,4,C,B,40,A,F
Aa,Cp,4,5,C,B,40,A,F
Aa,Cq,1,6,E,C,40,C,M
Aa,Cq,2,6,B,C,40,C,M
Aa,Cq,3,6,E,C,40,C,M
Aa,Cq,4,6,E,C,40,C,M
Aa,Cr,1,4,A,A,21,A,F
Aa,Cr,2,6,A,A,21,A,F
Aa,Cr,3,6,A,A,21,A,F
Aa,Cr,4,5,A,C,21,A,F
Aa,Cs,1,7,E,A,35,A,F
Aa,Cs,2,7,E,A,35,A,F
Aa,Cs,3,7,E,A,35,A,F
Aa,Cs,4,7,E,C,35,A,F
Aa,Ct,1,7,E,B,37,A,M
Aa,Ct,2,7,E,B,37,A,M
Aa,Ct,3,7,E,B,37,A,M
Aa,Ct,4,7,E,B,37,A,M
Aa,Cu,1,4,A,A,68,D,M
Aa,Cu,2,3,A,A,68,D,M
Aa,Cu,3,4,A,A,68,D,M
Aa,Cu,4,3,A,A,68,D,M
Ab,Cv,1,4,C,C,43,A,F
Ab,Cv,2,3,C,C,43,A,F
Ab,Cv,3,2,C,C,43,A,F
Ab,Cv,4,6,A,C,43,A,F
Ab,Cw,1,7,C,B,20,B,F
Ab,Cw,2,7,C,C,20,B,F
Ab,Cw,3,7,C,C,20,B,F
Ab,Cw,4,7,C,C,20,B,F
Ab,Cx,1,7,C,B,46,A,F
Ab,Cx,2,3,C,B,46,A,F
Ab,Cx,3,3,E,B,46,A,F
Ab,Cx,4,6,C,B,46,A,F
Ab,Cy,1,7,C,B,53,B,F
Ab,Cy,2,7,C,C,53,B,F
Ab,Cy,3,7,C,B,53,B,F
Ab,Cy,4,7,C,B,53,B,F
Ac,Cz,1,4,C,C,66,A,M
Ac,Cz,2,4,C,C,66,A,M
Ac,Cz,3,3,C,B,66,A,M
Ac,Cz,4,6,C,C,66,A,M
Ac,D0,1,7,C,B,51,B,M
Ac,D0,2,7,C,B,51,B,M
Ac,D0,3,7,C,B,51,B,M
Ac,D0,4,7,C,B,51,B,M
Ac,D1,1,6,E,A,49,A,M
Ac,D1,2,4,E,A,49,A,M
Ac,D1,3,6,E,A,49,A,M
Ac,D1,4,6,E,C,49,A,M
Ac,D2,1,3,A,A,74,A,F
Ac,D2,2,4,A,A,74,A,F
Ac,D2,3,4,A,A,74,A,F
Ac,D2,4,3,A,A,74,A,F
Ac,D3,1,7,C,C,58,B,F
Ac,D3,2,7,C,C,58,B,F
Ac,D3,3,7,C,C,58,B,F
Ac,D3,4,7,C,A,58,B,F
Ad,D4,1,7,A,A,39,A,F
Ad,D4,2,3,A,A,39,A,F
Ad,D4,3,7,E,A,39,A,F
Ad,D4,4,7,E,A,39,A,F
Ad,D5,1,3,C,C,66,C,F
Ad,D5,2,3,C,A,66,C,F
Ad,D5,3,3,C,A,66,C,F
Ad,D5,4,6,C,A,66,C,F
Ad,D6,1,5,A,A,21,B,F
Ad,D6,2,6,A,A,21,B,F
Ad,D6,3,7,A,A,21,B,F
Ad,D6,4,6,A,A,21,B,F
Ad,D7,1,5,B,C,27,A,F
Ad,D7,2,4,D,C,27,A,F
Ad,D7,3,3,D,C,27,A,F
Ad,D7,4,6,D,A,27,A,F
Ad,D8,1,7,A,A,40,B,M
Ad,D8,2,7,A,A,40,B,M
Ad,D8,3,7,A,A,40,B,M
Ad,D8,4,5,A,A,40,B,M
Ad,D9,1,7,A,C,73,B,M
Ad,D9,2,3,A,C,73,B,M
Ad,D9,3,7,A,A,73,B,M
Ad,D9,4,7,A,C,73,B,M
Ae,DA,1,5,A,B,70,C,F
Ae,DA,2,3,A,C,70,C,F
Ae,DA,3,3,A,C,70,C,F
Ae,DA,4,3,A,B,70,C,F
Ae,DB,1,3,E,C,51,A,F
Ae,DB,2,3,E,A,51,A,F
Ae,DB,3,3,E,C,51,A,F
Ae,DB,4,4,E,A,51,A,F
Ae,DC,1,3,C,B,65,A,F
Ae,DC,2,2,C,B,65,A,F
Ae,DC,3,4,C,B,65,A,F
Ae,DC,4,3,E,B,65,A,F
Ae,DD,1,7,A,B,51,B,M
Ae,DD,2,6,A,B,51,B,M
Ae,DD,3,7,A,B,51,B,M
Ae,DD,4,7,A,B,51,B,M
Ae,DE,1,6,C,C,49,A,F
Ae,DE,2,3,C,C,49,A,F
Ae,DE,3,6,C,A,49,A,F
Ae,DE,4,6,C,A,49,A,F
Ae,DF,1,6,C,C,49,A,F
Ae,DF,2,3,C,A,49,A,F
Ae,DF,3,4,C,C,49,A,F
Ae,DF,4,5,C,B,49,A,F
Ae,DG,1,3,C,A,71,C,M
Ae,DG,2,2,C,A,71,C,M
Ae,DG,3,5,C,C,71,C,M
Ae,DG,4,6,C,A,71,C,M
Ae,DH,1,7,E,B,23,C,F
Ae,DH,2,6,E,B,23,C,F
Ae,DH,3,7,E,B,23,C,F
Ae,DH,4,6,E,B,23,C,F
Af,DI,1,2,C,C,38,A,F
Af,DI,2,3,C,C,38,A,F
Af,DI,3,3,C,C,38,A,F
Af,DI,4,3,C,C,38,A,F
Af,DJ,1,4,A,A,21,B,F
Af,DJ,2,5,C,A,21,B,F
Af,DJ,3,3,C,A,21,B,F
Af,DJ,4,2,C,A,21,B,F
Ag,DK,1,4,C,B,31,A,F
Ag,DK,2,3,C,B,31,A,F
Ag,DK,3,3,E,C,31,A,F
Ag,DK,4,3,E,A,31,A,F
Ag,DL,1,3,E,C,41,A,F
Ag,DL,2,3,E,A,41,A,F
Ag,DL,3,3,E,A,41,A,F
Ag,DL,4,3,E,A,41,A,F
Ag,DM,1,6,C,B,22,B,M
Ag,DM,2,6,C,B,22,B,M
Ag,DM,3,6,C,C,22,B,M
Ag,DM,4,7,C,B,22,B,M
Ag,DN,1,5,A,C,46,A,F
Ag,DN,2,5,A,C,46,A,F
Ag,DN,3,3,A,B,46,A,F
Ag,DN,4,5,A,B,46,A,F
Ah,DO,1,4,E,C,34,A,F
Ah,DO,2,2,E,B,34,A,F
Ah,DO,3,3,E,B,34,A,F
Ah,DO,4,5,E,B,34,A,F
Ah,DP,1,4,C,A,58,A,F
Ah,DP,2,3,C,A,58,A,F
Ah,DP,3,3,C,C,58,A,F
Ah,DP,4,3,C,C,58,A,F
Ah,DQ,1,5,C,B,39,A,M
Ah,DQ,2,4,C,B,39,A,M
Ah,DQ,3,7,C,B,39,A,M
Ah,DQ,4,7,C,B,39,A,M
Ah,DR,1,7,C,A,51,A,M
Ah,DR,2,7,C,A,51,A,M
Ah,DR,3,7,C,A,51,A,M
Ah,DR,4,7,C,A,51,A,M
Ah,DS,1,4,E,C,34,B,F
Ah,DS,2,3,E,A,34,B,F
Ah,DS,3,3,E,B,34,B,F
Ah,DS,4,3,E,B,34,B,F
Ah,DT,1,1,C,B,29,B,M
Ah,DT,2,1,C,A,29,B,M
Ah,DT,3,1,C,A,29,B,M
Ah,DT,4,1,C,C,29,B,M
Ah,DU,1,7,B,A,53,A,M
Ah,DU,2,7,B,A,53,A,M
Ah,DU,3,7,D,C,53,A,M
Ah,DU,4,7,E,A,53,A,M
Ah,DV,1,3,A,A,52,D,F
Ah,DV,2,2,A,A,52,D,F
Ah,DV,3,7,A,A,52,D,F
Ah,DV,4,3,A,A,52,D,F
Ah,DW,1,3,C,C,24,A,F
Ah,DW,2,3,C,C,24,A,F
Ah,DW,3,4,C,C,24,A,F
Ah,DW,4,4,C,C,24,A,F
Ah,DX,1,3,C,B,39,B,F
Ah,DX,2,7,C,B,39,B,F
Ah,DX,3,7,C,B,39,B,F
Ah,DX,4,6,C,B,39,B,F
Ai,DY,1,3,A,A,40,C,M
Ai,DY,2,3,A,A,40,C,M
Ai,DY,3,1,A,A,40,C,M
Ai,DY,4,4,A,A,40,C,M
Ai,DZ,1,7,A,A,25,A,F
Ai,DZ,2,6,A,A,25,A,F
Ai,DZ,3,6,A,A,25,A,F
Ai,DZ,4,7,A,A,25,A,F
Ai,Da,1,7,C,B,39,A,F
Ai,Da,2,7,C,B,39,A,F
Ai,Da,3,7,C,C,39,A,F
Ai,Da,4,7,C,C,39,A,F
Ai,Db,1,5,C,C,42,A,M
Ai,Db,2,3,C,C,42,A,M
Ai,Db,3,4,C,C,42,A,M
Ai,Db,4,5,C,B,42,A,M
Ai,Dc,1,7,B,A,19,B,M
Ai,Dc,2,2,D,A,19,B,M
Ai,Dc,3,3,D,A,19,B,M
Ai,Dc,4,7,D,A,19,B,M
Ai,Dd,1,7,C,A,35,A,F
Ai,Dd,2,3,C,A,35,A,F
Ai,Dd,3,3,C,A,35,A,F
Ai,Dd,4,3,C,A,35,A,F
Ai,De,1,4,C,C,29,A,F
Ai,De,2,3,C,B,29,A,F
Ai,De,3,7,C,C,29,A,F
Ai,De,4,5,E,C,29,A,F
Ai,Df,1,7,E,A,37,B,F
Ai,Df,2,5,E,C,37,B,F
Ai,Df,3,6,E,A,37,B,F
Ai,Df,4,6,E,B,37,B,F
Aj,Dg,1,7,C,B,36,A,M
Aj,Dg,2,7,C,B,36,A,M
Aj,Dg,3,7,C,B,36,A,M
Aj,Dg,4,7,C,B,36,A,M
Aj,Dh,1,7,B,B,25,B,F
Aj,Dh,2,7,D,B,25,B,F
Aj,Dh,3,7,D,B,25,B,F
Aj,Dh,4,7,D,B,25,B,F
Aj,Di,1,7,C,B,40,C,M
Aj,Di,2,4,C,B,40,C,M
Aj,Di,3,6,C,B,40,C,M
Aj,Di,4,6,C,B,40,C,M
Aj,Dj,1,3,C,B,51,C,F
Aj,Dj,2,7,E,B,51,C,F
Aj,Dj,3,7,C,B,51,C,F
Aj,Dj,4,7,C,B,51,C,F
Ak,Dk,1,6,C,C,31,A,M
Ak,Dk,2,7,C,A,31,A,M
Ak,Dk,3,7,C,A,31,A,M
Ak,Dk,4,3,C,A,31,A,M
Ak,Dl,1,6,C,B,69,A,F
Ak,Dl,2,7,C,B,69,A,F
Ak,Dl,3,5,C,B,69,A,F
Ak,Dl,4,6,C,B,69,A,F
Ak,Dm,1,7,C,B,63,A,M
Ak,Dm,2,7,C,B,63,A,M
Ak,Dm,3,7,C,B,63,A,M
Ak,Dm,4,7,C,B,63,A,M
Ak,Dn,1,5,C,C,58,A,F
Ak,Dn,2,7,C,C,58,A,F
Ak,Dn,3,7,C,C,58,A,F
Ak,Dn,4,6,C,C,58,A,F
Ak,Do,1,7,C,B,37,B,M
Ak,Do,2,6,C,B,37,B,M
Ak,Do,3,7,C,B,37,B,M
Ak,Do,4,7,C,B,37,B,M
Al,Dp,1,2,C,B,35,C,M
Al,Dp,2,2,C,B,35,C,M
Al,Dp,3,2,C,B,35,C,M
Al,Dp,4,2,E,B,35,C,M
Al,Dq,1,6,C,B,24,B,F
Al,Dq,2,4,C,B,24,B,F
Al,Dq,3,5,C,B,24,B,F
Al,Dq,4,5,C,B,24,B,F
Am,Dr,1,6,E,B,24,C,F
Am,Dr,2,3,E,B,24,C,F
Am,Dr,3,4,E,B,24,C,F
Am,Dr,4,4,E,B,24,C,F
Am,Ds,1,7,D,A,36,B,F
Am,Ds,2,4,E,A,36,B,F
Am,Ds,3,4,A,A,36,B,F
Am,Ds,4,6,A,A,36,B,F
Am,Dt,1,7,E,A,54,A,M
Am,Dt,2,7,E,A,54,A,M
Am,Dt,3,6,E,A,54,A,M
Am,Dt,4,6,E,A,54,A,M
Am,Du,1,7,C,B,28,C,F
Am,Du,2,7,C,B,28,C,F
Am,Du,3,6,C,B,28,C,F
Am,Du,4,7,C,B,28,C,F
Am,Dv,1,7,A,C,36,A,F
Am,Dv,2,7,A,A,36,A,F
Am,Dv,3,7,A,A,36,A,F
Am,Dv,4,7,A,A,36,A,F
An,Dw,1,7,E,B,51,B,M
An,Dw,2,7,E,B,51,B,M
An,Dw,3,7,E,B,51,B,M
An,Dw,4,7,E,B,51,B,M
An,Dx,1,7,E,A,40,A,M
An,Dx,2,5,E,A,40,A,M
An,Dx,3,3,E,C,40,A,M
An,Dx,4,6,E,A,40,A,M
An,Dy,1,7,C,C,25,B,F
An,Dy,2,7,C,A,25,B,F
An,Dy,3,6,C,C,25,B,F
An,Dy,4,7,C,C,25,B,F
An,Dz,1,7,E,B,33,B,M
An,Dz,2,7,E,C,33,B,M
An,Dz,3,7,E,B,33,B,M
An,Dz,4,7,E,C,33,B,M
An,E0,1,5,A,A,64,D,F
An,E0,2,4,A,A,64,D,F
An,E0,3,0,A,A,64,D,F
An,E0,4,6,A,A,64,D,F
Ao,E1,1,3,C,B,41,A,M
Ao,E1,2,5,C,B,41,A,M
Ao,E1,3,2,E,A,41,A,M
Ao,E1,4,2,E,B,41,A,M
Ao,E2,1,5,C,C,36,A,F
Ao,E2,2,4,C,C,36,A,F
Ao,E2,3,7,C,B,36,A,F
Ao,E2,4,6,C,B,36,A,F
Ao,E3,1,7,C,A,56,A,F
Ao,E3,2,2,C,A,56,A,F
Ao,E3,3,7,C,A,56,A,F
Ao,E3,4,6,C,A,56,A,F
Ap,E4,1,3,A,C,36,B,M
Ap,E4,2,4,E,A,36,B,M
Ap,E4,3,4,E,C,36,B,M
Ap,E4,4,7,A,C,36,B,M
Ap,E5,1,7,C,C,66,B,F
Ap,E5,2,6,C,A,66,B,F
Ap,E5,3,7,C,A,66,B,F
Ap,E5,4,7,E,A,66,B,F
Ap,E6,1,6,C,B,38,A,F
Ap,E6,2,6,C,B,38,A,F
Ap,E6,3,4,C,B,38,A,F
Ap,E6,4,7,C,B,38,A,F
Aq,E7,1,4,C,C,60,A,M
Aq,E7,2,5,C,C,60,A,M
Aq,E7,3,6,C,C,60,A,M
Aq,E7,4,7,C,C,60,A,M
Aq,E8,1,5,C,A,69,A,M
Aq,E8,2,5,C,A,69,A,M
Aq,E8,3,7,C,A,69,A,M
Aq,E8,4,7,C,A,69,A,M
Aq,E9,1,3,A,A,41,A,F
Aq,E9,2,7,A,A,41,A,F
Aq,E9,3,7,A,A,41,A,F
Aq,E9,4,7,A,A,41,A,F
Aq,EA,1,2,C,C,55,A,M
Aq,EA,2,2,C,C,55,A,M
Aq,EA,3,2,C,C,55,A,M
Aq,EA,4,3,C,C,55,A,M
Ar,EB,1,5,E,A,70,A,F
Ar,EB,2,5,A,A,70,A,F
Ar,EB,3,7,A,A,70,A,F
Ar,EB,4,5,A,A,70,A,F
Ar,EC,1,5,E,A,57,A,F
Ar,EC,2,4,A,C,57,A,F
Ar,EC,3,4,A,B,57,A,F
Ar,EC,4,5,A,A,57,A,F
Ar,ED,1,5,A,A,18,A,M
Ar,ED,2,2,A,A,18,A,M
Ar,ED,3,7,A,A,18,A,M
Ar,ED,4,7,A,A,18,A,M
Ar,EE,1,3,A,A,40,D,F
Ar,EE,2,4,A,A,40,D,F
Ar,EE,3,4,A,A,40,D,F
Ar,EE,4,6,A,A,40,D,F
Ar,EF,1,3,E,A,65,C,M
Ar,EF,2,3,C,A,65,C,M
Ar,EF,3,5,E,C,65,C,M
Ar,EF,4,7,C,A,65,C,M
