schoolid,male,pped,rep,wt1,mses
120316,1,0,1,2,-0.31
120316,1,1,0,2,-0.31
120318,0,0,0,9,0.13
120318,1,0,0,4,0.13
120319,0,0,0,1,-0.2
120319,0,0,1,1,-0.2
120319,0,1,0,4,-0.2
120319,1,0,0,8,-0.2
120319,1,0,1,1,-0.2
120319,1,1,0,6,-0.2
130101,0,0,0,1,0.4
130101,0,1,0,7,0.4
130101,1,1,0,8,0.4
130102,0,0,0,5,-0.23
130102,1,0,0,11,-0.23
130102,1,0,1,4,-0.23
130102,1,1,0,1,-0.23
130103,0,0,0,6,-0.04
130103,1,0,0,11,-0.04
130104,0,0,0,7,-0.42
130104,0,0,1,2,-0.42
130104,1,0,0,7,-0.42
130104,1,0,1,6,-0.42
130105,0,0,0,12,-0.34
130105,0,0,1,2,-0.34
130105,1,0,0,11,-0.34
130106,0,0,0,4,-0.36
130106,0,0,1,2,-0.36
130106,1,0,0,3,-0.36
130106,1,0,1,5,-0.36
130107,0,0,0,11,-0.49
130107,1,0,0,10,-0.49
130107,1,0,1,1,-0.49
130108,0,0,0,6,-0.08
130108,0,1,0,1,-0.08
130108,1,0,0,2,-0.08
130108,1,0,1,2,-0.08
130109,0,0,0,6,-0.54
130109,0,0,1,8,-0.54
130109,1,0,0,8,-0.54
130109,1,0,1,11,-0.54
130110,0,0,0,8,-0.24
130110,0,0,1,1,-0.24
130110,1,0,0,14,-0.24
130110,1,0,1,1,-0.24
130213,0,0,0,6,-0.12
130213,1,0,0,10,-0.12
130213,1,0,1,1,-0.12
130214,0,0,0,9,0.14
130214,1,0,0,5,0.14
130215,0,0,0,2,-0.18
130215,0,0,1,2,-0.18
130215,0,1,0,3,-0.18
130215,0,1,1,1,-0.18
130215,1,0,0,4,-0.18
130215,1,0,1,2,-0.18
130215,1,1,0,3,-0.18
130216,0,0,0,8,-0.33
130216,0,0,1,3,-0.33
130216,1,0,0,14,-0.33
130216,1,0,1,3,-0.33
140101,0,0,0,9,0.05
140101,0,0,1,2,0.05
140101,0,1,0,8,0.05
140101,0,1,1,2,0.05
140101,1,0,0,1,0.05
140101,1,1,0,5,0.05
140205,0,0,0,9,-0.23
140205,1,0,0,12,-0.23
140206,0,0,0,6,-0.22
140206,0,1,0,1,-0.22
140206,1,0,0,9,-0.22
140207,0,0,0,7,0.26
140207,1,0,0,3,0.26
140208,0,0,0,11,-0.15
140208,0,1,0,1,-0.15
140208,1,0,0,8,-0.15
140208,1,1,0,1,-0.15
140209,0,0,0,6,0.54
140209,1,0,0,7,0.54
140210,0,0,0,10,-0.11
140210,1,0,0,8,-0.11
140210,1,0,1,1,-0.11
140211,0,0,0,15,-0.2
140211,1,0,0,7,-0.2
140211,1,1,0,1,-0.2
140313,0,0,0,12,-0.12
140313,0,1,0,1,-0.12
140313,1,0,0,8,-0.12
140313,1,1,0,1,-0.12
140314,0,0,0,8,-0.01
140314,0,1,0,6,-0.01
140314,1,0,0,8,-0.01
140314,1,1,0,8,-0.01
140315,0,0,0,13,-0.09
140315,1,0,0,13,-0.09
140316,0,0,0,7,-0.56
140316,1,0,0,18,-0.56
140317,0,0,0,7,-0.67
140317,0,0,1,1,-0.67
140317,1,0,0,18,-0.67
140318,0,0,0,17,-0.24
140318,1,0,0,13,-0.24
140319,0,0,0,14,-0.36
140319,1,0,0,12,-0.36
140319,1,1,0,1,-0.36
140423,0,0,0,6,0.17
140423,0,1,0,3,0.17
140423,1,0,0,6,0.17
140423,1,1,0,1,0.17
140424,0,0,0,11,0.22
140424,1,0,0,12,0.22
140425,0,0,0,4,-0.3
140425,0,1,0,4,-0.3
140425,0,1,1,2,-0.3
140425,1,0,0,2,-0.3
140425,1,1,0,3,-0.3
140427,0,0,0,15,-0.46
140427,1,0,0,10,-0.46
140427,1,0,1,4,-0.46
140427,1,1,1,1,-0.46
140428,0,0,0,15,0.24
140428,1,0,0,14,0.24
140428,1,1,0,1,0.24
140529,0,0,0,10,-0.13
140529,0,0,1,1,-0.13
140529,1,0,0,11,-0.13
140529,1,0,1,5,-0.13
140529,1,1,0,1,-0.13
140530,0,0,0,10,-0.41
140530,1,0,0,14,-0.41
140531,0,0,0,4,-0.31
140531,1,0,0,8,-0.31
140532,0,0,0,13,-0.29
140532,1,0,0,12,-0.29
140532,1,0,1,2,-0.29
140533,0,0,0,8,-0.65
140533,1,0,0,13,-0.65
140534,0,0,0,13,-0.44
140534,0,1,0,2,-0.44
140534,1,0,0,6,-0.44
140535,0,0,0,6,-0.5
140535,0,0,1,1,-0.5
140535,1,0,0,11,-0.5
140637,0,0,0,2,0.19
140637,0,1,0,8,0.19
140637,1,0,0,7,0.19
140637,1,1,0,8,0.19
140638,0,0,0,10,-0.26
140638,1,0,0,7,-0.26
140639,0,0,0,2,-0.49
140639,0,1,0,11,-0.49
140639,1,0,0,1,-0.49
140639,1,1,0,10,-0.49
140640,0,0,0,8,-0.51
140640,0,1,0,8,-0.51
140640,1,0,0,5,-0.51
140640,1,1,0,3,-0.51
140640,1,1,1,1,-0.51
140641,0,0,0,11,-0.14
140641,0,1,0,1,-0.14
140641,1,0,0,16,-0.14
140642,0,0,0,18,-0.35
140642,0,0,1,1,-0.35
140642,1,0,0,11,-0.35
150101,0,0,0,2,0.64
150101,0,1,0,9,0.64
150101,0,1,1,1,0.64
150101,1,0,1,1,0.64
150101,1,1,0,2,0.64
150101,1,1,1,2,0.64
150102,0,1,0,9,-0.28
150102,0,1,1,2,-0.28
150102,1,1,0,12,-0.28
150102,1,1,1,2,-0.28
150203,0,0,0,7,-0.37
150203,1,0,0,13,-0.37
150203,1,1,0,1,-0.37
150204,0,0,0,6,-0.55
150204,0,0,1,1,-0.55
150204,1,0,0,3,-0.55
150204,1,0,1,2,-0.55
150205,0,0,0,6,-0.43
150205,0,0,1,3,-0.43
150205,1,0,0,2,-0.43
150205,1,0,1,1,-0.43
150206,0,0,0,5,-0.34
150206,1,0,0,11,-0.34
150206,1,0,1,3,-0.34
150207,0,0,0,4,-0.3
150207,0,0,1,4,-0.3
150207,1,0,0,6,-0.3
150207,1,0,1,2,-0.3
150208,0,0,0,11,-0.33
150208,1,0,0,7,-0.33
150210,0,0,0,4,-0.33
150210,0,1,0,1,-0.33
150210,1,0,0,9,-0.33
150211,0,0,0,10,-0.57
150211,1,0,0,12,-0.57
150211,1,1,0,1,-0.57
150212,0,0,0,8,-0.56
150212,0,0,1,1,-0.56
150212,1,0,0,3,-0.56
150212,1,0,1,8,-0.56
150213,0,0,0,12,-0.3
150213,1,0,0,14,-0.3
150214,0,0,0,19,-0.53
150214,1,0,0,11,-0.53
150315,0,0,0,11,-0.14
150315,0,0,1,7,-0.14
150315,1,0,0,5,-0.14
150315,1,0,1,3,-0.14
150316,0,0,0,5,-0.2
150316,1,0,0,6,-0.2
150316,1,0,1,2,-0.2
150317,0,0,1,1,-0.42
150317,0,1,0,6,-0.42
150317,0,1,1,8,-0.42
150317,1,1,1,7,-0.42
150318,0,0,0,1,-0.15
150318,0,0,1,4,-0.15
150318,1,0,0,1,-0.15
150318,1,0,1,4,-0.15
150319,0,0,0,7,-0.04
150319,0,0,1,1,-0.04
150319,0,1,0,1,-0.04
150319,0,1,1,1,-0.04
150319,1,0,0,2,-0.04
150319,1,0,1,1,-0.04
150319,1,1,0,3,-0.04
150320,0,0,0,1,-0.66
150320,0,0,1,6,-0.66
150320,0,1,1,4,-0.66
150320,1,0,0,1,-0.66
150320,1,0,1,4,-0.66
150320,1,1,0,1,-0.66
150320,1,1,1,1,-0.66
150321,0,0,0,2,-0.28
150321,0,1,0,3,-0.28
150321,0,1,1,2,-0.28
150321,1,0,0,1,-0.28
150321,1,0,1,2,-0.28
150321,1,1,0,5,-0.28
150321,1,1,1,6,-0.28
150322,0,1,0,3,-0.12
150322,1,1,0,10,-0.12
150323,0,0,0,10,-0.26
150323,0,1,0,1,-0.26
150323,1,0,0,6,-0.26
150323,1,0,1,1,-0.26
150323,1,1,0,1,-0.26
150324,0,0,1,5,0.02
150324,0,1,0,2,0.02
150324,0,1,1,1,0.02
150324,1,0,1,2,0.02
150324,1,1,0,2,0.02
150325,0,0,0,11,-0.37
150325,0,0,1,1,-0.37
150325,1,0,0,8,-0.37
150325,1,0,1,1,-0.37
150326,0,0,0,4,-0.24
150326,0,0,1,2,-0.24
150326,1,0,0,2,-0.24
150326,1,0,1,5,-0.24
150427,0,0,0,7,-0.38
150427,0,0,1,3,-0.38
150427,1,0,0,15,-0.38
150427,1,0,1,4,-0.38
150428,0,0,0,3,0.07
150428,0,0,1,1,0.07
150428,1,0,0,2,0.07
150429,0,0,1,1,-0.14
150429,0,1,0,11,-0.14
150429,0,1,1,1,-0.14
150429,1,0,0,2,-0.14
150429,1,1,0,8,-0.14
150430,0,0,0,6,-0.22
150430,0,0,1,4,-0.22
150430,1,0,0,4,-0.22
150430,1,0,1,5,-0.22
150432,0,0,0,7,-0.46
150432,0,0,1,1,-0.46
150432,1,0,0,6,-0.46
150432,1,0,1,5,-0.46
150433,0,0,0,14,-0.49
150433,1,0,0,13,-0.49
150434,0,0,0,8,-0.16
150434,1,0,0,7,-0.16
150434,1,0,1,1,-0.16
150436,0,0,0,3,0.03
150436,0,0,1,1,0.03
150436,1,0,0,3,0.03
150436,1,0,1,3,0.03
150539,0,1,0,8,-0.4
150539,1,0,0,2,-0.4
150539,1,1,0,10,-0.4
150540,0,0,0,10,-0.12
150540,0,0,1,1,-0.12
150540,1,0,0,2,-0.12
150541,0,0,0,8,0.19
150541,1,0,0,5,0.19
150542,0,0,0,4,0.01
150542,0,1,0,1,0.01
150542,1,0,0,5,0.01
150542,1,0,1,1,0.01
150543,0,0,0,14,0.0
150543,0,0,1,1,0.0
150543,1,0,0,8,0.0
150543,1,0,1,3,0.0
150544,0,0,0,8,0.57
150544,1,0,0,7,0.57
160101,0,0,0,1,0.05
160101,0,0,1,1,0.05
160101,0,1,0,11,0.05
160101,1,1,0,5,0.05
160101,1,1,1,2,0.05
160202,0,1,0,3,0.48
160202,0,1,1,2,0.48
160202,1,0,1,3,0.48
160202,1,1,0,5,0.48
160206,0,1,0,8,0.64
160206,1,1,0,7,0.64
160206,1,1,1,2,0.64
160207,0,0,0,2,-0.29
160207,0,0,1,1,-0.29
160207,0,1,0,9,-0.29
160207,1,0,0,4,-0.29
160207,1,1,0,11,-0.29
160308,0,1,0,20,-0.3
160308,1,1,0,9,-0.3
170101,0,0,0,3,-0.01
170101,0,1,0,5,-0.01
170101,0,1,1,1,-0.01
170101,1,0,0,13,-0.01
170101,1,1,0,3,-0.01
170102,0,0,0,1,0.64
170102,0,1,0,8,0.64
170102,0,1,1,1,0.64
170102,1,0,1,1,0.64
170102,1,1,0,17,0.64
170103,1,0,0,1,0.59
170103,1,1,0,28,0.59
170103,1,1,1,1,0.59
170204,0,1,0,6,-0.21
170204,0,1,1,1,-0.21
170204,1,0,0,1,-0.21
170204,1,1,0,11,-0.21
170204,1,1,1,1,-0.21
170205,0,0,0,5,-0.13
170205,0,1,0,5,-0.13
170205,1,0,0,4,-0.13
170205,1,1,0,8,-0.13
170206,0,1,0,10,-0.16
170206,1,1,0,6,-0.16
170207,0,0,0,8,-0.2
170207,0,1,0,4,-0.2
170207,1,0,0,4,-0.2
170207,1,0,1,3,-0.2
170207,1,1,0,2,-0.2
170208,0,0,0,5,-0.3
170208,0,0,1,1,-0.3
170208,0,1,0,4,-0.3
170208,1,0,0,7,-0.3
170208,1,1,0,3,-0.3
170311,0,0,0,10,0.02
170311,0,0,1,1,0.02
170311,1,0,0,10,0.02
170311,1,0,1,1,0.02
170311,1,1,0,3,0.02
170312,0,0,0,2,0.31
170312,0,0,1,1,0.31
170312,1,0,0,6,0.31
170313,0,0,0,6,-0.24
170313,0,0,1,1,-0.24
170313,0,1,0,9,-0.24
170313,1,0,0,6,-0.24
170313,1,0,1,1,-0.24
170313,1,1,0,4,-0.24
170314,0,0,0,3,0.07
170314,1,0,0,6,0.07
170314,1,1,0,1,0.07
180101,0,1,0,29,0.64
180101,0,1,1,1,0.64
180101,1,1,0,2,0.64
180102,0,1,0,17,-0.25
180102,1,1,0,16,-0.25
180102,1,1,1,1,-0.25
180104,0,0,0,8,0.16
180104,0,1,0,2,0.16
180104,1,0,0,3,0.16
180104,1,1,0,11,0.16
180105,0,0,0,4,0.19
180105,0,1,0,5,0.19
180105,1,0,0,7,0.19
180105,1,1,0,2,0.19
180106,0,0,0,3,1.27
180106,0,0,1,2,1.27
180106,0,1,0,5,1.27
180106,1,0,0,4,1.27
180106,1,0,1,2,1.27
180106,1,1,0,8,1.27
180106,1,1,1,2,1.27
180107,0,1,0,8,0.38
180107,1,0,0,1,0.38
180107,1,1,0,14,0.38
180208,0,0,0,1,0.09
180208,0,1,0,13,0.09
180208,0,1,1,1,0.09
180208,1,0,0,2,0.09
180208,1,1,0,16,0.09
180208,1,1,1,2,0.09
180210,0,0,0,4,0.79
180210,0,1,0,9,0.79
180210,1,0,0,3,0.79
180210,1,1,0,13,0.79
180211,0,0,0,2,0.86
180211,0,0,1,1,0.86
180211,0,1,0,8,0.86
180211,1,0,0,3,0.86
180211,1,1,0,9,0.86
180211,1,1,1,4,0.86
180213,0,0,0,3,0.13
180213,0,1,0,5,0.13
180213,1,0,0,6,0.13
180213,1,1,0,7,0.13
180213,1,1,1,2,0.13
180214,1,0,0,4,0.02
180214,1,1,0,29,0.02
180214,1,1,1,1,0.02
180215,0,0,0,1,0.59
180215,0,0,1,1,0.59
180215,0,1,0,18,0.59
180215,0,1,1,3,0.59
180215,1,0,0,2,0.59
180215,1,1,0,10,0.59
180215,1,1,1,1,0.59
180216,1,0,0,2,0.24
180216,1,1,0,24,0.24
180218,0,0,0,4,0.27
180218,0,1,0,8,0.27
180218,0,1,1,1,0.27
180218,1,0,0,4,0.27
180218,1,1,0,6,0.27
180218,1,1,1,1,0.27
180219,0,0,0,1,-0.24
180219,0,1,0,13,-0.24
180219,1,0,0,2,-0.24
180219,1,1,0,14,-0.24
180220,1,0,0,1,0.34
180220,1,1,0,39,0.34
180221,0,0,0,2,-0.11
180221,0,0,1,2,-0.11
180221,0,1,0,8,-0.11
180221,1,0,0,5,-0.11
180221,1,1,0,5,-0.11
180221,1,1,1,2,-0.11
180222,0,0,0,6,0.32
180222,0,1,0,1,0.32
180222,1,0,0,11,0.32
180222,1,0,1,2,0.32
180222,1,1,0,2,0.32
180222,1,1,1,1,0.32
180223,0,0,0,11,0.04
180223,0,0,1,3,0.04
180223,0,1,0,4,0.04
180223,1,0,0,3,0.04
180223,1,0,1,2,0.04
180223,1,1,0,4,0.04
180223,1,1,1,1,0.04
180224,0,0,0,8,0.53
180224,0,1,0,4,0.53
180224,1,0,0,5,0.53
180224,1,1,0,1,0.53
180224,1,1,1,1,0.53
180225,0,1,0,11,0.44
180225,1,0,0,3,0.44
180225,1,1,0,14,0.44
180225,1,1,1,1,0.44
180326,0,1,0,13,0.35
180326,0,1,1,1,0.35
180326,1,0,0,2,0.35
180326,1,0,1,2,0.35
180326,1,1,0,10,0.35
180326,1,1,1,6,0.35
180327,0,0,0,2,-0.1
180327,0,1,0,16,-0.1
180327,1,0,0,5,-0.1
180327,1,1,0,3,-0.1
180327,1,1,1,1,-0.1
180328,0,0,0,1,0.21
180328,0,1,0,15,0.21
180328,1,1,0,20,0.21
180328,1,1,1,1,0.21
180329,0,1,0,14,0.39
180329,0,1,1,1,0.39
180329,1,0,0,1,0.39
180329,1,1,0,16,0.39
180330,0,0,0,3,-0.16
180330,0,1,0,10,-0.16
180330,1,0,0,5,-0.16
180330,1,1,0,10,-0.16
180331,0,1,0,14,0.34
180331,1,1,0,14,0.34
180332,0,0,0,7,0.15
180332,0,1,0,4,0.15
180332,1,0,0,4,0.15
180332,1,1,0,8,0.15
180334,0,0,0,2,0.46
180334,0,0,1,2,0.46
180334,0,1,0,7,0.46
180334,1,0,0,5,0.46
180334,1,0,1,2,0.46
180334,1,1,0,4,0.46
180334,1,1,1,3,0.46
180335,0,0,0,6,0.56
180335,0,0,1,2,0.56
180335,0,1,0,2,0.56
180335,0,1,1,3,0.56
180335,1,0,0,4,0.56
180335,1,0,1,1,0.56
180335,1,1,0,12,0.56
180336,0,0,0,3,0.49
180336,0,1,0,7,0.49
180336,1,0,0,6,0.49
180336,1,0,1,1,0.49
180336,1,1,0,2,0.49
180437,0,0,0,2,-0.63
180437,0,0,1,1,-0.63
180437,0,1,0,9,-0.63
180437,0,1,1,2,-0.63
180437,1,0,0,7,-0.63
180437,1,1,0,13,-0.63
180437,1,1,1,1,-0.63
180438,0,0,0,1,-0.29
180438,0,0,1,2,-0.29
180438,0,1,0,14,-0.29
180438,0,1,1,3,-0.29
180438,1,0,1,1,-0.29
180438,1,1,0,14,-0.29
180438,1,1,1,3,-0.29
180439,1,0,0,1,0.44
180439,1,1,0,33,0.44
180440,0,1,0,13,-0.12
180440,0,1,1,2,-0.12
180440,1,0,0,1,-0.12
180440,1,1,0,16,-0.12
180441,0,0,0,9,0.29
180441,0,1,0,7,0.29
180441,1,0,0,7,0.29
180441,1,1,0,4,0.29
180441,1,1,1,2,0.29
180442,0,0,0,8,0.5
180442,0,0,1,1,0.5
180442,0,1,0,4,0.5
180442,0,1,1,1,0.5
180442,1,0,0,2,0.5
180442,1,0,1,2,0.5
180442,1,1,0,1,0.5
180443,0,0,0,5,0.42
180443,0,0,1,1,0.42
180443,0,1,0,3,0.42
180443,1,0,0,3,0.42
180443,1,0,1,1,0.42
180443,1,1,0,10,0.42
180443,1,1,1,3,0.42
180444,0,0,0,6,0.18
180444,0,1,0,4,0.18
180444,0,1,1,1,0.18
180444,1,0,0,1,0.18
180444,1,1,0,4,0.18
180445,0,0,0,6,0.36
180445,0,0,1,2,0.36
180445,0,1,1,1,0.36
180445,1,0,0,6,0.36
180445,1,0,1,4,0.36
180445,1,1,0,3,0.36
180446,0,0,0,3,0.39
180446,0,1,0,12,0.39
180446,0,1,1,1,0.39
180446,1,0,0,4,0.39
180446,1,1,0,3,0.39
180446,1,1,1,1,0.39
180547,0,0,0,1,-0.06
180547,0,1,0,14,-0.06
180547,0,1,1,1,-0.06
180547,1,0,0,5,-0.06
180547,1,1,0,11,-0.06
180548,0,1,0,10,-0.46
180548,1,0,0,1,-0.46
180548,1,1,0,14,-0.46
180548,1,1,1,1,-0.46
180549,0,0,0,10,-0.26
180549,0,1,0,5,-0.26
180549,1,0,0,8,-0.26
180549,1,1,0,6,-0.26
180550,0,0,0,10,0.4
180550,0,1,0,6,0.4
180550,1,0,0,6,0.4
180550,1,0,1,1,0.4
180550,1,1,0,5,0.4
180550,1,1,1,1,0.4
180552,0,0,0,14,-0.18
180552,0,1,0,4,-0.18
180552,1,0,0,8,-0.18
180552,1,1,0,1,-0.18
180553,0,0,0,4,0.5
180553,0,1,0,3,0.5
180553,1,0,0,3,0.5
180553,1,1,0,4,0.5
180554,0,0,0,5,0.35
180554,0,0,1,3,0.35
180554,0,1,0,3,0.35
180554,1,0,0,7,0.35
180554,1,0,1,2,0.35
180554,1,1,0,1,0.35
180555,0,0,0,5,0.17
180555,0,1,0,4,0.17
180555,0,1,1,1,0.17
180555,1,0,0,9,0.17
180555,1,0,1,3,0.17
180555,1,1,0,3,0.17
180555,1,1,1,3,0.17
180556,0,0,0,7,0.53
180556,0,0,1,3,0.53
180556,0,1,0,3,0.53
180556,1,0,0,3,0.53
180556,1,0,1,1,0.53
180556,1,1,0,1,0.53
180556,1,1,1,1,0.53
180557,0,0,0,7,-0.06
180557,0,0,1,4,-0.06
180557,0,1,0,2,-0.06
180557,1,0,0,8,-0.06
180557,1,0,1,3,-0.06
180557,1,1,0,1,-0.06
180557,1,1,1,1,-0.06
180659,0,1,0,17,0.11
180659,1,0,0,1,0.11
180659,1,1,0,12,0.11
180659,1,1,1,3,0.11
180660,0,0,0,3,0.3
180660,0,0,1,1,0.3
180660,0,1,0,6,0.3
180660,1,0,0,7,0.3
180660,1,1,0,8,0.3
180661,0,0,0,6,0.01
180661,0,0,1,1,0.01
180661,0,1,0,5,0.01
180661,1,0,0,11,0.01
180661,1,0,1,2,0.01
180661,1,1,0,1,0.01
180662,0,0,0,13,0.4
180662,0,1,0,6,0.4
180662,1,0,0,3,0.4
180662,1,1,0,2,0.4
180663,0,0,0,6,0.57
180663,1,0,0,4,0.57
180663,1,0,1,4,0.57
180664,0,0,0,4,0.57
180664,0,0,1,3,0.57
180664,0,1,0,1,0.57
180664,0,1,1,1,0.57
180664,1,0,0,3,0.57
180664,1,0,1,2,0.57
180664,1,1,0,2,0.57
180665,0,0,0,14,0.98
180665,0,0,1,1,0.98
180665,0,1,0,1,0.98
180665,1,0,0,10,0.98
180665,1,0,1,4,0.98
