childid,s4_id,w1sesl,numrisks,profmath,s4pupri,male,prof45
0357004C,0357,-1.18,3,4,1,1,1
0357005C,0357,-0.84,2,4,1,1,1
0357006C,0357,-1.03,1,3,1,1,0
0357007C,0357,-1.28,2,3,1,0,0
0357008C,0357,-0.69,1,3,1,1,0
0357009C,0357,-0.98,2,4,1,0,1
0357012C,0357,-0.52,3,4,1,0,1
0357015C,0357,-1.07,1,4,1,0,1
0357016C,0357,-0.29,0,5,1,1,1
0357017C,0357,0.13,0,4,1,0,1
0357018C,0357,0.02,1,4,1,0,1
0357020C,0357,-0.03,0,4,1,0,1
0357021C,0357,-0.17,0,4,1,1,1
0357022C,0357,1.22,0,3,1,0,0
0357023C,0357,0.25,0,3,1,0,0
0357024C,0357,1.27,0,4,1,0,1
0359002C,0359,0.23,0,5,1,0,1
0359003C,0359,0.08,0,5,1,0,1
0359004C,0359,0.63,0,4,1,0,1
0359007C,0359,-0.49,1,5,1,1,1
0359008C,0359,0.39,0,4,1,0,1
0359009C,0359,0.08,0,5,1,0,1
0359012C,0359,-0.53,0,3,1,1,0
0359013C,0359,0.27,0,3,1,1,0
0359015C,0359,0.93,0,5,1,0,1
0359016C,0359,0.63,0,4,1,1,1
0359017C,0359,0.06,0,4,1,1,1
0359019C,0359,0.14,0,4,1,0,1
0359020C,0359,-0.44,0,3,1,0,0
0359022C,0359,-0.47,0,5,1,0,1
0359023C,0359,0.38,1,5,1,1,1
0359024C,0359,-0.4,0,4,1,0,1
0359025C,0359,0.06,0,3,1,0,0
0360001C,0360,-0.77,2,0,1,0,0
0360003C,0360,-0.91,0,4,1,1,1
0360006C,0360,-0.26,0,4,1,0,1
0360007C,0360,0.76,0,3,1,0,0
0360009C,0360,-0.47,1,3,1,0,0
0360010C,0360,-1.19,1,3,1,0,0
0360015C,0360,1.91,0,4,1,0,1
0360016C,0360,1.34,0,3,1,1,0
0360017C,0360,-0.52,0,4,1,0,1
0360018C,0360,1.12,0,5,1,1,1
0360020C,0360,-0.53,0,4,1,1,1
0360023C,0360,0.99,0,5,1,0,1
0361001C,0361,0.76,0,4,2,1,1
0361003C,0361,-0.67,1,4,2,1,1
0361004C,0361,-0.47,0,4,2,0,1
0361007C,0361,1.78,0,5,2,0,1
0361008C,0361,1.17,1,4,2,1,1
0361009C,0361,-0.08,0,4,2,1,1
0361011C,0361,1.98,0,5,2,0,1
0361013C,0361,-0.06,0,4,2,1,1
0361014C,0361,0.6,0,5,2,0,1
0361015C,0361,-0.22,0,4,2,0,1
0361016C,0361,1.0,0,5,2,1,1
0361018C,0361,1.02,1,4,2,0,1
0361019C,0361,-0.05,0,4,2,0,1
0361022C,0361,-0.31,0,4,2,0,1
0361023C,0361,0.32,0,5,2,1,1
0362001C,0362,-0.58,0,4,1,1,1
0362002C,0362,-0.07,0,3,1,0,0
0362003C,0362,-0.28,0,4,1,1,1
0362004C,0362,0.37,0,5,1,1,1
0362005C,0362,-0.62,0,5,1,1,1
0362006C,0362,-0.62,0,4,1,1,1
0362008C,0362,-0.68,1,4,1,0,1
0362009C,0362,-0.99,2,2,1,1,0
0362011C,0362,0.03,0,3,1,1,0
0362012C,0362,-0.78,1,4,1,1,1
0362013C,0362,-0.25,0,3,1,0,0
0362016C,0362,-0.51,0,4,1,0,1
0362018C,0362,-0.68,0,3,1,1,0
0362019C,0362,0.8,0,5,1,1,1
0362020C,0362,0.41,0,3,1,1,0
0362022C,0362,-0.33,0,4,1,0,1
0362024C,0362,-0.3,1,3,1,0,0
0364003C,0364,-0.3,0,3,1,0,0
0364004C,0364,0.83,0,4,1,0,1
0364006C,0364,-0.4,1,3,1,1,0
0364007C,0364,0.54,0,4,1,1,1
0364009C,0364,-0.52,0,4,1,0,1
0364010C,0364,-0.42,0,4,1,0,1
0364011C,0364,-0.31,0,5,1,1,1
0364012C,0364,-0.53,0,5,1,0,1
0364013C,0364,-0.26,0,4,1,1,1
0364014C,0364,-0.64,0,4,1,0,1
0364015C,0364,0.26,0,5,1,0,1
0364021C,0364,2.41,0,4,1,0,1
0364023C,0364,0.21,0,5,1,0,1
0364024C,0364,0.5,0,4,1,0,1
0365001C,0365,-1.64,3,2,1,0,0
0365002C,0365,-1.21,2,3,1,0,0
0365004C,0365,-1.54,1,3,1,1,0
0365005C,0365,-0.68,1,3,1,1,0
0365007C,0365,-0.65,1,3,1,0,0
0365009C,0365,-0.93,1,4,1,0,1
0365013C,0365,-0.38,0,3,1,0,0
0365015C,0365,-0.68,0,3,1,1,0
0365016C,0365,-0.22,0,3,1,0,0
0365017C,0365,-0.24,0,4,1,1,1
0365019C,0365,0.34,0,5,1,0,1
0365021C,0365,-0.89,1,4,1,0,1
0365022C,0365,-1.41,3,3,1,0,0
0365023C,0365,-0.41,1,3,1,0,0
0366005C,0366,-0.31,1,3,1,0,0
0366009C,0366,0.16,0,5,1,1,1
0366011C,0366,-0.58,0,4,1,0,1
0366012C,0366,1.86,0,5,1,1,1
0366013C,0366,-0.35,0,5,1,0,1
0366014C,0366,0.49,0,5,1,1,1
0366015C,0366,0.54,0,5,1,1,1
0366020C,0366,1.28,0,4,1,1,1
0366023C,0366,1.32,0,4,1,0,1
0366024C,0366,0.58,0,5,1,0,1
0369002C,0369,-1.19,3,2,1,0,0
0369003C,0369,-0.69,1,5,1,0,1
0369007C,0369,-0.46,0,4,1,1,1
0369008C,0369,-1.19,1,4,1,0,1
0369012C,0369,0.92,0,5,1,0,1
0369013C,0369,-0.4,0,4,1,0,1
0369016C,0369,-0.3,0,3,1,0,0
0369019C,0369,0.59,0,4,1,1,1
0369020C,0369,-0.09,0,4,1,1,1
0369024C,0369,-0.6,0,4,1,0,1
0370001C,0370,-0.88,0,4,1,0,1
0370002C,0370,-1.0,1,2,1,0,0
0370003C,0370,-0.07,0,4,1,0,1
0370005C,0370,-0.31,0,4,1,1,1
0370006C,0370,-0.46,1,4,1,1,1
0370007C,0370,-0.78,2,4,1,1,1
0370008C,0370,-0.59,1,4,1,1,1
0370010C,0370,-0.84,1,4,1,0,1
0370012C,0370,0.6,0,5,1,0,1
0370013C,0370,-0.48,0,3,1,0,0
0370014C,0370,1.05,0,4,1,1,1
0370018C,0370,-0.25,0,4,1,1,1
0370020C,0370,-1.06,2,1,1,0,0
0370021C,0370,-0.89,2,4,1,1,1
0370024C,0370,0.19,0,5,1,1,1
0375002C,0375,-0.12,0,4,2,1,1
0375003C,0375,-0.25,0,4,2,0,1
0375007C,0375,1.15,0,4,2,1,1
0375008C,0375,-0.5,0,4,2,0,1
0376001C,0376,-0.21,1,3,2,0,0
0376003C,0376,-0.36,1,5,2,0,1
0376004C,0376,0.41,0,5,2,0,1
0376005C,0376,0.24,1,3,2,1,0
0376007C,0376,0.28,0,4,2,0,1
0376008C,0376,0.38,0,4,2,1,1
0376009C,0376,-0.29,0,4,2,1,1
0376010C,0376,0.05,0,5,2,0,1
0376011C,0376,0.05,0,4,2,0,1
0376012C,0376,-0.14,0,4,2,0,1
0376013C,0376,0.55,0,5,2,1,1
0376014C,0376,0.23,0,4,2,0,1
0376015C,0376,-0.47,0,4,2,1,1
0376016C,0376,0.51,0,3,2,0,0
0376017C,0376,0.77,0,4,2,0,1
0376019C,0376,1.16,0,4,2,0,1
0376020C,0376,0.04,0,5,2,1,1
0376021C,0376,-0.42,0,4,2,1,1
0376022C,0376,-0.01,0,4,2,0,1
0376023C,0376,-0.82,1,5,2,0,1
0376024C,0376,0.12,0,5,2,1,1
0377001C,0377,0.05,1,4,1,0,1
0377004C,0377,0.65,0,4,1,1,1
0377005C,0377,0.18,0,4,1,0,1
0377007C,0377,0.47,0,5,1,1,1
0377008C,0377,0.55,0,4,1,0,1
0377009C,0377,0.65,0,5,1,0,1
0377010C,0377,0.09,0,4,1,1,1
0377011C,0377,0.34,0,3,1,0,0
0377013C,0377,0.55,0,5,1,1,1
0377015C,0377,-0.02,0,5,1,1,1
0377017C,0377,-0.31,0,5,1,1,1
0377020C,0377,-0.78,1,4,1,1,1
0377023C,0377,0.27,0,3,1,0,0
0377025C,0377,0.27,0,3,1,0,0
0377026C,0377,0.09,0,4,1,0,1
0378001C,0378,-0.44,0,5,2,1,1
0378002C,0378,-0.69,0,3,2,0,0
0378004C,0378,0.34,0,4,2,0,1
0378005C,0378,-0.12,0,3,2,1,0
0378006C,0378,0.12,0,3,2,0,0
0379001C,0379,0.44,0,4,2,1,1
0379002C,0379,-0.26,0,4,2,0,1
0379003C,0379,1.6,0,5,2,1,1
0379005C,0379,-0.44,0,3,2,1,0
0379006C,0379,-0.11,0,3,2,0,0
0379007C,0379,-0.51,1,3,2,0,0
0379008C,0379,0.38,0,4,2,1,1
0379010C,0379,0.89,0,4,2,1,1
0379011C,0379,1.02,0,5,2,0,1
0379012C,0379,-0.03,0,4,2,1,1
0379014C,0379,1.24,0,5,2,0,1
0379016C,0379,-0.6,0,5,2,1,1
0379017C,0379,0.59,0,4,2,0,1
0379019C,0379,0.09,0,5,2,1,1
0379020C,0379,0.37,0,3,2,0,0
0379021C,0379,-0.53,0,5,2,1,1
0379022C,0379,1.4,0,4,2,1,1
0379023C,0379,-0.11,0,5,2,0,1
0379024C,0379,0.11,0,3,2,0,0
0379025C,0379,0.14,0,4,2,1,1
0379026C,0379,0.76,0,4,2,0,1
0379027C,0379,-0.65,1,5,2,1,1
0378003C,0380,-0.54,0,3,1,0,0
0380003C,0380,1.41,0,4,1,1,1
0380004C,0380,0.97,0,5,1,1,1
0380005C,0380,-0.44,0,4,1,1,1
0380006C,0380,-0.31,0,5,1,0,1
0380007C,0380,-1.14,1,4,1,1,1
0380010C,0380,-0.72,0,4,1,0,1
0380011C,0380,-0.19,0,4,1,1,1
0380012C,0380,-0.04,0,4,1,0,1
0380014C,0380,-0.38,0,4,1,0,1
0380015C,0380,-0.65,0,5,1,1,1
0380019C,0380,-0.4,0,4,1,0,1
0380020C,0380,-0.54,0,4,1,1,1
0380022C,0380,-0.22,0,3,1,0,0
0383002C,0383,0.87,0,4,1,0,1
0383004C,0383,0.35,0,4,1,1,1
0383005C,0383,-0.38,0,4,1,1,1
0383008C,0383,0.87,1,4,1,0,1
0383009C,0383,0.34,0,5,1,1,1
0383011C,0383,-0.25,0,4,1,1,1
0383012C,0383,-0.01,0,4,1,1,1
0383014C,0383,0.45,1,5,1,0,1
0383017C,0383,0.57,0,4,1,0,1
0383018C,0383,-1.37,0,3,1,0,0
0383019C,0383,0.02,0,3,1,0,0
0383022C,0383,0.0,0,4,1,1,1
0383023C,0383,-0.41,0,4,1,1,1
0383025C,0383,0.34,0,4,1,0,1
0385008C,0385,0.15,0,3,2,1,0
0385010C,0385,0.27,0,3,2,0,0
0385019C,0385,-0.49,1,3,2,0,0
0385020C,0385,-0.38,0,3,2,1,0
0385024C,0385,-0.34,0,4,2,1,1
0387012C,0385,-0.49,1,3,2,0,0
0387006C,0387,-0.68,2,5,1,0,1
0387008C,0387,-0.75,0,4,1,1,1
0387009C,0387,-0.36,0,2,1,0,0
0387017C,0387,-0.81,1,1,1,0,0
0387019C,0387,-0.72,2,4,1,1,1
0387020C,0387,-0.69,2,1,1,0,0
0388004C,0388,0.0,2,4,1,1,1
0388008C,0388,-0.3,0,4,1,1,1
0388016C,0388,-0.85,1,4,1,0,1
0388018C,0388,-0.68,1,2,1,1,0
0390002C,0390,2.36,0,3,2,0,0
0390004C,0390,0.55,0,4,2,0,1
0390006C,0390,0.09,0,4,2,0,1
0390013C,0390,0.42,0,3,2,0,0
0390017C,0390,0.5,0,4,2,0,1
0390019C,0390,0.42,1,4,2,0,1
0390023C,0390,-0.02,1,4,2,1,1
0390024C,0390,-0.43,0,5,2,1,1
0390027C,0390,0.52,0,5,2,0,1
0393002C,0393,-0.07,0,5,1,1,1
0393004C,0393,0.59,0,4,1,1,1
0393007C,0393,-0.46,2,5,1,0,1
0393009C,0393,0.12,0,4,1,1,1
0393010C,0393,0.0,0,5,1,1,1
0393014C,0393,-0.21,0,3,1,1,0
0393016C,0393,0.3,0,3,1,0,0
0393017C,0393,-0.18,1,4,1,0,1
0393018C,0393,0.05,0,4,1,1,1
0393019C,0393,-1.01,1,5,1,1,1
0395001C,0395,0.27,0,4,1,1,1
0395004C,0395,0.03,0,4,1,0,1
0395007C,0395,0.61,0,5,1,0,1
0395008C,0395,0.03,0,4,1,1,1
0395009C,0395,0.24,0,5,1,0,1
0395011C,0395,1.0,0,4,1,1,1
0395012C,0395,0.91,0,5,1,0,1
0395015C,0395,1.1,0,3,1,1,0
0395017C,0395,0.17,0,5,1,0,1
0395018C,0395,1.13,0,5,1,0,1
0395019C,0395,0.5,0,4,1,1,1
0395023C,0395,-0.84,3,4,1,1,1
0395024C,0395,0.93,0,5,1,0,1
0396002C,0396,0.56,0,4,1,0,1
0396006C,0396,-1.16,1,3,1,0,0
0396013C,0396,-0.96,1,4,1,0,1
0396014C,0396,-0.69,0,4,1,0,1
0396015C,0396,-0.72,0,3,1,0,0
0396020C,0396,-0.2,0,4,1,1,1
0396021C,0396,-0.58,0,5,1,0,1
0396022C,0396,-0.54,0,4,1,0,1
0396023C,0396,-1.05,1,4,1,1,1
0396024C,0396,0.23,0,4,1,1,1
0397007C,0397,-0.79,3,3,1,0,0
0397008C,0397,0.02,0,5,1,0,1
0397011C,0397,-0.4,0,4,1,0,1
0397015C,0397,0.3,2,4,1,0,1
0397016C,0397,-0.3,0,4,1,1,1
0397021C,0397,-0.53,0,3,1,1,0
0399004C,0399,0.76,1,4,2,1,1
0399007C,0399,0.57,1,4,2,0,1
0399008C,0399,-0.14,1,4,2,1,1
0399009C,0399,0.07,0,3,2,1,0
0399010C,0399,0.14,0,4,2,0,1
0399011C,0399,1.53,1,5,2,0,1
0403001C,0403,0.79,0,5,1,0,1
0403003C,0403,0.49,0,5,1,1,1
0403006C,0403,-0.35,1,4,1,0,1
0403007C,0403,-0.64,1,2,1,1,0
0403009C,0403,-0.37,0,4,1,0,1
0403010C,0403,0.51,0,3,1,1,0
0403013C,0403,-0.69,2,4,1,1,1
0403015C,0403,0.71,0,4,1,1,1
0403016C,0403,0.0,0,4,1,1,1
0403019C,0403,0.21,0,5,1,1,1
0403021C,0403,0.22,0,4,1,1,1
0403022C,0403,1.11,0,5,1,0,1
0403024C,0403,0.31,0,4,1,1,1
0405001C,0405,2.44,0,4,1,0,1
0405006C,0405,0.49,0,4,1,1,1
0405007C,0405,0.64,0,4,1,0,1
0405011C,0405,0.69,0,5,1,0,1
0405013C,0405,1.04,0,4,1,1,1
0405014C,0405,1.02,0,4,1,0,1
0405017C,0405,0.05,0,5,1,1,1
0405019C,0405,0.29,0,4,1,0,1
0405020C,0405,-0.3,0,5,1,1,1
0405021C,0405,-0.01,0,4,1,0,1
0405022C,0405,-0.11,0,4,1,1,1
0405024C,0405,1.07,1,3,1,1,0
0417002C,0417,0.13,0,5,1,0,1
0417007C,0417,1.35,0,5,1,0,1
0417008C,0417,0.93,0,5,1,0,1
0417010C,0417,0.78,0,5,1,1,1
0417011C,0417,1.05,0,3,1,1,0
0417012C,0417,1.17,0,5,1,0,1
0417013C,0417,-0.2,0,5,1,1,1
0417014C,0417,-0.03,0,5,1,0,1
0417018C,0417,0.79,0,5,1,1,1
0417019C,0417,0.93,0,5,1,1,1
0417021C,0417,0.73,0,5,1,1,1
0417022C,0417,0.61,0,5,1,1,1
0417024C,0417,0.84,0,4,1,0,1
0425001C,0425,0.84,0,3,2,1,0
0425002C,0425,-0.27,1,4,2,1,1
0425005C,0425,0.07,0,4,2,0,1
0425006C,0425,0.95,1,4,2,0,1
0425007C,0425,0.64,0,4,2,1,1
0425009C,0425,0.33,0,5,2,1,1
0425010C,0425,0.03,0,4,2,1,1
0425011C,0425,-0.24,0,4,2,1,1
0425014C,0425,0.23,0,5,2,0,1
0425015C,0425,0.83,0,5,2,1,1
0425016C,0425,-0.17,0,5,2,1,1
0425017C,0425,0.08,0,4,2,1,1
0425019C,0425,-0.33,0,5,2,0,1
0425020C,0425,-0.02,1,3,2,0,0
0429001C,0429,1.41,0,3,2,0,0
0429002C,0429,-0.1,0,5,2,1,1
0429003C,0429,1.73,0,5,2,1,1
0429004C,0429,0.45,0,5,2,1,1
0429005C,0429,1.6,0,4,2,1,1
0429006C,0429,0.54,0,4,2,0,1
0429007C,0429,1.31,0,5,2,1,1
0429008C,0429,0.99,0,5,2,0,1
0429011C,0429,1.62,0,5,2,1,1
0429013C,0429,0.74,0,5,2,0,1
0429015C,0429,0.71,0,4,2,0,1
0429017C,0429,1.06,0,5,2,0,1
0429018C,0429,0.37,0,5,2,1,1
0429019C,0429,-0.02,0,4,2,1,1
0429020C,0429,0.38,0,4,2,0,1
0429021C,0429,0.79,0,4,2,1,1
0429022C,0429,1.29,0,4,2,1,1
0429024C,0429,0.2,0,4,2,0,1
0430002C,0430,-0.14,0,4,1,0,1
0430003C,0430,1.4,0,5,1,1,1
0430004C,0430,0.32,0,4,1,1,1
0430005C,0430,0.1,0,4,1,1,1
0430006C,0430,0.53,0,3,1,0,0
0430007C,0430,0.05,1,3,1,1,0
0430008C,0430,0.32,0,4,1,1,1
0430010C,0430,0.3,0,4,1,0,1
0430011C,0430,0.52,0,4,1,0,1
0430014C,0430,0.01,0,4,1,1,1
0430016C,0430,0.25,0,5,1,0,1
0430017C,0430,0.59,0,5,1,0,1
0430018C,0430,-0.22,0,4,1,0,1
0430019C,0430,0.42,0,5,1,0,1
0430020C,0430,0.63,1,5,1,0,1
0430023C,0430,-0.59,1,4,1,0,1
0430024C,0430,0.05,0,4,1,0,1
0430025C,0430,0.29,0,4,1,0,1
0430026C,0430,0.32,0,4,1,0,1
0431002C,0431,1.57,0,3,1,1,0
0431005C,0431,-0.07,0,4,1,0,1
0431009C,0431,0.05,1,2,1,0,0
0431010C,0431,-0.61,0,4,1,0,1
0431012C,0431,0.0,0,4,1,1,1
0431013C,0431,0.46,0,3,1,0,0
0431015C,0431,-0.23,0,4,1,0,1
0431016C,0431,-0.38,0,5,1,1,1
0431017C,0431,-0.31,0,5,1,1,1
0431018C,0431,-0.29,0,4,1,0,1
0431020C,0431,-0.3,0,4,1,1,1
0431023C,0431,-0.19,0,5,1,1,1
0431025C,0431,1.57,0,4,1,1,1
0432001C,0432,-0.43,0,5,1,1,1
0432002C,0432,0.03,0,5,1,1,1
0432003C,0432,-0.1,0,5,1,1,1
0432004C,0432,-0.33,0,5,1,1,1
0432006C,0432,0.57,0,5,1,1,1
0432007C,0432,0.2,0,4,1,1,1
0432011C,0432,-0.17,0,4,1,0,1
0432013C,0432,1.3,0,5,1,1,1
0432014C,0432,-0.52,0,4,1,0,1
0432015C,0432,0.45,0,4,1,0,1
0432016C,0432,-0.22,0,4,1,1,1
0432018C,0432,-0.47,0,4,1,1,1
0432019C,0432,1.31,0,5,1,0,1
0432020C,0432,-0.99,2,5,1,1,1
0432021C,0432,0.78,0,3,1,0,0
0432022C,0432,0.35,0,3,1,1,0
0432023C,0432,0.95,0,4,1,1,1
0433001C,0433,-0.01,0,5,1,0,1
0433006C,0433,-0.67,0,4,1,0,1
0433007C,0433,-0.17,0,4,1,1,1
0433008C,0433,1.19,0,4,1,0,1
0433009C,0433,0.66,0,4,1,0,1
0433011C,0433,0.78,0,5,1,0,1
0433012C,0433,-0.18,0,5,1,1,1
0433013C,0433,0.21,0,5,1,0,1
0433017C,0433,-0.28,0,4,1,0,1
0434001C,0434,0.59,0,5,1,0,1
0434004C,0434,-0.07,0,4,1,1,1
0434006C,0434,-0.07,0,5,1,1,1
0434007C,0434,-0.2,0,3,1,1,0
0434008C,0434,0.68,0,5,1,0,1
0434009C,0434,-0.23,0,4,1,1,1
0434011C,0434,0.81,0,3,1,1,0
0434015C,0434,0.36,0,4,1,1,1
0434017C,0434,-0.68,0,2,1,1,0
0434018C,0434,0.87,0,4,1,0,1
0434019C,0434,-0.2,0,4,1,0,1
0434020C,0434,-0.34,0,4,1,1,1
0434021C,0434,0.26,0,5,1,1,1
0436001C,0436,0.72,0,4,1,0,1
0436004C,0436,-0.05,0,3,1,0,0
0436005C,0436,0.37,0,4,1,0,1
0436006C,0436,0.99,0,4,1,1,1
0436008C,0436,0.23,0,5,1,0,1
0436011C,0436,0.75,0,5,1,1,1
0436012C,0436,-0.08,0,4,1,1,1
0436013C,0436,0.56,0,4,1,0,1
0436015C,0436,0.95,0,5,1,0,1
0436016C,0436,-0.22,0,4,1,1,1
0440005C,0440,-0.09,0,3,1,0,0
0440006C,0440,-0.27,0,3,1,1,0
0440008C,0440,0.4,0,5,1,0,1
0440012C,0440,0.41,1,5,1,0,1
0440013C,0440,0.67,0,5,1,0,1
0440014C,0440,0.94,0,5,1,1,1
0440016C,0440,0.5,0,4,1,1,1
0440017C,0440,0.18,0,3,1,0,0
0440019C,0440,1.1,0,3,1,1,0
0440022C,0440,1.33,0,5,1,1,1
0440023C,0440,0.22,0,4,1,1,1
0440024C,0440,-0.67,1,3,1,1,0
0441001C,0441,-0.38,0,4,1,1,1
0441002C,0441,-0.18,0,3,1,1,0
0441003C,0441,0.36,0,4,1,0,1
0441006C,0441,-0.01,0,4,1,1,1
0441007C,0441,0.19,0,4,1,0,1
0441010C,0441,-0.95,1,4,1,1,1
0441012C,0441,-0.88,1,4,1,1,1
0441013C,0441,0.42,0,5,1,1,1
0441014C,0441,1.27,0,5,1,0,1
0441018C,0441,0.43,0,4,1,0,1
0441020C,0441,1.46,0,5,1,0,1
0441021C,0441,-0.27,0,5,1,1,1
0441022C,0441,0.04,0,4,1,1,1
0441023C,0441,-0.08,1,5,1,1,1
0441024C,0441,-0.9,2,4,1,1,1
0442001C,0442,-0.41,0,4,1,1,1
0442002C,0442,0.29,0,4,1,0,1
0442003C,0442,1.43,0,5,1,1,1
0442004C,0442,1.02,0,5,1,1,1
0442005C,0442,0.93,0,5,1,1,1
0442006C,0442,0.38,0,5,1,1,1
0442009C,0442,0.58,0,5,1,1,1
0442010C,0442,0.93,1,3,1,1,0
0442011C,0442,1.12,0,4,1,0,1
0442012C,0442,-0.1,0,5,1,0,1
0442014C,0442,-0.44,0,4,1,0,1
0442015C,0442,0.08,0,5,1,0,1
0442016C,0442,0.55,0,4,1,0,1
0442017C,0442,1.18,0,5,1,1,1
0442018C,0442,1.37,0,4,1,0,1
0442019C,0442,-0.37,0,5,1,1,1
0442020C,0442,0.36,0,4,1,1,1
0442021C,0442,0.83,0,5,1,0,1
0442023C,0442,0.06,0,4,1,1,1
0442024C,0442,0.12,0,4,1,0,1
0443001C,0443,0.54,0,4,1,0,1
0443003C,0443,1.42,0,4,1,0,1
0443004C,0443,1.46,0,5,1,1,1
0443005C,0443,0.65,0,4,1,1,1
0443007C,0443,-0.68,1,4,1,1,1
0443008C,0443,0.04,0,4,1,0,1
0443009C,0443,1.02,0,4,1,1,1
0443010C,0443,0.83,0,5,1,0,1
0443011C,0443,0.52,1,4,1,0,1
0443012C,0443,1.47,0,5,1,0,1
0443013C,0443,-0.64,1,4,1,0,1
0443015C,0443,0.68,1,5,1,0,1
0443016C,0443,0.72,0,4,1,0,1
0443017C,0443,1.55,0,4,1,0,1
0443019C,0443,0.18,0,5,1,1,1
0443020C,0443,-0.11,0,5,1,1,1
0443021C,0443,0.96,1,5,1,1,1
0443022C,0443,0.46,1,4,1,1,1
0443023C,0443,0.85,0,5,1,0,1
0443024C,0443,0.56,0,5,1,1,1
0444003C,0444,-0.41,1,2,1,0,0
0444006C,0444,-0.88,3,3,1,1,0
0444019C,0444,-0.58,2,4,1,0,1
0444023C,0444,0.5,0,5,1,1,1
0445006C,0445,-0.06,0,4,1,0,1
0445007C,0445,0.48,0,5,1,0,1
0445009C,0445,0.26,0,5,1,0,1
0445011C,0445,-0.18,0,4,1,1,1
0445012C,0445,0.06,1,4,1,0,1
0445014C,0445,-0.1,0,5,1,1,1
0445015C,0445,-0.12,0,5,1,1,1
0445017C,0445,-0.38,0,5,1,0,1
0445021C,0445,0.31,0,5,1,1,1
0445024C,0445,-0.02,0,3,1,0,0
0451002C,0451,-0.13,0,4,1,0,1
0451003C,0451,-0.27,0,5,1,0,1
0451006C,0451,-0.08,0,4,1,0,1
0451008C,0451,0.38,1,5,1,0,1
0451009C,0451,-0.69,0,4,1,1,1
0451010C,0451,0.65,0,4,1,0,1
0451011C,0451,-0.37,0,3,1,1,0
0451014C,0451,-0.47,1,4,1,1,1
0451019C,0451,0.24,0,4,1,0,1
0451020C,0451,-0.18,0,5,1,0,1
0451021C,0451,-0.57,0,2,1,0,0
0451022C,0451,-0.54,0,3,1,0,0
0451023C,0451,0.1,0,5,1,1,1
0451024C,0451,0.3,0,3,1,1,0
0451025C,0451,-0.57,0,4,1,0,1
0452001C,0452,-0.09,0,4,2,1,1
0452002C,0452,-0.21,0,5,2,0,1
0452004C,0452,1.16,0,4,2,0,1
0452005C,0452,-0.06,0,3,2,1,0
0452006C,0452,-0.05,0,4,2,0,1
0452007C,0452,0.19,0,4,2,0,1
0452008C,0452,0.17,1,4,2,1,1
0452009C,0452,0.04,0,4,2,1,1
0452010C,0452,-0.22,0,4,2,0,1
0452011C,0452,0.29,0,4,2,1,1
0452012C,0452,0.86,0,4,2,0,1
0452014C,0452,1.22,0,4,2,1,1
0452015C,0452,0.3,0,5,2,1,1
0452017C,0452,-0.36,0,3,2,0,0
0452018C,0452,0.87,0,5,2,1,1
0452019C,0452,-0.2,0,5,2,0,1
0452020C,0452,1.16,1,5,2,0,1
0452021C,0452,0.24,0,4,2,1,1
0452022C,0452,0.69,0,5,2,1,1
0452023C,0452,-0.29,0,3,2,0,0
0452024C,0452,0.05,0,4,2,1,1
0452025C,0452,-0.09,0,4,2,1,1
0454001C,0454,-0.37,2,4,1,0,1
0454002C,0454,0.56,0,4,1,0,1
0454003C,0454,-0.27,0,5,1,1,1
0454007C,0454,1.06,0,4,1,0,1
0454011C,0454,0.2,0,3,1,1,0
0454014C,0454,-0.61,0,3,1,0,0
0454016C,0454,-0.26,0,2,1,1,0
0454018C,0454,-0.58,0,3,1,1,0
0454019C,0454,2.23,0,3,1,0,0
0454020C,0454,0.67,0,4,1,0,1
0454021C,0454,0.5,0,4,1,1,1
0454022C,0454,-0.41,0,3,1,0,0
0454024C,0454,-0.11,0,4,1,1,1
0454010C,0455,0.66,0,4,1,0,1
0455001C,0455,0.53,0,3,1,0,0
0455002C,0455,1.16,0,5,1,1,1
0455003C,0455,2.11,0,5,1,1,1
0455004C,0455,0.78,0,4,1,1,1
0455006C,0455,-0.56,0,5,1,1,1
0455007C,0455,-0.04,0,4,1,1,1
0455008C,0455,0.32,0,3,1,1,0
0455009C,0455,0.78,0,4,1,0,1
0455010C,0455,-0.02,0,3,1,0,0
0455013C,0455,0.18,0,4,1,0,1
0455015C,0455,0.24,0,4,1,0,1
0455016C,0455,1.98,0,4,1,0,1
0455017C,0455,0.69,0,3,1,1,0
0455019C,0455,0.73,0,4,1,0,1
0455022C,0455,0.89,0,5,1,1,1
0455023C,0455,0.42,0,4,1,0,1
0455024C,0455,0.24,0,4,1,0,1
0456001C,0456,-0.17,0,4,1,0,1
0456002C,0456,0.03,0,2,1,1,0
0456005C,0456,-1.22,2,3,1,1,0
0456008C,0456,-1.13,0,4,1,0,1
0456010C,0456,-0.11,0,4,1,1,1
0456012C,0456,-0.79,0,3,1,0,0
0456014C,0456,-0.74,1,3,1,0,0
0456015C,0456,-0.86,1,4,1,1,1
0456016C,0456,-0.16,0,3,1,0,0
0456018C,0456,-0.51,0,3,1,1,0
0456019C,0456,-0.44,0,3,1,1,0
0456022C,0456,-0.38,0,3,1,1,0
0456023C,0456,-0.05,0,4,1,0,1
0458002C,0458,-0.42,0,4,1,1,1
0458003C,0458,-0.71,0,4,1,1,1
0458005C,0458,-0.74,0,4,1,1,1
