stops,pop,arrests,precinct,eth,crime,totp,prblack,prhisp
136,21635,94,42,2,2,152515,0.47204536,0.1418549
70,21635,73,42,2,3,152515,0.47204536,0.1418549
31,21635,245,42,2,4,152515,0.47204536,0.1418549
39,58886,159,42,3,1,152515,0.47204536,0.1418549
44,58886,48,42,3,2,152515,0.47204536,0.1418549
66,58886,78,42,3,3,152515,0.47204536,0.1418549
17,58886,170,42,3,4,152515,0.47204536,0.1418549
357,83609,1338,43,1,1,103726,0.8060563,0.095048495
861,83609,518,43,1,2,103726,0.8060563,0.095048495
217,83609,312,43,1,3,103726,0.8060563,0.095048495
129,83609,1291,43,1,4,103726,0.8060563,0.095048495
25,9859,125,43,2,1,103726,0.8060563,0.095048495
25,9859,33,43,2,2,103726,0.8060563,0.095048495
5,9859,14,43,2,3,103726,0.8060563,0.095048495
15,9859,90,43,2,4,103726,0.8060563,0.095048495
1,10258,63,43,3,1,103726,0.8060563,0.095048495
10,10258,15,43,3,2,103726,0.8060563,0.095048495
0,10258,3,43,3,3,103726,0.8060563,0.095048495
0,10258,34,43,3,4,103726,0.8060563,0.095048495
43,5276,62,44,1,1,105164,0.05016926,0.5289643
54,5276,34,44,1,2,105164,0.05016926,0.5289643
41,5276,52,44,1,3,105164,0.05016926,0.5289643
21,5276,81,44,1,4,105164,0.05016926,0.5289643
334,55628,677,44,2,1,105164,0.05016926,0.5289643
655,55628,311,44,2,2,105164,0.05016926,0.5289643
187,55628,171,44,2,3,105164,0.05016926,0.5289643
177,55628,944,44,2,4,105164,0.05016926,0.5289643
27,44260,168,44,3,1,105164,0.05016926,0.5289643
60,44260,82,44,3,2,105164,0.05016926,0.5289643
44,44260,81,44,3,3,105164,0.05016926,0.5289643
26,44260,257,44,3,4,105164,0.05016926,0.5289643
589,69295,1226,45,1,1,84215,0.82283443,0.17006472
1746,69295,573,45,1,2,84215,0.82283443,0.17006472
190,69295,480,45,1,3,84215,0.82283443,0.17006472
180,69295,2261,45,1,4,84215,0.82283443,0.17006472
41,14322,127,45,2,1,84215,0.82283443,0.17006472
140,14322,45,45,2,2,84215,0.82283443,0.17006472
27,14322,59,45,2,3,84215,0.82283443,0.17006472
25,14322,245,45,2,4,84215,0.82283443,0.17006472
0,598,11,45,3,1,84215,0.82283443,0.17006472
6,598,12,45,3,2,84215,0.82283443,0.17006472
7,598,10,45,3,3,84215,0.82283443,0.17006472
2,598,41,45,3,4,84215,0.82283443,0.17006472
505,79195,1460,46,1,1,160084,0.494709,0.38206816
1520,79195,801,46,1,2,160084,0.494709,0.38206816
184,79195,524,46,1,3,160084,0.494709,0.38206816
144,79195,1651,46,1,4,160084,0.494709,0.38206816
143,61163,594,46,2,1,160084,0.494709,0.38206816
607,61163,358,46,2,2,160084,0.494709,0.38206816
125,61163,243,46,2,3,160084,0.494709,0.38206816
108,61163,1054,46,2,4,160084,0.494709,0.38206816
14,19726,96,46,3,1,160084,0.494709,0.38206816
50,19726,56,46,3,2,160084,0.494709,0.38206816
19,19726,51,46,3,3,160084,0.494709,0.38206816
24,19726,385,46,3,4,160084,0.494709,0.38206816
157,10158,221,47,1,1,46904,0.21657002,0.28705442
206,10158,88,47,1,2,46904,0.21657002,0.28705442
124,10158,69,47,1,3,46904,0.21657002,0.28705442
35,10158,311,47,1,4,46904,0.21657002,0.28705442
60,13464,132,47,2,1,46904,0.21657002,0.28705442
120,13464,46,47,2,2,46904,0.21657002,0.28705442
134,13464,55,47,2,3,46904,0.21657002,0.28705442
52,13464,241,47,2,4,46904,0.21657002,0.28705442
27,23282,60,47,3,1,46904,0.21657002,0.28705442
15,23282,17,47,3,2,46904,0.21657002,0.28705442
46,23282,40,47,3,3,46904,0.21657002,0.28705442
25,23282,63,47,3,4,46904,0.21657002,0.28705442
213,77108,941,48,1,1,92509,0.8335189,0.09859581
855,77108,555,48,1,2,92509,0.8335189,0.09859581
178,77108,312,48,1,3,92509,0.8335189,0.09859581
249,77108,2135,48,1,4,92509,0.8335189,0.09859581
7,9121,27,48,2,1,92509,0.8335189,0.09859581
33,9121,22,48,2,2,92509,0.8335189,0.09859581
12,9121,14,48,2,3,92509,0.8335189,0.09859581
16,9121,103,48,2,4,92509,0.8335189,0.09859581
0,6280,4,48,3,1,92509,0.8335189,0.09859581
8,6280,8,48,3,2,92509,0.8335189,0.09859581
3,6280,0,48,3,3,92509,0.8335189,0.09859581
0,6280,32,48,3,4,92509,0.8335189,0.09859581
216,6399,186,49,1,1,52717,0.121383995,0.23442154
124,6399,77,49,1,2,52717,0.121383995,0.23442154
123,6399,105,49,1,3,52717,0.121383995,0.23442154
67,6399,163,49,1,4,52717,0.121383995,0.23442154
142,12358,206,49,2,1,52717,0.121383995,0.23442154
96,12358,106,49,2,2,52717,0.121383995,0.23442154
95,12358,82,49,2,3,52717,0.121383995,0.23442154
67,12358,285,49,2,4,52717,0.121383995,0.23442154
26,33960,101,49,3,1,52717,0.121383995,0.23442154
14,33960,24,49,3,2,52717,0.121383995,0.23442154
62,33960,28,49,3,3,52717,0.121383995,0.23442154
9,33960,86,49,3,4,52717,0.121383995,0.23442154
558,54204,1184,50,1,1,66956,0.8095466,0.18132804
1755,54204,754,50,1,2,66956,0.8095466,0.18132804
170,54204,369,50,1,3,66956,0.8095466,0.18132804
288,54204,2104,50,1,4,66956,0.8095466,0.18132804
52,12141,159,50,2,1,66956,0.8095466,0.18132804
140,12141,107,50,2,2,66956,0.8095466,0.18132804
30,12141,41,50,2,3,66956,0.8095466,0.18132804
24,12141,265,50,2,4,66956,0.8095466,0.18132804
9,611,29,50,3,1,66956,0.8095466,0.18132804
14,611,23,50,3,2,66956,0.8095466,0.18132804
10,611,6,50,3,3,66956,0.8095466,0.18132804
4,611,13,50,3,4,66956,0.8095466,0.18132804
218,61306,1065,51,1,1,69780,0.8785612,0.116838634
739,61306,523,51,1,2,69780,0.8785612,0.116838634
57,61306,294,51,1,3,69780,0.8785612,0.116838634
113,61306,1091,51,1,4,69780,0.8785612,0.116838634
15,8153,95,51,2,1,69780,0.8785612,0.116838634
44,8153,62,51,2,2,69780,0.8785612,0.116838634
2,8153,18,51,2,3,69780,0.8785612,0.116838634
13,8153,168,51,2,4,69780,0.8785612,0.116838634
1,321,42,51,3,1,69780,0.8785612,0.116838634
4,321,16,51,3,2,69780,0.8785612,0.116838634
2,321,1,51,3,3,69780,0.8785612,0.116838634
0,321,38,51,3,4,69780,0.8785612,0.116838634
106,25812,487,52,1,1,98147,0.26299328,0.6772698
630,25812,232,52,1,2,98147,0.26299328,0.6772698
62,25812,125,52,1,3,98147,0.26299328,0.6772698
120,25812,1000,52,1,4,98147,0.26299328,0.6772698
138,66472,680,52,2,1,98147,0.26299328,0.6772698
689,66472,304,52,2,2,98147,0.26299328,0.6772698
179,66472,260,52,2,3,98147,0.26299328,0.6772698
112,66472,1631,52,2,4,98147,0.26299328,0.6772698
15,5863,36,52,3,1,98147,0.26299328,0.6772698
43,5863,38,52,3,2,98147,0.26299328,0.6772698
7,5863,38,52,3,3,98147,0.26299328,0.6772698
15,5863,479,52,3,4,98147,0.26299328,0.6772698
352,8721,660,53,1,1,35873,0.24310763,0.15276113
243,8721,239,53,1,2,35873,0.24310763,0.15276113
205,8721,884,53,1,3,35873,0.24310763,0.15276113
118,8721,202,53,1,4,35873,0.24310763,0.15276113
42,5480,162,53,2,1,35873,0.24310763,0.15276113
49,5480,62,53,2,2,35873,0.24310763,0.15276113
104,5480,167,53,2,3,35873,0.24310763,0.15276113
42,5480,77,53,2,4,35873,0.24310763,0.15276113
15,21672,135,53,3,1,35873,0.24310763,0.15276113
17,21672,24,53,3,2,35873,0.24310763,0.15276113
25,21672,106,53,3,3,35873,0.24310763,0.15276113
4,21672,28,53,3,4,35873,0.24310763,0.15276113
263,35213,471,54,1,1,51934,0.67803365,0.17345092
429,35213,294,54,1,2,51934,0.67803365,0.17345092
49,35213,479,54,1,3,51934,0.67803365,0.17345092
114,35213,825,54,1,4,51934,0.67803365,0.17345092
39,9008,78,54,2,1,51934,0.67803365,0.17345092
63,9008,46,54,2,2,51934,0.67803365,0.17345092
0,9008,89,54,2,3,51934,0.67803365,0.17345092
23,9008,99,54,2,4,51934,0.67803365,0.17345092
5,7713,15,54,3,1,51934,0.67803365,0.17345092
9,7713,10,54,3,2,51934,0.67803365,0.17345092
1,7713,13,54,3,3,51934,0.67803365,0.17345092
0,7713,10,54,3,4,51934,0.67803365,0.17345092
131,10809,218,55,1,1,103633,0.10430075,0.5417676
179,10809,69,55,1,2,103633,0.10430075,0.5417676
26,10809,149,55,1,3,103633,0.10430075,0.5417676
13,10809,259,55,1,4,103633,0.10430075,0.5417676
172,56145,632,55,2,1,103633,0.10430075,0.5417676
339,56145,197,55,2,2,103633,0.10430075,0.5417676
124,56145,200,55,2,3,103633,0.10430075,0.5417676
103,56145,784,55,2,4,103633,0.10430075,0.5417676
11,36679,94,55,3,1,103633,0.10430075,0.5417676
28,36679,37,55,3,2,103633,0.10430075,0.5417676
7,36679,38,55,3,3,103633,0.10430075,0.5417676
7,36679,174,55,3,4,103633,0.10430075,0.5417676
35,543,76,56,1,1,45505,0.011932755,0.23663333
43,543,42,56,1,2,45505,0.011932755,0.23663333
20,543,29,56,1,3,45505,0.011932755,0.23663333
16,543,32,56,1,4,45505,0.011932755,0.23663333
45,10768,192,56,2,1,45505,0.011932755,0.23663333
148,10768,96,56,2,2,45505,0.011932755,0.23663333
72,10768,77,56,2,3,45505,0.011932755,0.23663333
10,10768,110,56,2,4,45505,0.011932755,0.23663333
31,34194,195,56,3,1,45505,0.011932755,0.23663333
90,34194,64,56,3,2,45505,0.011932755,0.23663333
51,34194,78,56,3,3,45505,0.011932755,0.23663333
11,34194,78,56,3,4,45505,0.011932755,0.23663333
228,8536,155,57,1,1,44615,0.19132578,0.13780119
230,8536,70,57,1,2,44615,0.19132578,0.13780119
86,8536,97,57,1,3,44615,0.19132578,0.13780119
77,8536,131,57,1,4,44615,0.19132578,0.13780119
40,6148,42,57,2,1,44615,0.19132578,0.13780119
32,6148,18,57,2,2,44615,0.19132578,0.13780119
30,6148,32,57,2,3,44615,0.19132578,0.13780119
16,6148,35,57,2,4,44615,0.19132578,0.13780119
44,29931,117,57,3,1,44615,0.19132578,0.13780119
37,29931,39,57,3,2,44615,0.19132578,0.13780119
17,29931,44,57,3,3,44615,0.19132578,0.13780119
19,29931,32,57,3,4,44615,0.19132578,0.13780119
569,31861,632,58,1,1,58742,0.54238874,0.19818869
1252,31861,254,58,1,2,58742,0.54238874,0.19818869
299,31861,251,58,1,3,58742,0.54238874,0.19818869
100,31861,624,58,1,4,58742,0.54238874,0.19818869
50,11642,127,58,2,1,58742,0.54238874,0.19818869
150,11642,42,58,2,2,58742,0.54238874,0.19818869
87,11642,30,58,2,3,58742,0.54238874,0.19818869
24,11642,121,58,2,4,58742,0.54238874,0.19818869
21,15239,25,58,3,1,58742,0.54238874,0.19818869
51,15239,10,58,3,2,58742,0.54238874,0.19818869
54,15239,31,58,3,3,58742,0.54238874,0.19818869
14,15239,90,58,3,4,58742,0.54238874,0.19818869
123,7333,262,59,1,1,102128,0.07180205,0.25997767
134,7333,87,59,1,2,102128,0.07180205,0.25997767
114,7333,118,59,1,3,102128,0.07180205,0.25997767
34,7333,153,59,1,4,102128,0.07180205,0.25997767
89,26551,224,59,2,1,102128,0.07180205,0.25997767
187,26551,101,59,2,2,102128,0.07180205,0.25997767
226,26551,83,59,2,3,102128,0.07180205,0.25997767
45,26551,189,59,2,4,102128,0.07180205,0.25997767
57,68244,139,59,3,1,102128,0.07180205,0.25997767
61,68244,45,59,3,2,102128,0.07180205,0.25997767
67,68244,108,59,3,3,102128,0.07180205,0.25997767
10,68244,191,59,3,4,102128,0.07180205,0.25997767
483,55388,1093,60,1,1,82630,0.6703134,0.2547622
1489,55388,474,60,1,2,82630,0.6703134,0.2547622
350,55388,560,60,1,3,82630,0.6703134,0.2547622
178,55388,2082,60,1,4,82630,0.6703134,0.2547622
66,21051,237,60,2,1,82630,0.6703134,0.2547622
263,21051,101,60,2,2,82630,0.6703134,0.2547622
42,21051,95,60,2,3,82630,0.6703134,0.2547622
17,21051,249,60,2,4,82630,0.6703134,0.2547622
4,6191,71,60,3,1,82630,0.6703134,0.2547622
24,6191,45,60,3,2,82630,0.6703134,0.2547622
20,6191,36,60,3,3,82630,0.6703134,0.2547622
5,6191,113,60,3,4,82630,0.6703134,0.2547622
106,612,44,61,1,1,141098,0.004337411,0.14740819
81,612,55,61,1,2,141098,0.004337411,0.14740819
94,612,73,61,1,3,141098,0.004337411,0.14740819
6,612,148,61,1,4,141098,0.004337411,0.14740819
135,20799,304,61,2,1,141098,0.004337411,0.14740819
163,20799,122,61,2,2,141098,0.004337411,0.14740819
426,20799,228,61,2,3,141098,0.004337411,0.14740819
43,20799,296,61,2,4,141098,0.004337411,0.14740819
105,119687,273,61,3,1,141098,0.004337411,0.14740819
163,119687,81,61,3,2,141098,0.004337411,0.14740819
253,119687,183,61,3,3,141098,0.004337411,0.14740819
50,119687,252,61,3,4,141098,0.004337411,0.14740819
266,86130,698,62,1,1,165462,0.5205425,0.10496066
732,86130,243,62,1,2,165462,0.5205425,0.10496066
317,86130,235,62,1,3,165462,0.5205425,0.10496066
85,86130,492,62,1,4,165462,0.5205425,0.10496066
13,17367,53,62,2,1,165462,0.5205425,0.10496066
42,17367,12,62,2,2,165462,0.5205425,0.10496066
49,17367,45,62,2,3,165462,0.5205425,0.10496066
13,17367,24,62,2,4,165462,0.5205425,0.10496066
14,61965,82,62,3,1,165462,0.5205425,0.10496066
31,61965,22,62,3,2,165462,0.5205425,0.10496066
67,61965,65,62,3,3,165462,0.5205425,0.10496066
6,61965,43,62,3,4,165462,0.5205425,0.10496066
194,21702,241,63,1,1,99627,0.21783252,0.18714806
300,21702,103,63,1,2,99627,0.21783252,0.18714806
127,21702,112,63,1,3,99627,0.21783252,0.18714806
54,21702,277,63,1,4,99627,0.21783252,0.18714806
62,18645,136,63,2,1,99627,0.21783252,0.18714806
158,18645,51,63,2,2,99627,0.21783252,0.18714806
85,18645,85,63,2,3,99627,0.21783252,0.18714806
26,18645,97,63,2,4,99627,0.21783252,0.18714806
57,59280,154,63,3,1,99627,0.21783252,0.18714806
74,59280,58,63,3,2,99627,0.21783252,0.18714806
88,59280,65,63,3,3,99627,0.21783252,0.18714806
23,59280,77,63,3,4,99627,0.21783252,0.18714806
238,15942,229,64,1,1,113236,0.14078562,0.16531844
203,15942,70,64,1,2,113236,0.14078562,0.16531844
205,15942,153,64,1,3,113236,0.14078562,0.16531844
171,15942,150,64,1,4,113236,0.14078562,0.16531844
33,18720,86,64,2,1,113236,0.14078562,0.16531844
63,18720,21,64,2,2,113236,0.14078562,0.16531844
129,18720,53,64,2,3,113236,0.14078562,0.16531844
49,18720,51,64,2,4,113236,0.14078562,0.16531844
65,78574,118,64,3,1,113236,0.14078562,0.16531844
51,78574,30,64,3,2,113236,0.14078562,0.16531844
122,78574,66,64,3,3,113236,0.14078562,0.16531844
22,78574,18,64,3,4,113236,0.14078562,0.16531844
97,2292,97,65,1,1,75739,0.03026182,0.38925785
108,2292,31,65,1,2,75739,0.03026182,0.38925785
177,2292,108,65,1,3,75739,0.03026182,0.38925785
4,2292,56,65,1,4,75739,0.03026182,0.38925785
239,29482,309,65,2,1,75739,0.03026182,0.38925785
260,29482,105,65,2,2,75739,0.03026182,0.38925785
777,29482,167,65,2,3,75739,0.03026182,0.38925785
83,29482,220,65,2,4,75739,0.03026182,0.38925785
74,43965,170,65,3,1,75739,0.03026182,0.38925785
73,43965,51,65,3,2,75739,0.03026182,0.38925785
375,43965,110,65,3,3,75739,0.03026182,0.38925785
23,43965,64,65,3,4,75739,0.03026182,0.38925785
166,9513,192,66,1,1,171246,0.055551663,0.18861754
211,9513,54,66,1,2,171246,0.055551663,0.18861754
238,9513,147,66,1,3,171246,0.055551663,0.18861754
164,9513,98,66,1,4,171246,0.055551663,0.18861754
224,32300,195,66,2,1,171246,0.055551663,0.18861754
277,32300,61,66,2,2,171246,0.055551663,0.18861754
560,32300,215,66,2,3,171246,0.055551663,0.18861754
205,32300,83,66,2,4,171246,0.055551663,0.18861754
105,129433,206,66,3,1,171246,0.055551663,0.18861754
136,129433,72,66,3,2,171246,0.055551663,0.18861754
555,129433,157,66,3,3,171246,0.055551663,0.18861754
100,129433,137,66,3,4,171246,0.055551663,0.18861754
83,13400,144,67,1,1,84233,0.15908255,0.55795234
92,13400,52,67,1,2,84233,0.15908255,0.55795234
94,13400,251,67,1,3,84233,0.15908255,0.55795234
31,13400,126,67,1,4,84233,0.15908255,0.55795234
437,46998,658,67,2,1,84233,0.15908255,0.55795234
630,46998,214,67,2,2,84233,0.15908255,0.55795234
670,46998,484,67,2,3,84233,0.15908255,0.55795234
161,46998,701,67,2,4,84233,0.15908255,0.55795234
33,23835,95,67,3,1,84233,0.15908255,0.55795234
38,23835,27,67,3,2,84233,0.15908255,0.55795234
134,23835,123,67,3,3,84233,0.15908255,0.55795234
27,23835,130,67,3,4,84233,0.15908255,0.55795234
64,2129,62,68,1,1,93656,0.022732126,0.07659947
32,2129,13,68,1,2,93656,0.022732126,0.07659947
220,2129,41,68,1,3,93656,0.022732126,0.07659947
7,2129,23,68,1,4,93656,0.022732126,0.07659947
24,7174,42,68,2,1,93656,0.022732126,0.07659947
19,7174,8,68,2,2,93656,0.022732126,0.07659947
151,7174,29,68,2,3,93656,0.022732126,0.07659947
10,7174,19,68,2,4,93656,0.022732126,0.07659947
48,84353,163,68,3,1,93656,0.022732126,0.07659947
71,84353,35,68,3,2,93656,0.022732126,0.07659947
423,84353,91,68,3,3,93656,0.022732126,0.07659947
40,84353,90,68,3,4,93656,0.022732126,0.07659947
169,1839,179,69,1,1,91239,0.020155855,0.10983242
47,1839,41,69,1,2,91239,0.020155855,0.10983242
98,1839,77,69,1,3,91239,0.020155855,0.10983242
40,1839,31,69,1,4,91239,0.020155855,0.10983242
91,10021,154,69,2,1,91239,0.020155855,0.10983242
41,10021,37,69,2,2,91239,0.020155855,0.10983242
211,10021,64,69,2,3,91239,0.020155855,0.10983242
30,10021,21,69,2,4,91239,0.020155855,0.10983242
156,79379,226,69,3,1,91239,0.020155855,0.10983242
44,79379,35,69,3,2,91239,0.020155855,0.10983242
299,79379,131,69,3,3,91239,0.020155855,0.10983242
41,79379,54,69,3,4,91239,0.020155855,0.10983242
283,100628,875,70,1,1,107491,0.9361528,0.039547496
1728,100628,394,70,1,2,107491,0.9361528,0.039547496
277,100628,465,70,1,3,107491,0.9361528,0.039547496
131,100628,1438,70,1,4,107491,0.9361528,0.039547496
4,4251,39,70,2,1,107491,0.9361528,0.039547496
21,4251,22,70,2,2,107491,0.9361528,0.039547496
14,4251,109,70,2,3,107491,0.9361528,0.039547496
4,4251,57,70,2,4,107491,0.9361528,0.039547496
0,2612,31,70,3,1,107491,0.9361528,0.039547496
10,2612,8,70,3,2,107491,0.9361528,0.039547496
4,2612,60,70,3,3,107491,0.9361528,0.039547496
0,2612,55,70,3,4,107491,0.9361528,0.039547496
307,16282,247,71,1,1,156604,0.103969246,0.25155807
522,16282,114,71,1,2,156604,0.103969246,0.25155807
145,16282,141,71,1,3,156604,0.103969246,0.25155807
60,16282,583,71,1,4,156604,0.103969246,0.25155807
196,39395,264,71,2,1,156604,0.103969246,0.25155807
344,39395,113,71,2,2,156604,0.103969246,0.25155807
288,39395,146,71,2,3,156604,0.103969246,0.25155807
138,39395,326,71,2,4,156604,0.103969246,0.25155807
199,100927,371,71,3,1,156604,0.103969246,0.25155807
259,100927,94,71,3,2,156604,0.103969246,0.25155807
341,100927,102,71,3,3,156604,0.103969246,0.25155807
123,100927,497,71,3,4,156604,0.103969246,0.25155807
127,20583,236,72,1,1,119640,0.17204112,0.5080408
332,20583,81,72,1,2,119640,0.17204112,0.5080408
206,20583,99,72,1,3,119640,0.17204112,0.5080408
37,20583,374,72,1,4,119640,0.17204112,0.5080408
444,60782,856,72,2,1,119640,0.17204112,0.5080408
841,60782,287,72,2,2,119640,0.17204112,0.5080408
1054,60782,404,72,2,3,119640,0.17204112,0.5080408
128,60782,619,72,2,4,119640,0.17204112,0.5080408
63,38275,128,72,3,1,119640,0.17204112,0.5080408
96,38275,50,72,3,2,119640,0.17204112,0.5080408
197,38275,125,72,3,3,119640,0.17204112,0.5080408
35,38275,135,72,3,4,119640,0.17204112,0.5080408
858,24964,1067,73,1,1,132443,0.18848863,0.1264997
982,24964,527,73,1,2,132443,0.18848863,0.1264997
287,24964,517,73,1,3,132443,0.18848863,0.1264997
365,24964,1357,73,1,4,132443,0.18848863,0.1264997
176,16754,282,73,2,1,132443,0.18848863,0.1264997
160,16754,179,73,2,2,132443,0.18848863,0.1264997
112,16754,183,73,2,3,132443,0.18848863,0.1264997
73,16754,319,73,2,4,132443,0.18848863,0.1264997
135,90725,449,73,3,1,132443,0.18848863,0.1264997
136,90725,137,73,3,2,132443,0.18848863,0.1264997
216,90725,344,73,3,3,132443,0.18848863,0.1264997
150,90725,497,73,3,4,132443,0.18848863,0.1264997
90,2479,101,74,1,1,163291,0.015181486,0.057847645
59,2479,33,74,1,2,163291,0.015181486,0.057847645
33,2479,205,74,1,3,163291,0.015181486,0.057847645
15,2479,60,74,1,4,163291,0.015181486,0.057847645
55,9446,111,74,2,1,163291,0.015181486,0.057847645
60,9446,21,74,2,2,163291,0.015181486,0.057847645
72,9446,82,74,2,3,163291,0.015181486,0.057847645
47,9446,68,74,2,4,163291,0.015181486,0.057847645
226,151366,500,74,3,1,163291,0.015181486,0.057847645
213,151366,195,74,3,2,163291,0.015181486,0.057847645
288,151366,487,74,3,3,163291,0.015181486,0.057847645
169,151366,311,74,3,4,163291,0.015181486,0.057847645
3,1028,5,75,1,1,65953,0.015586858,0.049019758
2,1028,2,75,1,2,65953,0.015586858,0.049019758
2,1028,6,75,1,3,65953,0.015586858,0.049019758
0,1028,3,75,1,4,65953,0.015586858,0.049019758
5,3233,21,75,2,1,65953,0.015586858,0.049019758
6,3233,9,75,2,2,65953,0.015586858,0.049019758
7,3233,10,75,2,3,65953,0.015586858,0.049019758
2,3233,4,75,2,4,65953,0.015586858,0.049019758
111,61692,181,75,3,1,65953,0.015586858,0.049019758
48,61692,38,75,3,2,65953,0.015586858,0.049019758
115,61692,61,75,3,3,65953,0.015586858,0.049019758
21,61692,32,75,3,4,65953,0.015586858,0.049019758
