year,uclms,ez,d81,d82,d83,d84,d85,d86,d87,d88,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,luclms,guclms,cez,guclms_1,guclms_2,t,ezt,city
1986,127496,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.75584,0.2578354,0,-0.28830814,-0.24198341,7,0,16
1987,68938,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.140963,-0.6148777,0,0.2578354,-0.28830814,8,0,16
1988,35683,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.4824295,-0.6585331,0,-0.6148777,0.2578354,9,0,16
1980,69414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.147844,,,,,1,0,17
1981,51411,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.847608,-0.3002367,0,,,2,0,17
1982,81890,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.313132,0.46552467,0,-0.3002367,,3,0,17
1983,68351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.132411,-0.18072128,0,0.46552467,-0.3002367,4,0,17
1984,41922,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.643566,-0.48884487,1,-0.18072128,0.46552467,5,5,17
1985,35915,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.488911,-0.15465546,0,-0.48884487,-0.18072128,6,6,17
1986,41679,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.637753,0.14884186,0,-0.15465546,-0.48884487,7,7,17
1987,26688,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.191969,-0.44578362,0,0.14884186,-0.15465546,8,8,17
1988,18749,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.838896,-0.35307312,0,-0.44578362,0.14884186,9,9,17
1980,113176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.6367,,,,,1,0,18
1981,97565,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.488275,-0.1484251,0,,,2,0,18
1982,131498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.786747,0.2984724,0,-0.1484251,,3,0,18
1983,86524,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.368177,-0.41856956,0,0.2984724,-0.1484251,4,0,18
1984,56333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.939035,-0.429142,0,-0.41856956,0.2984724,5,0,18
1985,59866,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.999864,0.06082821,0,-0.429142,-0.41856956,6,0,18
1986,53627,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.889808,-0.11005592,0,0.06082821,-0.429142,7,0,18
1987,47979,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.778519,-0.111289024,0,-0.11005592,0.06082821,8,0,18
1988,36244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.498029,-0.28048992,0,-0.111289024,-0.11005592,9,0,18
1980,129888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.774427,,,,,1,0,19
1981,79055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.277899,-0.49652863,0,,,2,0,19
1982,141472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.859858,0.5819588,0,-0.49652863,,3,0,19
1983,110151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.609608,-0.25024986,0,0.5819588,-0.49652863,4,0,19
1984,95703,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.469005,-0.14060307,0,-0.25024986,0.5819588,5,0,19
1985,68787,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.13877,-0.33023453,0,-0.14060307,-0.25024986,6,0,19
1986,100571,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.51862,0.37984943,0,-0.33023453,-0.14060307,7,0,19
1987,50113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.822036,-0.69658375,0,0.37984943,-0.33023453,8,0,19
1988,25378,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.141638,-0.680398,0,-0.69658375,0.37984943,9,0,19
1980,80938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.301438,,,,,1,0,20
1981,57151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.953452,-0.34798622,0,,,2,0,20
1982,86658,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.369724,0.41627216,0,-0.34798622,,3,0,20
1983,61894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.033178,-0.33654594,0,0.41627216,-0.34798622,4,0,20
1984,43845,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.688416,-0.3447628,1,-0.33654594,0.41627216,5,5,20
1985,42177,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.649631,-0.03878498,0,-0.3447628,-0.33654594,6,6,20
1986,43492,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.680332,0.030701637,0,-0.03878498,-0.3447628,7,7,20
1987,29056,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.27698,-0.40335178,0,0.030701637,-0.03878498,8,8,20
1988,25265,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.137176,-0.13980484,0,-0.40335178,0.030701637,9,9,20
1980,211992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.264304,,,,,1,0,21
1981,140147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.850447,-0.41385746,0,,,2,0,21
1982,184445,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.125107,0.2746601,0,-0.41385746,,3,0,21
1983,133003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.798127,-0.32697964,0,0.2746601,-0.41385746,4,0,21
1984,93236,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.442889,-0.35523796,1,-0.32697964,0.2746601,5,5,21
1985,98053,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.493263,0.05037403,0,-0.35523796,-0.32697964,6,6,21
1986,84704,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.346918,-0.14634514,0,0.05037403,-0.35523796,7,7,21
1987,63663,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.061358,-0.28555965,0,-0.14634514,0.05037403,8,8,21
1988,59090,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.986817,-0.07454109,0,-0.28555965,-0.14634514,9,9,21
1980,112330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.629196,,,,,1,0,22
1981,104073,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.552848,-0.076348305,0,,,2,0,22
1982,146544,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.895081,0.3422327,0,-0.076348305,,3,0,22
1983,139328,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.844586,-0.050494194,0,0.3422327,-0.076348305,4,0,22
1984,80605,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.297316,-0.5472708,0,-0.050494194,0.3422327,5,0,22
1985,82758,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.323676,0.026360512,0,-0.5472708,-0.050494194,6,0,22
1986,67815,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.124538,-0.19913769,0,0.026360512,-0.5472708,7,0,22
1987,67762,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.123756,-0.00078201294,0,-0.19913769,0.026360512,8,0,22
1988,56837,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.947943,-0.17581367,0,-0.00078201294,-0.19913769,9,0,22
