Y,U,I,H,G
4,5,99,10021,10021:99
0,5,137,10062,10062:137
1,5,85,10038,10038:85
-1,5,67,20075,20075:67
-9,5,113,20085,20085:113
4,5,101,20083,20083:101
0,5,71,20074,20074:71
-2,5,23,10009,10009:23
0,5,101,20044,20044:101
1,5,131,20042,20042:131
-5,5,135,10004,10004:135
1,5,37,10083,10083:37
1,5,41,10101,10101:41
6,5,85,10019,10019:85
1,5,69,20042,20042:69
-2,5,115,10018,10018:115
-4,5,129,10062,10062:129
-3,5,121,10009,10009:121
13,5,55,10044,10044:55
-1,5,131,20037,20037:131
-1,5,115,10074,10074:115
0,5,81,10030,10030:81
-2,5,63,10003,10003:63
0,5,129,10011,10011:129
0,5,135,10043,10043:135
-3,5,37,10010,10010:37
24,5,131,10051,10051:131
-1,5,45,10053,10053:45
-2,5,67,20063,20063:67
4,5,21,20023,20023:21
4,5,10,20090,20090:10
-11,5,21,20024,20024:21
-1,5,113,20068,20068:113
-2,5,53,10010,10010:53
2,5,109,10099,10099:109
-4,5,21,10102,10102:21
-2,5,67,10096,10096:67
0,5,74,20075,20075:74
-2,5,41,20047,20047:41
-2,5,101,10050,10050:101
0,5,33,20016,20016:33
1,5,27,10132,10132:27
0,5,37,10059,10059:37
4,5,67,10103,10103:67
3,5,27,20081,20081:27
34,5,71,10095,10095:71
5,5,101,20008,20008:101
0,5,27,20087,20087:27
-2,5,129,10089,10089:129
-5,5,101,20080,20080:101
0,5,131,20066,20066:131
-1,5,74,10011,10011:74
1,5,67,10085,10085:67
2,5,99,10103,10103:99
4,5,95,20008,20008:95
5,5,129,20009,20009:129
8,5,115,20037,20037:115
-2,5,2,10010,10010:2
2,5,45,10066,10066:45
10,5,139,20062,20062:139
0,5,67,20006,20006:67
-1,5,14,10004,10004:14
-2,5,105,10037,10037:105
-1,5,55,20018,20018:55
-1,5,99,20037,20037:99
0,5,71,20018,20018:71
-11,5,115,20010,20010:115
0,5,95,20080,20080:95
1,5,37,10099,10099:37
0,5,53,20065,20065:53
0,5,81,20016,20016:81
-3,5,129,10104,10104:129
0,5,77,20026,20026:77
-13,5,67,20084,20084:67
-2,5,139,10047,10047:139
0,5,137,10001,10001:137
27,5,137,10043,10043:137
30,5,69,10014,10014:69
3,5,99,10091,10091:99
0,5,67,20046,20046:67
2,5,109,10078,10078:109
0,5,101,10004,10004:101
0,5,131,20074,20074:131
20,5,53,10083,10083:53
-1,5,41,20051,20051:41
2,5,74,10114,10114:74
-13,5,63,20020,20020:63
3,5,67,10074,10074:67
-2,5,2,10122,10122:2
-2,5,53,10077,10077:53
2,5,105,20025,20025:105
0,5,113,10054,10054:113
-4,5,109,20003,20003:109
11,5,10,10008,10008:10
-2,5,69,20024,20024:69
-7,5,69,10008,10008:69
4,6,77,20067,20067:77
0,6,55,20047,20047:55
-5,6,33,10032,10032:33
3,6,95,20023,20023:95
1,6,27,10060,10060:27
-50,6,139,20029,20029:139
11,6,139,20009,20009:139
2,6,55,20057,20057:55
1,6,99,10025,10025:99
-8,6,99,10020,10020:99
-1,6,41,10009,10009:41
2,6,113,10083,10083:113
11,6,63,10074,10074:63
4,6,105,20028,20028:105
-1,6,63,20047,20047:63
-21,6,14,10095,10095:14
0,6,37,10042,10042:37
0,6,121,20056,20056:121
-1,6,95,10019,10019:95
1,6,53,10116,10116:53
6,6,33,20086,20086:33
7,6,63,10098,10098:63
0,6,121,10024,10024:121
22,6,74,10045,10045:74
-2,6,101,10034,10034:101
0,6,113,10110,10110:113
-1,6,81,10059,10059:81
-13,6,83,20088,20088:83
0,6,2,20012,20012:2
26,6,105,10095,10095:105
15,6,139,10058,10058:139
0,6,74,20087,20087:74
3,6,10,20057,20057:10
4,6,129,10033,10033:129
-2,6,41,10114,10114:41
2,6,83,10110,10110:83
-13,6,53,10100,10100:53
1,6,95,10087,10087:95
0,6,99,20082,20082:99
50,6,109,10114,10114:109
2,6,55,20025,20025:55
9,6,105,10125,10125:105
0,6,121,10131,10131:121
1,6,129,10087,10087:129
2,6,45,10125,10125:45
15,6,23,10046,10046:23
2,6,21,10060,10060:21
-3,6,21,10010,10010:21
-12,6,121,20075,20075:121
-2,6,74,10104,10104:74
7,6,67,10062,10062:67
0,6,115,20002,20002:115
-9,6,10,20025,20025:10
11,6,121,20009,20009:121
0,6,55,20039,20039:55
0,6,21,20022,20022:21
-15,6,27,20037,20037:27
20,6,14,10078,10078:14
-11,6,69,20004,20004:69
-26,6,101,10120,10120:101
0,6,10,10064,10064:10
1,6,45,10015,10015:45
0,6,113,20056,20056:113
-12,6,55,10032,10032:55
0,6,23,10011,10011:23
0,6,2,20035,20035:2
0,6,95,10120,10120:95
2,6,139,20069,20069:139
-6,6,115,20065,20065:115
0,6,101,20036,20036:101
0,6,83,20087,20087:83
26,6,109,10117,10117:109
-21,6,109,10010,10010:109
9,6,53,20009,20009:53
0,6,109,20002,20002:109
0,6,121,10005,10005:121
-2,6,81,10018,10018:81
-2,6,135,10047,10047:135
2,6,115,10048,10048:115
0,6,101,20026,20026:101
-1,6,27,10071,10071:27
0,6,53,20056,20056:53
7,6,63,10105,10105:63
2,6,81,10110,10110:81
-3,6,113,10120,10120:113
-3,6,95,10010,10010:95
0,6,41,10080,10080:41
-1,6,115,10104,10104:115
-2,6,135,10029,10029:135
0,6,45,10052,10052:45
-4,6,129,10053,10053:129
-2,6,121,10071,10071:121
0,6,41,10064,10064:41
0,6,45,10018,10018:45
-2,6,77,20063,20063:77
5,6,135,20023,20023:135
-9,6,115,10120,10120:115
0,6,67,20080,20080:67
23,6,137,10084,10084:137
8,6,33,10075,10075:33
-6,6,135,10020,10020:135
0,6,101,20022,20022:101
-3,6,67,10065,10065:67
18,6,121,20089,20089:121
42,6,2,10087,10087:2
-6,6,41,20028,20028:41
0,6,14,20078,20078:14
-3,6,27,10049,10049:27
12,6,21,10085,10085:21
24,6,105,10003,10003:105
0,6,121,20044,20044:121
1,6,115,20068,20068:115
-5,6,21,10108,10108:21
-32,6,109,20075,20075:109
50,6,69,10015,10015:69
-5,6,135,20011,20011:135
-1,6,83,10035,10035:83
-12,6,109,10066,10066:109
13,6,121,20042,20042:121
0,6,45,20089,20089:45
1,6,27,10131,10131:27
0,6,137,20011,20011:137
-10,6,83,10101,10101:83
1,6,131,10038,10038:131
2,6,33,10112,10112:33
0,6,101,20014,20014:101
25,6,55,10089,10089:55
7,6,139,10115,10115:139
12,6,23,10041,10041:23
-1,6,10,10059,10059:10
0,6,121,20020,20020:121
-3,6,81,10104,10104:81
-4,6,135,10021,10021:135
-2,6,131,10018,10018:131
0,6,109,10043,10043:109
0,6,2,10054,10054:2
0,6,23,20044,20044:23
-1,6,21,10105,10105:21
0,6,85,10026,10026:85
-3,6,21,20069,20069:21
-2,6,14,10010,10010:14
-1,6,55,20017,20017:55
0,6,33,20089,20089:33
-6,6,53,20069,20069:53
-1,6,45,10059,10059:45
26,6,105,10101,10101:105
50,6,137,10015,10015:137
-3,6,67,10012,10012:67
15,6,37,10032,10032:37
-1,6,23,20024,20024:23
-1,6,101,20012,20012:101
-5,6,33,10088,10088:33
-3,6,21,10065,10065:21
1,6,99,20002,20002:99
3,6,81,10084,10084:81
30,6,109,10065,10065:109
12,6,14,10040,10040:14
-2,6,113,10014,10014:113
19,6,2,10032,10032:2
0,6,81,10047,10047:81
2,6,71,10026,10026:71
1,6,67,10113,10113:67
8,6,109,20012,20012:109
0,6,63,20066,20066:63
-4,6,99,10046,10046:99
-3,6,33,10065,10065:33
21,6,115,10051,10051:115
-2,6,74,10096,10096:74
-1,6,77,10066,10066:77
1,6,95,10039,10039:95
-1,6,67,10009,10009:67
0,6,45,20069,20069:45
1,6,77,10039,10039:77
37,6,77,10059,10059:77
-11,6,115,20082,20082:115
3,6,135,20086,20086:135
0,6,41,10035,10035:41
0,6,67,20018,20018:67
0,6,139,20021,20021:139
-13,6,63,10032,10032:63
4,6,101,10101,10101:101
2,6,37,20077,20077:37
5,6,99,20073,20073:99
3,6,77,20020,20020:77
11,6,101,10067,10067:101
2,6,45,10113,10113:45
0,6,21,10114,10114:21
3,6,14,20077,20077:14
-1,6,21,10089,10089:21
-4,6,41,10065,10065:41
2,6,95,10098,10098:95
0,6,95,10025,10025:95
1,6,137,10103,10103:137
-2,6,81,10074,10074:81
50,6,105,10119,10119:105
0,6,55,20032,20032:55
-2,6,63,10035,10035:63
0,6,101,20006,20006:101
-23,6,113,10132,10132:113
-39,6,109,20039,20039:109
2,6,81,10078,10078:81
26,6,23,20022,20022:23
-50,6,113,10114,10114:113
-2,6,14,10071,10071:14
2,6,131,10122,10122:131
0,6,23,10013,10013:23
4,6,121,20067,20067:121
1,6,33,20054,20054:33
-1,6,53,10034,10034:53
-2,6,74,10019,10019:74
2,6,101,10061,10061:101
2,6,33,10033,10033:33
0,6,131,20039,20039:131
4,6,10,10091,10091:10
8,6,109,10008,10008:109
-2,6,77,10086,10086:77
5,6,55,10131,10131:55
2,6,33,10053,10053:33
-1,6,10,10004,10004:10
2,6,101,20002,20002:101
2,6,71,10090,10090:71
-9,6,74,10122,10122:74
7,6,45,10041,10041:45
-2,6,21,10050,10050:21
-5,6,95,10108,10108:95
1,6,137,10005,10005:137
4,6,41,20077,20077:41
2,6,37,20002,20002:37
-15,6,115,20057,20057:115
4,6,23,20081,20081:23
3,6,37,10080,10080:37
0,6,81,20087,20087:81
-6,6,10,10019,10019:10
2,6,55,20090,20090:55
1,6,21,10116,10116:21
15,6,83,10054,10054:83
-8,6,21,20063,20063:21
7,6,135,10015,10015:135
-1,6,45,10009,10009:45
-2,6,137,10006,10006:137
2,6,74,10025,10025:74
4,6,77,10041,10041:77
1,6,63,10067,10067:63
-15,6,99,20036,20036:99
-1,6,113,10009,10009:113
2,6,53,20023,20023:53
-1,6,129,10042,10042:129
2,6,109,10061,10061:109
2,6,69,20008,20008:69
2,6,71,10050,10050:71
1,6,53,10064,10064:53
-4,6,37,10108,10108:37
12,6,33,20017,20017:33
1,6,95,10075,10075:95
29,6,55,10034,10034:55
9,6,129,10061,10061:129
-1,6,23,20020,20020:23
7,6,95,10114,10114:95
2,6,101,10025,10025:101
50,6,2,10084,10084:2
1,6,37,10033,10033:37
0,6,139,20024,20024:139
0,6,131,10089,10089:131
0,6,113,10021,10021:113
0,6,109,10038,10038:109
2,6,23,10112,10112:23
2,6,33,10041,10041:33
7,6,113,10045,10045:113
3,6,55,10039,10039:55
-15,6,23,20021,20021:23
-14,6,139,20020,20020:139
-36,6,131,10083,10083:131
15,6,139,20073,20073:139
17,6,55,10051,10051:55
-2,6,10,10114,10114:10
-2,6,101,10006,10006:101
-1,6,77,10019,10019:77
23,6,105,10051,10051:105
-4,6,67,10050,10050:67
-2,6,129,10029,10029:129
-8,6,37,10056,10056:37
0,6,45,10095,10095:45
-2,6,129,10105,10105:129
2,6,99,20025,20025:99
0,6,115,10052,10052:115
-4,6,37,10088,10088:37
-7,6,115,20011,20011:115
4,6,41,10074,10074:41
-1,6,63,10058,10058:63
-10,6,27,10094,10094:27
-2,6,101,10115,10115:101
-8,6,74,10102,10102:74
0,6,2,10097,10097:2
2,6,37,10041,10041:37
24,6,137,10085,10085:137
9,6,105,20055,20055:105
-2,6,10,20073,20073:10
-15,6,135,20010,20010:135
-13,6,85,10101,10101:85
-5,6,139,10077,10077:139
-4,6,21,10115,10115:21
-2,6,27,10026,10026:27
13,6,14,20028,20028:14
0,6,137,20026,20026:137
2,6,137,10098,10098:137
-2,6,95,10012,10012:95
3,6,95,10101,10101:95
0,6,121,10077,10077:121
0,6,14,10087,10087:14
0,6,41,20044,20044:41
-6,6,95,20069,20069:95
-5,6,23,10063,10063:23
2,6,77,10090,10090:77
2,6,71,10112,10112:71
3,6,33,10064,10064:33
0,6,95,10043,10043:95
-1,6,41,10109,10109:41
34,6,77,20086,20086:77
-3,6,45,10055,10055:45
1,6,10,20077,20077:10
0,6,129,10006,10006:129
6,6,23,10054,10054:23
1,6,14,10060,10060:14
-1,6,10,20065,20065:10
6,6,121,20028,20028:121
-2,6,77,10011,10011:77
0,6,83,20056,20056:83
50,6,37,10112,10112:37
2,6,131,10029,10029:131
1,6,129,10101,10101:129
0,6,135,20080,20080:135
-2,6,21,10046,10046:21
9,6,131,10115,10115:131
7,6,33,10108,10108:33
0,6,41,10132,10132:41
0,6,95,20026,20026:95
24,6,101,20068,20068:101
0,6,41,20088,20088:41
0,6,137,20087,20087:137
0,6,63,10099,10099:63
2,6,105,10099,10099:105
2,6,101,10117,10117:101
2,6,131,10082,10082:131
0,6,45,20046,20046:45
-2,6,67,20073,20073:67
-1,6,99,10067,10067:99
0,6,113,10052,10052:113
2,6,129,10054,10054:129
-2,6,45,10065,10065:45
0,6,83,20025,20025:83
0,6,23,20088,20088:23
47,6,105,10050,10050:105
4,6,85,10067,10067:85
2,6,2,10101,10101:2
0,6,131,20045,20045:131
-1,6,99,20012,20012:99
3,6,69,10076,10076:69
-2,6,41,20048,20048:41
-5,6,81,20073,20073:81
15,6,14,10120,10120:14
-2,6,115,10029,10029:115
0,6,129,20055,20055:129
-1,6,101,20048,20048:101
0,6,53,20026,20026:53
0,6,83,20042,20042:83
19,6,129,10095,10095:129
0,6,71,20073,20073:71
5,6,23,10038,10038:23
0,6,67,20066,20066:67
4,6,135,10114,10114:135
-2,6,33,10011,10011:33
8,6,10,10104,10104:10
3,6,53,20028,20028:53
-10,6,131,10021,10021:131
-1,6,55,10116,10116:55
-1,6,83,20048,20048:83
0,6,2,10047,10047:2
0,6,109,10013,10013:109
-41,6,69,20067,20067:69
-3,6,71,20051,20051:71
0,6,115,10059,10059:115
6,6,99,10120,10120:99
0,6,41,20089,20089:41
-1,6,131,10091,10091:131
14,6,139,20006,20006:139
2,6,129,10024,10024:129
0,6,105,10047,10047:105
50,6,137,10114,10114:137
-2,6,21,10047,10047:21
1,6,63,10113,10113:63
-10,6,23,20004,20004:23
11,6,23,10085,10085:23
-1,6,45,20024,20024:45
19,6,53,10051,10051:53
2,6,41,20085,20085:41
-1,6,41,10062,10062:41
1,6,69,10090,10090:69
4,6,115,10116,10116:115
1,6,37,10066,10066:37
-4,6,131,20036,20036:131
2,6,81,20086,20086:81
-1,6,74,10001,10001:74
0,6,115,10019,10019:115
-2,6,37,10064,10064:37
0,6,129,20045,20045:129
-1,6,37,10011,10011:37
-1,6,71,10067,10067:71
-11,6,67,20004,20004:67
0,6,37,20044,20044:37
0,6,115,20088,20088:115
3,6,95,20037,20037:95
-28,6,115,10088,10088:115
0,6,101,20067,20067:101
0,6,2,10080,10080:2
0,6,69,20022,20022:69
2,6,129,20067,20067:129
-2,6,137,10047,10047:137
-2,6,45,10108,10108:45
0,6,77,10001,10001:77
0,6,2,20006,20006:2
-50,6,115,10114,10114:115
3,6,53,20077,20077:53
-2,6,33,10100,10100:33
-1,6,131,20081,20081:131
11,6,55,10117,10117:55
-2,6,95,10009,10009:95
3,6,99,10019,10019:99
-7,6,63,10041,10041:63
0,6,83,20065,20065:83
-2,6,23,10012,10012:23
0,6,137,10102,10102:137
7,6,115,20020,20020:115
-1,6,63,10015,10015:63
-1,6,67,10034,10034:67
-1,6,113,10089,10089:113
45,6,69,20078,20078:69
-3,6,99,10010,10010:99
2,6,81,20002,20002:81
0,6,41,10050,10050:41
0,6,63,10115,10115:63
9,6,99,10090,10090:99
34,6,101,10111,10111:101
1,6,69,10052,10052:69
15,6,53,10001,10001:53
50,6,2,10015,10015:2
0,6,113,20011,20011:113
-2,6,41,10034,10034:41
17,6,113,10041,10041:113
0,6,55,20056,20056:55
11,6,69,20009,20009:69
3,6,81,10027,10027:81
4,6,69,20047,20047:69
0,6,74,20048,20048:74
0,6,2,10036,10036:2
1,6,99,10096,10096:99
-8,6,45,10056,10056:45
15,6,137,10131,10131:137
0,6,21,20080,20080:21
50,6,99,20067,20067:99
-11,6,85,10064,10064:85
-1,6,83,10037,10037:83
0,6,77,10015,10015:77
1,6,99,20051,20051:99
0,6,37,10036,10036:37
50,6,131,10112,10112:131
1,6,109,10103,10103:109
-2,6,67,10066,10066:67
-2,6,135,10073,10073:135
26,6,23,10075,10075:23
0,6,129,20024,20024:129
3,6,74,10063,10063:74
0,6,85,20026,20026:85
0,6,71,20066,20066:71
2,6,67,10015,10015:67
3,6,53,10075,10075:53
-11,6,53,20017,20017:53
11,6,109,10005,10005:109
0,6,45,20088,20088:45
2,6,53,10098,10098:53
-1,6,129,20078,20078:129
10,6,109,20089,20089:109
3,6,14,10086,10086:14
1,6,10,10101,10101:10
2,6,53,10120,10120:53
16,6,2,20089,20089:2
-10,6,83,20036,20036:83
-2,6,137,10021,10021:137
12,6,2,20054,20054:2
1,6,95,10067,10067:95
-3,6,27,20080,20080:27
-2,6,37,10034,10034:37
50,6,69,10039,10039:69
0,6,81,20006,20006:81
0,6,74,20022,20022:74
11,6,115,20042,20042:115
-13,6,67,20083,20083:67
0,6,131,10113,10113:131
2,6,37,10096,10096:37
39,6,109,10112,10112:109
-1,6,81,20051,20051:81
-5,6,37,20073,20073:37
0,6,10,10026,10026:10
0,6,21,10018,10018:21
-1,6,129,10058,10058:129
3,6,2,20049,20049:2
11,6,10,10043,10043:10
-1,6,69,20048,20048:69
0,6,55,20087,20087:55
-3,6,131,20012,20012:131
-1,6,33,10036,10036:33
32,6,69,10078,10078:69
35,6,129,10091,10091:129
22,6,21,10051,10051:21
4,6,105,10113,10113:105
-4,6,137,10067,10067:137
0,6,55,20037,20037:55
4,6,33,10045,10045:33
-3,6,21,10027,10027:21
-4,6,37,10012,10012:37
-1,6,77,10102,10102:77
-5,6,74,20073,20073:74
-1,6,115,10089,10089:115
-2,6,69,20025,20025:69
1,6,2,20037,20037:2
15,6,109,20073,20073:109
2,6,137,10066,10066:137
0,6,131,10036,10036:131
2,6,137,10086,10086:137
0,6,77,10097,10097:77
0,6,27,10042,10042:27
0,6,67,10059,10059:67
0,6,135,20039,20039:135
-8,6,113,10029,10029:113
0,6,10,10033,10033:10
-16,6,115,10119,10119:115
10,6,10,20028,20028:10
0,6,37,10027,10027:37
2,6,121,10105,10105:121
0,6,37,20028,20028:37
-3,6,113,10096,10096:113
0,6,45,20065,20065:45
-1,6,121,10082,10082:121
8,6,81,10097,10097:81
2,6,109,20057,20057:109
0,6,41,10005,10005:41
-4,6,33,10029,10029:33
1,6,99,10113,10113:99
-2,6,95,10034,10034:95
-6,6,105,10096,10096:105
1,6,23,10052,10052:23
-11,6,85,20077,20077:85
0,6,121,20074,20074:121
3,6,69,10098,10098:69
0,6,21,20044,20044:21
1,6,137,10059,10059:137
-4,6,71,10056,10056:71
1,6,81,10039,10039:81
2,6,33,10116,10116:33
0,6,33,10115,10115:33
2,6,67,10052,10052:67
0,6,113,10024,10024:113
-2,6,135,10005,10005:135
1,6,37,10074,10074:37
-4,6,14,10019,10019:14
6,6,77,10096,10096:77
1,6,113,10103,10103:113
2,6,101,10113,10113:101
2,6,113,10025,10025:113
-24,6,115,10005,10005:115
-4,6,27,10005,10005:27
10,6,55,20067,20067:55
0,6,137,10099,10099:137
1,6,101,10098,10098:101
0,6,95,10038,10038:95
2,6,55,10109,10109:55
0,6,109,10120,10120:109
3,6,121,10095,10095:121
2,6,2,10096,10096:2
9,6,77,10061,10061:77
1,6,85,10024,10024:85
46,6,105,10133,10133:105
2,6,81,10103,10103:81
-2,6,113,10012,10012:113
0,6,85,20018,20018:85
-1,6,85,10122,10122:85
5,6,14,10015,10015:14
10,6,115,10015,10015:115
13,6,23,20006,20006:23
-3,6,33,10083,10083:33
-10,6,67,20074,20074:67
0,6,41,10049,10049:41
-3,6,41,10030,10030:41
6,6,41,20008,20008:41
0,6,77,20080,20080:77
0,6,109,10024,10024:109
-3,6,121,10002,10002:121
7,6,137,10039,10039:137
-50,6,137,20080,20080:137
1,6,95,20078,20078:95
12,6,85,10020,10020:85
-2,6,71,10034,10034:71
6,6,69,10064,10064:69
-15,6,45,20045,20045:45
0,6,113,20025,20025:113
-1,6,45,10001,10001:45
2,6,2,10125,10125:2
23,6,113,10097,10097:113
-4,6,113,20042,20042:113
2,6,139,10082,10082:139
2,6,63,10110,10110:63
0,6,137,20039,20039:137
1,6,131,10105,10105:131
0,6,2,20029,20029:2
-1,6,33,10028,10028:33
15,6,14,20073,20073:14
0,6,63,10087,10087:63
4,6,27,10110,10110:27
50,6,105,10056,10056:105
1,6,53,10039,10039:53
19,6,137,10064,10064:137
-2,6,121,10020,10020:121
11,6,109,10102,10102:109
0,6,77,20037,20037:77
-4,6,81,10108,10108:81
4,6,83,10098,10098:83
0,6,2,20018,20018:2
9,6,53,10066,10066:53
-1,6,33,10004,10004:33
-4,6,129,20011,20011:129
6,6,115,20054,20054:115
0,6,95,20082,20082:95
2,6,2,20023,20023:2
5,6,129,10117,10117:129
5,6,63,10025,10025:63
-3,6,113,20081,20081:113
-2,6,2,20074,20074:2
14,6,69,20055,20055:69
0,6,45,20018,20018:45
-2,6,37,10029,10029:37
-1,6,121,10099,10099:121
2,6,41,20046,20046:41
1,6,33,10073,10073:33
13,6,77,10120,10120:77
-2,6,139,10003,10003:139
-1,6,99,10034,10034:99
1,6,67,10087,10087:67
-11,6,129,20017,20017:129
1,6,99,10101,10101:99
-4,6,10,10021,10021:10
0,6,101,20032,20032:101
5,6,55,10025,10025:55
0,6,105,20045,20045:105
0,6,135,20089,20089:135
1,6,71,10132,10132:71
3,6,2,20028,20028:2
-6,6,121,20025,20025:121
2,6,27,10113,10113:27
-2,6,41,10047,10047:41
-2,6,14,10030,10030:14
2,6,121,20082,20082:121
-7,6,95,20004,20004:95
8,6,14,10001,10001:14
5,6,129,20073,20073:129
0,6,10,20029,20029:10
-10,6,69,10056,10056:69
0,6,131,20077,20077:131
0,6,137,10104,10104:137
-2,6,33,10005,10005:33
0,6,85,10084,10084:85
0,6,74,10058,10058:74
1,6,33,10074,10074:33
-50,6,74,10027,10027:74
0,6,83,10104,10104:83
-3,6,21,10004,10004:21
2,6,41,10056,10056:41
0,6,101,10042,10042:101
2,6,131,10044,10044:131
2,6,53,10013,10013:53
3,6,63,20008,20008:63
1,6,121,10133,10133:121
-1,6,135,10038,10038:135
-1,6,2,20051,20051:2
-1,6,2,10132,10132:2
-2,6,14,10100,10100:14
0,6,27,20074,20074:27
3,6,33,10066,10066:33
10,6,137,20062,20062:137
3,6,10,10077,10077:10
13,6,113,20086,20086:113
-1,6,137,20047,20047:137
-2,6,121,10012,10012:121
4,6,33,20090,20090:33
2,6,81,10048,10048:81
0,6,10,10009,10009:10
-3,6,105,20081,20081:105
-1,6,137,10132,10132:137
5,6,85,10029,10029:85
25,6,55,10059,10059:55
4,6,67,10075,10075:67
10,6,101,20089,20089:101
-1,6,37,10037,10037:37
0,6,83,10047,10047:83
32,6,2,10114,10114:2
0,6,135,10028,10028:135
11,6,14,20009,20009:14
0,6,81,20062,20062:81
1,6,21,20008,20008:21
0,6,77,20065,20065:77
4,6,121,10029,10029:121
0,6,95,20032,20032:95
8,6,77,10020,10020:77
0,6,129,20044,20044:129
0,6,55,10047,10047:55
14,6,113,10006,10006:113
-2,6,10,10012,10012:10
0,6,113,10078,10078:113
0,6,77,20048,20048:77
1,6,115,10065,10065:115
13,6,139,20056,20056:139
4,6,69,20086,20086:69
-1,6,139,10042,10042:139
5,6,45,20008,20008:45
6,6,85,10006,10006:85
0,6,83,10100,10100:83
-2,6,95,10073,10073:95
-1,6,21,10019,10019:21
0,6,10,10037,10037:10
0,6,101,20082,20082:101
13,6,109,10063,10063:109
-1,6,115,10110,10110:115
3,6,131,20054,20054:131
3,6,95,10125,10125:95
15,6,101,10044,10044:101
7,6,45,10049,10049:45
6,6,63,10102,10102:63
-1,6,115,10009,10009:115
-4,6,23,20083,20083:23
0,6,137,10018,10018:137
-2,6,81,10004,10004:81
-2,6,83,10013,10013:83
1,6,41,10097,10097:41
-2,6,37,10114,10114:37
-2,6,45,10074,10074:45
-4,6,95,10055,10055:95
-8,6,131,10073,10073:131
0,6,37,10035,10035:37
-15,6,27,20020,20020:27
0,6,99,20075,20075:99
-2,6,101,10014,10014:101
6,6,45,10098,10098:45
7,6,63,10097,10097:63
5,6,45,20040,20040:45
23,6,105,10089,10089:105
0,6,115,10024,10024:115
5,6,105,10097,10097:105
-4,6,105,10004,10004:105
0,6,131,10026,10026:131
0,6,77,10036,10036:77
1,6,74,20056,20056:74
0,6,139,20044,20044:139
13,6,37,20012,20012:37
-3,6,77,10108,10108:77
-2,6,63,10045,10045:63
-2,6,113,10055,10055:113
24,6,105,20037,20037:105
-2,6,77,10122,10122:77
0,6,77,20035,20035:77
19,6,27,10063,10063:27
-2,6,27,10065,10065:27
1,6,53,10099,10099:53
0,6,139,10053,10053:139
0,6,27,10015,10015:27
2,6,45,10062,10062:45
-1,6,129,20081,20081:129
25,6,45,20085,20085:45
0,6,101,20025,20025:101
0,6,135,10122,10122:135
3,6,27,10095,10095:27
12,6,101,10131,10131:101
-15,6,41,20029,20029:41
2,6,74,10094,10094:74
29,6,27,10061,10061:27
-2,6,81,10102,10102:81
-29,6,69,10108,10108:69
0,6,37,20026,20026:37
-2,6,45,10006,10006:45
18,6,121,10085,10085:121
10,6,69,10025,10025:69
14,6,27,10096,10096:27
-2,6,69,10047,10047:69
2,6,21,10101,10101:21
-7,6,41,10033,10033:41
2,6,27,10086,10086:27
0,6,81,20026,20026:81
-2,6,71,20024,20024:71
0,6,77,20087,20087:77
7,6,131,10096,10096:131
0,6,115,20016,20016:115
-7,6,71,10100,10100:71
0,6,105,10036,10036:105
1,6,14,10038,10038:14
34,6,105,20078,20078:105
5,6,41,20084,20084:41
-1,6,69,10006,10006:69
2,6,109,10050,10050:109
2,6,137,10033,10033:137
3,6,115,10064,10064:115
2,6,63,10051,10051:63
0,6,37,20022,20022:37
0,6,2,20088,20088:2
0,6,23,20046,20046:23
-16,6,101,10045,10045:101
0,6,99,20039,20039:99
8,6,101,10049,10049:101
0,6,109,10104,10104:109
0,6,2,20087,20087:2
0,6,109,20074,20074:109
-2,6,109,10071,10071:109
1,6,33,10071,10071:33
0,6,129,10131,10131:129
-10,6,137,20045,20045:137
8,6,135,10098,10098:135
6,6,121,20090,20090:121
0,6,113,10053,10053:113
2,6,137,20082,20082:137
-3,6,85,10018,10018:85
6,6,99,20006,20006:99
0,6,74,10006,10006:74
4,6,55,10082,10082:55
50,6,105,10052,10052:105
3,6,129,20054,20054:129
-2,6,101,20051,20051:101
0,6,95,10004,10004:95
2,6,105,10048,10048:105
5,6,27,20025,20025:27
-1,6,67,10047,10047:67
22,6,137,20057,20057:137
3,6,27,10051,10051:27
-10,6,53,20029,20029:53
-1,6,37,10054,10054:37
0,6,10,10054,10054:10
3,6,69,10116,10116:69
-6,6,121,10066,10066:121
6,6,41,10032,10032:41
-2,6,45,10034,10034:45
2,6,41,10039,10039:41
0,6,37,10132,10132:37
-1,6,10,10102,10102:10
-14,6,41,20020,20020:41
-15,6,10,20014,20014:10
-1,6,2,10025,10025:2
6,6,45,10035,10035:45
-4,6,27,10009,10009:27
13,6,77,10027,10027:77
0,6,109,20014,20014:109
0,6,81,10045,10045:81
6,6,41,10133,10133:41
-2,6,74,10005,10005:74
4,6,105,20048,20048:105
-2,6,105,10046,10046:105
0,6,139,20032,20032:139
8,6,63,20062,20062:63
-26,6,113,10111,10111:113
0,6,121,10102,10102:121
1,6,67,10090,10090:67
0,6,77,20022,20022:77
0,6,77,10038,10038:77
11,6,83,10020,10020:83
0,6,23,10018,10018:23
20,6,74,10078,10078:74
-2,6,23,10067,10067:23
-4,6,74,10020,10020:74
-2,6,74,10108,10108:74
19,6,41,10067,10067:41
4,6,113,10019,10019:113
0,6,74,20026,20026:74
6,6,10,10086,10086:10
2,6,129,10082,10082:129
-2,6,121,10114,10114:121
