a,g,item,resp,id,b,s,m,r2
26,F,S3WantCurse,no,97,curse,self,want,N
23,F,S3WantCurse,no,98,curse,self,want,N
15,F,S3WantCurse,no,99,curse,self,want,N
18,F,S3WantCurse,no,100,curse,self,want,N
27,F,S3WantCurse,yes,101,curse,self,want,Y
21,F,S3WantCurse,no,102,curse,self,want,N
21,F,S3WantCurse,yes,103,curse,self,want,Y
15,F,S3WantCurse,no,104,curse,self,want,N
17,F,S3WantCurse,perhaps,105,curse,self,want,Y
15,F,S3WantCurse,perhaps,106,curse,self,want,Y
23,F,S3WantCurse,yes,107,curse,self,want,Y
23,F,S3WantCurse,perhaps,108,curse,self,want,Y
19,F,S3WantCurse,no,109,curse,self,want,N
21,F,S3WantCurse,no,110,curse,self,want,N
18,F,S3WantCurse,no,111,curse,self,want,N
18,F,S3WantCurse,perhaps,112,curse,self,want,Y
16,F,S3WantCurse,yes,113,curse,self,want,Y
20,F,S3WantCurse,perhaps,114,curse,self,want,Y
24,F,S3WantCurse,yes,115,curse,self,want,Y
26,F,S3WantCurse,yes,116,curse,self,want,Y
20,F,S3WantCurse,perhaps,117,curse,self,want,Y
22,F,S3WantCurse,perhaps,118,curse,self,want,Y
16,M,S3WantCurse,no,119,curse,self,want,N
18,M,S3WantCurse,yes,120,curse,self,want,Y
19,F,S3WantCurse,perhaps,121,curse,self,want,Y
25,F,S3WantCurse,perhaps,122,curse,self,want,Y
22,F,S3WantCurse,no,123,curse,self,want,N
23,M,S3WantCurse,yes,124,curse,self,want,Y
21,F,S3WantCurse,yes,125,curse,self,want,Y
13,F,S3WantCurse,perhaps,126,curse,self,want,Y
16,F,S3WantCurse,no,127,curse,self,want,N
21,F,S3WantCurse,perhaps,128,curse,self,want,Y
15,F,S3WantCurse,perhaps,129,curse,self,want,Y
23,F,S3WantCurse,yes,130,curse,self,want,Y
17,F,S3WantCurse,perhaps,131,curse,self,want,Y
14,F,S3WantCurse,perhaps,132,curse,self,want,Y
29,F,S3WantCurse,perhaps,133,curse,self,want,Y
24,F,S3WantCurse,no,134,curse,self,want,N
15,F,S3WantCurse,perhaps,135,curse,self,want,Y
25,F,S3WantCurse,no,136,curse,self,want,N
17,F,S3WantCurse,yes,137,curse,self,want,Y
17,M,S3WantCurse,yes,138,curse,self,want,Y
28,M,S3WantCurse,yes,139,curse,self,want,Y
15,F,S3WantCurse,no,140,curse,self,want,N
19,F,S3WantCurse,perhaps,141,curse,self,want,Y
26,F,S3WantCurse,yes,142,curse,self,want,Y
18,F,S3WantCurse,no,143,curse,self,want,N
11,F,S3WantCurse,no,144,curse,self,want,N
25,F,S3WantCurse,yes,145,curse,self,want,Y
28,F,S3WantCurse,yes,146,curse,self,want,Y
25,F,S3WantCurse,perhaps,147,curse,self,want,Y
14,F,S3WantCurse,no,148,curse,self,want,N
17,F,S3WantCurse,no,149,curse,self,want,N
18,F,S3WantCurse,no,150,curse,self,want,N
22,M,S3WantCurse,perhaps,151,curse,self,want,Y
17,F,S3WantCurse,no,152,curse,self,want,N
15,M,S3WantCurse,perhaps,153,curse,self,want,Y
16,M,S3WantCurse,perhaps,154,curse,self,want,Y
22,M,S3WantCurse,perhaps,155,curse,self,want,Y
21,F,S3WantCurse,no,156,curse,self,want,N
19,F,S3WantCurse,perhaps,157,curse,self,want,Y
21,F,S3WantCurse,yes,158,curse,self,want,Y
16,F,S3WantCurse,no,159,curse,self,want,N
17,F,S3WantCurse,perhaps,160,curse,self,want,Y
15,M,S3WantCurse,no,161,curse,self,want,N
27,M,S3WantCurse,yes,162,curse,self,want,Y
21,M,S3WantCurse,yes,163,curse,self,want,Y
19,F,S3WantCurse,perhaps,164,curse,self,want,Y
17,F,S3WantCurse,yes,165,curse,self,want,Y
21,F,S3WantCurse,yes,166,curse,self,want,Y
24,M,S3WantCurse,no,167,curse,self,want,N
20,F,S3WantCurse,no,168,curse,self,want,N
16,M,S3WantCurse,no,169,curse,self,want,N
14,F,S3WantCurse,no,170,curse,self,want,N
14,F,S3WantCurse,perhaps,171,curse,self,want,Y
20,M,S3WantCurse,yes,172,curse,self,want,Y
23,F,S3WantCurse,no,173,curse,self,want,N
23,M,S3WantCurse,yes,174,curse,self,want,Y
23,F,S3WantCurse,perhaps,175,curse,self,want,Y
23,F,S3WantCurse,yes,176,curse,self,want,Y
18,M,S3WantCurse,yes,177,curse,self,want,Y
22,F,S3WantCurse,no,178,curse,self,want,N
20,F,S3WantCurse,no,179,curse,self,want,N
23,F,S3WantCurse,perhaps,180,curse,self,want,Y
16,M,S3WantCurse,yes,181,curse,self,want,Y
18,F,S3WantCurse,perhaps,182,curse,self,want,Y
12,F,S3WantCurse,perhaps,183,curse,self,want,Y
17,F,S3WantCurse,perhaps,184,curse,self,want,Y
21,F,S3WantCurse,no,185,curse,self,want,N
21,F,S3WantCurse,no,186,curse,self,want,N
16,F,S3WantCurse,no,187,curse,self,want,N
19,M,S3WantCurse,no,188,curse,self,want,N
19,M,S3WantCurse,no,189,curse,self,want,N
13,M,S3WantCurse,perhaps,190,curse,self,want,Y
31,M,S3WantCurse,yes,191,curse,self,want,Y
23,F,S3WantCurse,no,192,curse,self,want,N
25,F,S3WantCurse,no,193,curse,self,want,N
19,F,S3WantCurse,no,194,curse,self,want,N
11,F,S3WantCurse,yes,195,curse,self,want,Y
28,F,S3WantCurse,no,196,curse,self,want,N
27,F,S3WantCurse,no,197,curse,self,want,N
16,M,S3WantCurse,no,198,curse,self,want,N
16,M,S3WantCurse,no,199,curse,self,want,N
16,F,S3WantCurse,no,200,curse,self,want,N
13,F,S3WantCurse,perhaps,201,curse,self,want,Y
21,M,S3WantCurse,yes,202,curse,self,want,Y
19,M,S3WantCurse,yes,203,curse,self,want,Y
20,F,S3WantCurse,perhaps,204,curse,self,want,Y
13,M,S3WantCurse,no,205,curse,self,want,N
15,M,S3WantCurse,perhaps,206,curse,self,want,Y
14,F,S3WantCurse,perhaps,207,curse,self,want,Y
15,F,S3WantCurse,yes,208,curse,self,want,Y
23,M,S3WantCurse,yes,209,curse,self,want,Y
13,M,S3WantCurse,perhaps,210,curse,self,want,Y
21,M,S3WantCurse,no,211,curse,self,want,N
19,F,S3WantCurse,no,212,curse,self,want,N
23,F,S3WantCurse,no,213,curse,self,want,N
20,M,S3WantCurse,no,214,curse,self,want,N
19,M,S3WantCurse,no,215,curse,self,want,N
14,F,S3WantCurse,no,216,curse,self,want,N
18,M,S3WantCurse,yes,217,curse,self,want,Y
22,M,S3WantCurse,yes,218,curse,self,want,Y
23,M,S3WantCurse,no,219,curse,self,want,N
24,M,S3WantCurse,perhaps,220,curse,self,want,Y
20,F,S3WantCurse,perhaps,221,curse,self,want,Y
22,F,S3WantCurse,perhaps,222,curse,self,want,Y
19,F,S3WantCurse,yes,223,curse,self,want,Y
19,F,S3WantCurse,perhaps,224,curse,self,want,Y
11,M,S3WantCurse,no,225,curse,self,want,N
26,F,S3WantCurse,no,226,curse,self,want,N
19,F,S3WantCurse,no,227,curse,self,want,N
11,M,S3WantCurse,perhaps,228,curse,self,want,Y
13,F,S3WantCurse,perhaps,229,curse,self,want,Y
19,F,S3WantCurse,perhaps,230,curse,self,want,Y
17,F,S3WantCurse,perhaps,231,curse,self,want,Y
16,M,S3WantCurse,no,232,curse,self,want,N
18,F,S3WantCurse,perhaps,233,curse,self,want,Y
27,M,S3WantCurse,perhaps,234,curse,self,want,Y
18,F,S3WantCurse,perhaps,235,curse,self,want,Y
17,F,S3WantCurse,no,236,curse,self,want,N
20,F,S3WantCurse,perhaps,237,curse,self,want,Y
18,F,S3WantCurse,no,238,curse,self,want,N
14,F,S3WantCurse,perhaps,239,curse,self,want,Y
17,F,S3WantCurse,no,240,curse,self,want,N
18,F,S3WantCurse,no,241,curse,self,want,N
15,F,S3WantCurse,perhaps,242,curse,self,want,Y
18,F,S3WantCurse,perhaps,243,curse,self,want,Y
27,F,S3WantCurse,no,244,curse,self,want,N
22,F,S3WantCurse,perhaps,245,curse,self,want,Y
18,F,S3WantCurse,no,246,curse,self,want,N
30,M,S3WantCurse,perhaps,247,curse,self,want,Y
13,F,S3WantCurse,no,248,curse,self,want,N
22,M,S3WantCurse,no,249,curse,self,want,N
19,F,S3WantCurse,no,250,curse,self,want,N
13,F,S3WantCurse,no,251,curse,self,want,N
34,F,S3WantCurse,yes,252,curse,self,want,Y
19,F,S3WantCurse,no,253,curse,self,want,N
23,M,S3WantCurse,perhaps,254,curse,self,want,Y
21,F,S3WantCurse,perhaps,255,curse,self,want,Y
18,F,S3WantCurse,no,256,curse,self,want,N
18,F,S3WantCurse,perhaps,257,curse,self,want,Y
15,M,S3WantCurse,perhaps,258,curse,self,want,Y
21,M,S3WantCurse,yes,259,curse,self,want,Y
26,F,S3WantCurse,perhaps,260,curse,self,want,Y
19,F,S3WantCurse,no,261,curse,self,want,N
34,F,S3WantCurse,yes,262,curse,self,want,Y
20,F,S3WantCurse,perhaps,263,curse,self,want,Y
21,F,S3WantCurse,yes,264,curse,self,want,Y
26,F,S3WantCurse,perhaps,265,curse,self,want,Y
23,F,S3WantCurse,perhaps,266,curse,self,want,Y
14,F,S3WantCurse,perhaps,267,curse,self,want,Y
23,F,S3WantCurse,no,268,curse,self,want,N
17,F,S3WantCurse,no,269,curse,self,want,N
18,F,S3WantCurse,yes,270,curse,self,want,Y
19,F,S3WantCurse,perhaps,271,curse,self,want,Y
25,F,S3WantCurse,yes,272,curse,self,want,Y
20,M,S3WantCurse,no,273,curse,self,want,N
26,F,S3WantCurse,yes,274,curse,self,want,Y
21,F,S3WantCurse,perhaps,275,curse,self,want,Y
15,F,S3WantCurse,perhaps,276,curse,self,want,Y
18,F,S3WantCurse,no,277,curse,self,want,N
21,F,S3WantCurse,yes,278,curse,self,want,Y
17,F,S3WantCurse,no,279,curse,self,want,N
15,F,S3WantCurse,perhaps,280,curse,self,want,Y
22,F,S3WantCurse,yes,281,curse,self,want,Y
19,M,S3WantCurse,perhaps,282,curse,self,want,Y
19,M,S3WantCurse,perhaps,283,curse,self,want,Y
18,F,S3WantCurse,perhaps,284,curse,self,want,Y
18,F,S3WantCurse,yes,285,curse,self,want,Y
16,M,S3WantCurse,no,286,curse,self,want,N
22,F,S3WantCurse,perhaps,287,curse,self,want,Y
19,F,S3WantCurse,yes,288,curse,self,want,Y
25,F,S3WantCurse,yes,289,curse,self,want,Y
17,M,S3WantCurse,yes,290,curse,self,want,Y
30,F,S3WantCurse,perhaps,291,curse,self,want,Y
29,F,S3WantCurse,yes,292,curse,self,want,Y
27,F,S3WantCurse,yes,293,curse,self,want,Y
18,F,S3WantCurse,perhaps,294,curse,self,want,Y
27,F,S3WantCurse,perhaps,295,curse,self,want,Y
31,F,S3WantCurse,no,296,curse,self,want,N
19,F,S3WantCurse,no,297,curse,self,want,N
18,M,S3WantCurse,no,298,curse,self,want,N
17,F,S3WantCurse,no,299,curse,self,want,N
15,F,S3WantCurse,yes,300,curse,self,want,Y
20,F,S3WantCurse,perhaps,301,curse,self,want,Y
24,F,S3WantCurse,yes,302,curse,self,want,Y
12,M,S3WantCurse,perhaps,303,curse,self,want,Y
16,M,S3WantCurse,no,304,curse,self,want,N
20,F,S3WantCurse,perhaps,305,curse,self,want,Y
33,M,S3WantCurse,yes,306,curse,self,want,Y
17,F,S3WantCurse,perhaps,307,curse,self,want,Y
13,F,S3WantCurse,no,308,curse,self,want,N
14,F,S3WantCurse,perhaps,309,curse,self,want,Y
23,F,S3WantCurse,perhaps,310,curse,self,want,Y
24,M,S3WantCurse,perhaps,311,curse,self,want,Y
17,M,S3WantCurse,yes,312,curse,self,want,Y
20,F,S3WantCurse,perhaps,313,curse,self,want,Y
25,F,S3WantCurse,no,314,curse,self,want,N
23,F,S3WantCurse,yes,315,curse,self,want,Y
12,F,S3WantCurse,no,316,curse,self,want,N
20,M,S3WantScold,no,1,scold,self,want,N
11,M,S3WantScold,no,2,scold,self,want,N
17,F,S3WantScold,no,3,scold,self,want,N
21,F,S3WantScold,no,4,scold,self,want,N
17,F,S3WantScold,no,5,scold,self,want,N
21,F,S3WantScold,perhaps,6,scold,self,want,Y
39,F,S3WantScold,no,7,scold,self,want,N
21,F,S3WantScold,no,8,scold,self,want,N
24,F,S3WantScold,no,9,scold,self,want,N
16,F,S3WantScold,no,10,scold,self,want,N
15,F,S3WantScold,perhaps,11,scold,self,want,Y
18,F,S3WantScold,no,12,scold,self,want,N
36,M,S3WantScold,no,13,scold,self,want,N
22,M,S3WantScold,yes,14,scold,self,want,Y
16,F,S3WantScold,perhaps,15,scold,self,want,Y
18,F,S3WantScold,no,16,scold,self,want,N
23,F,S3WantScold,no,17,scold,self,want,N
16,F,S3WantScold,no,18,scold,self,want,N
21,F,S3WantScold,no,19,scold,self,want,N
25,F,S3WantScold,no,20,scold,self,want,N
22,F,S3WantScold,no,21,scold,self,want,N
15,F,S3WantScold,perhaps,22,scold,self,want,Y
26,F,S3WantScold,perhaps,23,scold,self,want,Y
13,F,S3WantScold,perhaps,24,scold,self,want,Y
33,F,S3WantScold,no,25,scold,self,want,N
17,F,S3WantScold,no,26,scold,self,want,N
17,F,S3WantScold,no,27,scold,self,want,N
22,F,S3WantScold,perhaps,28,scold,self,want,Y
21,M,S3WantScold,no,29,scold,self,want,N
17,F,S3WantScold,perhaps,30,scold,self,want,Y
19,F,S3WantScold,no,31,scold,self,want,N
18,M,S3WantScold,perhaps,32,scold,self,want,Y
33,M,S3WantScold,yes,33,scold,self,want,Y
19,F,S3WantScold,no,34,scold,self,want,N
25,F,S3WantScold,no,35,scold,self,want,N
17,F,S3WantScold,perhaps,36,scold,self,want,Y
12,F,S3WantScold,no,37,scold,self,want,N
14,F,S3WantScold,no,38,scold,self,want,N
25,M,S3WantScold,no,39,scold,self,want,N
22,M,S3WantScold,no,40,scold,self,want,N
20,F,S3WantScold,perhaps,41,scold,self,want,Y
25,F,S3WantScold,perhaps,42,scold,self,want,Y
12,F,S3WantScold,no,43,scold,self,want,N
16,F,S3WantScold,no,44,scold,self,want,N
23,F,S3WantScold,no,45,scold,self,want,N
19,F,S3WantScold,perhaps,46,scold,self,want,Y
22,F,S3WantScold,no,47,scold,self,want,N
15,F,S3WantScold,no,48,scold,self,want,N
25,F,S3WantScold,no,49,scold,self,want,N
35,F,S3WantScold,no,50,scold,self,want,N
24,F,S3WantScold,no,51,scold,self,want,N
24,F,S3WantScold,no,52,scold,self,want,N
13,F,S3WantScold,perhaps,53,scold,self,want,Y
26,F,S3WantScold,no,54,scold,self,want,N
25,F,S3WantScold,no,55,scold,self,want,N
20,F,S3WantScold,perhaps,56,scold,self,want,Y
27,F,S3WantScold,no,57,scold,self,want,N
19,F,S3WantScold,no,58,scold,self,want,N
15,M,S3WantScold,no,59,scold,self,want,N
18,F,S3WantScold,no,60,scold,self,want,N
26,F,S3WantScold,yes,61,scold,self,want,Y
26,F,S3WantScold,perhaps,62,scold,self,want,Y
23,F,S3WantScold,no,63,scold,self,want,N
20,F,S3WantScold,no,64,scold,self,want,N
18,F,S3WantScold,no,65,scold,self,want,N
30,F,S3WantScold,no,66,scold,self,want,N
24,F,S3WantScold,no,67,scold,self,want,N
22,F,S3WantScold,perhaps,68,scold,self,want,Y
19,F,S3WantScold,no,69,scold,self,want,N
13,F,S3WantScold,perhaps,70,scold,self,want,Y
17,F,S3WantScold,no,71,scold,self,want,N
29,F,S3WantScold,no,72,scold,self,want,N
12,F,S3WantScold,no,73,scold,self,want,N
19,F,S3WantScold,no,74,scold,self,want,N
23,F,S3WantScold,no,75,scold,self,want,N
11,F,S3WantScold,no,76,scold,self,want,N
18,F,S3WantScold,no,77,scold,self,want,N
22,F,S3WantScold,no,78,scold,self,want,N
22,M,S3WantScold,no,79,scold,self,want,N
19,M,S3WantScold,no,80,scold,self,want,N
19,M,S3WantScold,no,81,scold,self,want,N
21,F,S3WantScold,perhaps,82,scold,self,want,Y
25,F,S3WantScold,yes,83,scold,self,want,Y
19,F,S3WantScold,no,84,scold,self,want,N
26,F,S3WantScold,no,85,scold,self,want,N
18,F,S3WantScold,no,86,scold,self,want,N
20,F,S3WantScold,perhaps,87,scold,self,want,Y
17,F,S3WantScold,no,88,scold,self,want,N
17,M,S3WantScold,no,89,scold,self,want,N
16,F,S3WantScold,no,90,scold,self,want,N
22,F,S3WantScold,no,91,scold,self,want,N
16,F,S3WantScold,no,92,scold,self,want,N
19,M,S3WantScold,perhaps,93,scold,self,want,Y
20,M,S3WantScold,no,94,scold,self,want,N
22,F,S3WantScold,no,95,scold,self,want,N
18,F,S3WantScold,no,96,scold,self,want,N
26,F,S3WantScold,no,97,scold,self,want,N
23,F,S3WantScold,no,98,scold,self,want,N
15,F,S3WantScold,no,99,scold,self,want,N
18,F,S3WantScold,no,100,scold,self,want,N
27,F,S3WantScold,no,101,scold,self,want,N
21,F,S3WantScold,perhaps,102,scold,self,want,Y
21,F,S3WantScold,perhaps,103,scold,self,want,Y
15,F,S3WantScold,perhaps,104,scold,self,want,Y
17,F,S3WantScold,perhaps,105,scold,self,want,Y
15,F,S3WantScold,no,106,scold,self,want,N
23,F,S3WantScold,no,107,scold,self,want,N
23,F,S3WantScold,perhaps,108,scold,self,want,Y
19,F,S3WantScold,no,109,scold,self,want,N
21,F,S3WantScold,no,110,scold,self,want,N
18,F,S3WantScold,no,111,scold,self,want,N
18,F,S3WantScold,no,112,scold,self,want,N
16,F,S3WantScold,yes,113,scold,self,want,Y
20,F,S3WantScold,perhaps,114,scold,self,want,Y
24,F,S3WantScold,yes,115,scold,self,want,Y
26,F,S3WantScold,perhaps,116,scold,self,want,Y
20,F,S3WantScold,perhaps,117,scold,self,want,Y
22,F,S3WantScold,no,118,scold,self,want,N
16,M,S3WantScold,yes,119,scold,self,want,Y
18,M,S3WantScold,no,120,scold,self,want,N
19,F,S3WantScold,no,121,scold,self,want,N
25,F,S3WantScold,no,122,scold,self,want,N
22,F,S3WantScold,no,123,scold,self,want,N
23,M,S3WantScold,yes,124,scold,self,want,Y
21,F,S3WantScold,no,125,scold,self,want,N
13,F,S3WantScold,no,126,scold,self,want,N
16,F,S3WantScold,no,127,scold,self,want,N
21,F,S3WantScold,no,128,scold,self,want,N
15,F,S3WantScold,perhaps,129,scold,self,want,Y
23,F,S3WantScold,yes,130,scold,self,want,Y
17,F,S3WantScold,no,131,scold,self,want,N
14,F,S3WantScold,perhaps,132,scold,self,want,Y
29,F,S3WantScold,no,133,scold,self,want,N
24,F,S3WantScold,no,134,scold,self,want,N
15,F,S3WantScold,perhaps,135,scold,self,want,Y
25,F,S3WantScold,no,136,scold,self,want,N
17,F,S3WantScold,no,137,scold,self,want,N
17,M,S3WantScold,no,138,scold,self,want,N
28,M,S3WantScold,perhaps,139,scold,self,want,Y
15,F,S3WantScold,no,140,scold,self,want,N
19,F,S3WantScold,no,141,scold,self,want,N
26,F,S3WantScold,no,142,scold,self,want,N
18,F,S3WantScold,no,143,scold,self,want,N
11,F,S3WantScold,no,144,scold,self,want,N
25,F,S3WantScold,yes,145,scold,self,want,Y
28,F,S3WantScold,no,146,scold,self,want,N
25,F,S3WantScold,no,147,scold,self,want,N
14,F,S3WantScold,no,148,scold,self,want,N
17,F,S3WantScold,no,149,scold,self,want,N
18,F,S3WantScold,no,150,scold,self,want,N
22,M,S3WantScold,no,151,scold,self,want,N
17,F,S3WantScold,no,152,scold,self,want,N
15,M,S3WantScold,perhaps,153,scold,self,want,Y
16,M,S3WantScold,perhaps,154,scold,self,want,Y
22,M,S3WantScold,yes,155,scold,self,want,Y
21,F,S3WantScold,no,156,scold,self,want,N
19,F,S3WantScold,no,157,scold,self,want,N
21,F,S3WantScold,yes,158,scold,self,want,Y
16,F,S3WantScold,no,159,scold,self,want,N
17,F,S3WantScold,perhaps,160,scold,self,want,Y
15,M,S3WantScold,no,161,scold,self,want,N
27,M,S3WantScold,yes,162,scold,self,want,Y
21,M,S3WantScold,no,163,scold,self,want,N
19,F,S3WantScold,perhaps,164,scold,self,want,Y
17,F,S3WantScold,no,165,scold,self,want,N
21,F,S3WantScold,no,166,scold,self,want,N
24,M,S3WantScold,no,167,scold,self,want,N
20,F,S3WantScold,no,168,scold,self,want,N
16,M,S3WantScold,no,169,scold,self,want,N
14,F,S3WantScold,no,170,scold,self,want,N
14,F,S3WantScold,no,171,scold,self,want,N
20,M,S3WantScold,perhaps,172,scold,self,want,Y
23,F,S3WantScold,no,173,scold,self,want,N
23,M,S3WantScold,no,174,scold,self,want,N
23,F,S3WantScold,no,175,scold,self,want,N
23,F,S3WantScold,perhaps,176,scold,self,want,Y
18,M,S3WantScold,perhaps,177,scold,self,want,Y
22,F,S3WantScold,no,178,scold,self,want,N
20,F,S3WantScold,perhaps,179,scold,self,want,Y
23,F,S3WantScold,perhaps,180,scold,self,want,Y
16,M,S3WantScold,no,181,scold,self,want,N
18,F,S3WantScold,no,182,scold,self,want,N
12,F,S3WantScold,no,183,scold,self,want,N
17,F,S3WantScold,no,184,scold,self,want,N
21,F,S3WantScold,no,185,scold,self,want,N
21,F,S3WantScold,no,186,scold,self,want,N
16,F,S3WantScold,no,187,scold,self,want,N
19,M,S3WantScold,no,188,scold,self,want,N
19,M,S3WantScold,no,189,scold,self,want,N
13,M,S3WantScold,no,190,scold,self,want,N
31,M,S3WantScold,no,191,scold,self,want,N
23,F,S3WantScold,no,192,scold,self,want,N
25,F,S3WantScold,no,193,scold,self,want,N
19,F,S3WantScold,no,194,scold,self,want,N
11,F,S3WantScold,yes,195,scold,self,want,Y
28,F,S3WantScold,no,196,scold,self,want,N
27,F,S3WantScold,no,197,scold,self,want,N
16,M,S3WantScold,no,198,scold,self,want,N
16,M,S3WantScold,no,199,scold,self,want,N
16,F,S3WantScold,no,200,scold,self,want,N
13,F,S3WantScold,perhaps,201,scold,self,want,Y
21,M,S3WantScold,no,202,scold,self,want,N
19,M,S3WantScold,yes,203,scold,self,want,Y
20,F,S3WantScold,no,204,scold,self,want,N
13,M,S3WantScold,no,205,scold,self,want,N
15,M,S3WantScold,no,206,scold,self,want,N
14,F,S3WantScold,perhaps,207,scold,self,want,Y
15,F,S3WantScold,no,208,scold,self,want,N
23,M,S3WantScold,yes,209,scold,self,want,Y
13,M,S3WantScold,perhaps,210,scold,self,want,Y
21,M,S3WantScold,perhaps,211,scold,self,want,Y
19,F,S3WantScold,perhaps,212,scold,self,want,Y
23,F,S3WantScold,no,213,scold,self,want,N
20,M,S3WantScold,no,214,scold,self,want,N
19,M,S3WantScold,no,215,scold,self,want,N
14,F,S3WantScold,no,216,scold,self,want,N
18,M,S3WantScold,yes,217,scold,self,want,Y
22,M,S3WantScold,yes,218,scold,self,want,Y
23,M,S3WantScold,perhaps,219,scold,self,want,Y
24,M,S3WantScold,perhaps,220,scold,self,want,Y
20,F,S3WantScold,perhaps,221,scold,self,want,Y
22,F,S3WantScold,perhaps,222,scold,self,want,Y
19,F,S3WantScold,no,223,scold,self,want,N
19,F,S3WantScold,perhaps,224,scold,self,want,Y
11,M,S3WantScold,no,225,scold,self,want,N
26,F,S3WantScold,no,226,scold,self,want,N
19,F,S3WantScold,no,227,scold,self,want,N
11,M,S3WantScold,no,228,scold,self,want,N
13,F,S3WantScold,no,229,scold,self,want,N
19,F,S3WantScold,perhaps,230,scold,self,want,Y
17,F,S3WantScold,perhaps,231,scold,self,want,Y
16,M,S3WantScold,no,232,scold,self,want,N
18,F,S3WantScold,perhaps,233,scold,self,want,Y
27,M,S3WantScold,perhaps,234,scold,self,want,Y
18,F,S3WantScold,yes,235,scold,self,want,Y
17,F,S3WantScold,no,236,scold,self,want,N
20,F,S3WantScold,no,237,scold,self,want,N
18,F,S3WantScold,no,238,scold,self,want,N
14,F,S3WantScold,no,239,scold,self,want,N
17,F,S3WantScold,no,240,scold,self,want,N
18,F,S3WantScold,no,241,scold,self,want,N
15,F,S3WantScold,perhaps,242,scold,self,want,Y
18,F,S3WantScold,perhaps,243,scold,self,want,Y
27,F,S3WantScold,no,244,scold,self,want,N
22,F,S3WantScold,no,245,scold,self,want,N
18,F,S3WantScold,no,246,scold,self,want,N
30,M,S3WantScold,perhaps,247,scold,self,want,Y
13,F,S3WantScold,no,248,scold,self,want,N
22,M,S3WantScold,no,249,scold,self,want,N
19,F,S3WantScold,perhaps,250,scold,self,want,Y
13,F,S3WantScold,no,251,scold,self,want,N
34,F,S3WantScold,perhaps,252,scold,self,want,Y
19,F,S3WantScold,no,253,scold,self,want,N
23,M,S3WantScold,perhaps,254,scold,self,want,Y
21,F,S3WantScold,no,255,scold,self,want,N
18,F,S3WantScold,no,256,scold,self,want,N
18,F,S3WantScold,perhaps,257,scold,self,want,Y
15,M,S3WantScold,perhaps,258,scold,self,want,Y
21,M,S3WantScold,perhaps,259,scold,self,want,Y
26,F,S3WantScold,perhaps,260,scold,self,want,Y
19,F,S3WantScold,no,261,scold,self,want,N
34,F,S3WantScold,yes,262,scold,self,want,Y
20,F,S3WantScold,perhaps,263,scold,self,want,Y
21,F,S3WantScold,no,264,scold,self,want,N
26,F,S3WantScold,yes,265,scold,self,want,Y
23,F,S3WantScold,perhaps,266,scold,self,want,Y
14,F,S3WantScold,perhaps,267,scold,self,want,Y
23,F,S3WantScold,no,268,scold,self,want,N
17,F,S3WantScold,perhaps,269,scold,self,want,Y
18,F,S3WantScold,perhaps,270,scold,self,want,Y
19,F,S3WantScold,perhaps,271,scold,self,want,Y
25,F,S3WantScold,yes,272,scold,self,want,Y
20,M,S3WantScold,yes,273,scold,self,want,Y
26,F,S3WantScold,perhaps,274,scold,self,want,Y
21,F,S3WantScold,perhaps,275,scold,self,want,Y
15,F,S3WantScold,no,276,scold,self,want,N
18,F,S3WantScold,no,277,scold,self,want,N
21,F,S3WantScold,perhaps,278,scold,self,want,Y
17,F,S3WantScold,no,279,scold,self,want,N
15,F,S3WantScold,yes,280,scold,self,want,Y
22,F,S3WantScold,yes,281,scold,self,want,Y
19,M,S3WantScold,perhaps,282,scold,self,want,Y
19,M,S3WantScold,perhaps,283,scold,self,want,Y
18,F,S3WantScold,perhaps,284,scold,self,want,Y
18,F,S3WantScold,perhaps,285,scold,self,want,Y
16,M,S3WantScold,no,286,scold,self,want,N
22,F,S3WantScold,perhaps,287,scold,self,want,Y
19,F,S3WantScold,no,288,scold,self,want,N
25,F,S3WantScold,no,289,scold,self,want,N
17,M,S3WantScold,yes,290,scold,self,want,Y
30,F,S3WantScold,no,291,scold,self,want,N
29,F,S3WantScold,perhaps,292,scold,self,want,Y
27,F,S3WantScold,perhaps,293,scold,self,want,Y
18,F,S3WantScold,no,294,scold,self,want,N
27,F,S3WantScold,no,295,scold,self,want,N
31,F,S3WantScold,no,296,scold,self,want,N
19,F,S3WantScold,no,297,scold,self,want,N
18,M,S3WantScold,no,298,scold,self,want,N
17,F,S3WantScold,perhaps,299,scold,self,want,Y
15,F,S3WantScold,no,300,scold,self,want,N
20,F,S3WantScold,no,301,scold,self,want,N
24,F,S3WantScold,no,302,scold,self,want,N
12,M,S3WantScold,yes,303,scold,self,want,Y
16,M,S3WantScold,perhaps,304,scold,self,want,Y
20,F,S3WantScold,perhaps,305,scold,self,want,Y
33,M,S3WantScold,yes,306,scold,self,want,Y
17,F,S3WantScold,no,307,scold,self,want,N
13,F,S3WantScold,perhaps,308,scold,self,want,Y
14,F,S3WantScold,perhaps,309,scold,self,want,Y
23,F,S3WantScold,perhaps,310,scold,self,want,Y
24,M,S3WantScold,perhaps,311,scold,self,want,Y
17,M,S3WantScold,no,312,scold,self,want,N
20,F,S3WantScold,perhaps,313,scold,self,want,Y
25,F,S3WantScold,no,314,scold,self,want,N
23,F,S3WantScold,no,315,scold,self,want,N
12,F,S3WantScold,no,316,scold,self,want,N
20,M,S3WantShout,perhaps,1,shout,self,want,Y
