d,r,y,n,p,c,g,a,rel
30,1607,1986,6,labour,lower working,male,22,none
30,1608,1983,7,others,lower working,male,73,none
30,1608,1984,7,labour,lower working,male,73,none
30,1608,1985,7,labour,lower working,male,73,none
30,1608,1986,7,labour,lower working,male,73,none
30,1610,1983,7,conservative,upper working,male,29,none
30,1610,1984,7,conservative,upper working,male,29,none
30,1610,1985,7,conservative,upper working,male,29,none
30,1610,1986,7,conservative,upper working,male,29,none
31,1791,1983,7,Lib/SDP/Alliance,upper working,male,56,Roman Catholic
31,1791,1984,7,Lib/SDP/Alliance,lower working,male,56,Roman Catholic
31,1791,1985,5,Lib/SDP/Alliance,upper working,male,56,Roman Catholic
31,1791,1986,7,Lib/SDP/Alliance,upper working,male,56,Roman Catholic
32,3152,1983,7,labour,upper working,female,37,Protestant
32,3152,1984,6,labour,upper working,female,37,Protestant
32,3152,1985,6,labour,upper working,female,37,Protestant
32,3152,1986,6,labour,lower working,female,37,Protestant
32,3155,1983,7,labour,lower working,male,32,none
32,3155,1984,5,labour,lower working,male,32,none
32,3155,1985,6,labour,lower working,male,32,none
32,3155,1986,6,labour,lower working,male,32,none
32,3156,1983,7,labour,lower working,female,69,Protestant
32,3156,1984,4,labour,middle,female,69,Protestant
32,3156,1985,3,labour,lower working,female,69,Protestant
32,3156,1986,7,labour,lower working,female,69,Protestant
32,3163,1983,7,conservative,middle,male,42,none
32,3163,1984,4,conservative,middle,male,42,none
32,3163,1985,3,conservative,upper working,male,42,none
32,3163,1986,4,conservative,upper working,male,42,none
32,3164,1983,5,labour,upper working,male,56,Protestant
32,3164,1984,7,labour,lower working,male,56,Protestant
32,3164,1985,7,labour,upper working,male,56,Protestant
32,3164,1986,7,Lib/SDP/Alliance,upper working,male,56,Protestant
32,3171,1983,4,conservative,lower working,female,51,Protestant
32,3171,1984,3,conservative,lower working,female,51,Protestant
32,3171,1985,3,conservative,lower working,female,51,Protestant
32,3171,1986,5,conservative,lower working,female,51,Protestant
32,3174,1983,5,conservative,lower working,female,21,none
32,3174,1984,7,labour,lower working,female,21,none
32,3174,1985,3,labour,lower working,female,21,none
32,3174,1986,6,labour,lower working,female,21,none
32,3179,1983,5,labour,upper working,female,45,Protestant
32,3179,1984,3,labour,upper working,female,45,Protestant
32,3179,1985,5,labour,upper working,female,45,Protestant
32,3179,1986,3,labour,middle,female,45,Protestant
32,3180,1983,4,Lib/SDP/Alliance,lower working,male,75,Protestant
32,3180,1984,2,Lib/SDP/Alliance,lower working,male,75,Protestant
32,3180,1985,3,Lib/SDP/Alliance,upper working,male,75,Protestant
32,3180,1986,7,Lib/SDP/Alliance,lower working,male,75,Protestant
33,1681,1983,3,Lib/SDP/Alliance,lower working,male,28,Roman Catholic
33,1681,1984,4,Lib/SDP/Alliance,lower working,male,28,Roman Catholic
33,1681,1985,4,Lib/SDP/Alliance,lower working,male,28,Roman Catholic
33,1681,1986,4,Lib/SDP/Alliance,lower working,male,28,Roman Catholic
33,1682,1983,6,conservative,middle,male,34,none
33,1682,1984,6,Lib/SDP/Alliance,middle,male,34,none
33,1682,1985,7,Lib/SDP/Alliance,middle,male,34,none
33,1682,1986,7,Lib/SDP/Alliance,middle,male,34,none
33,1685,1983,3,conservative,lower working,female,24,none
33,1685,1984,3,conservative,upper working,female,24,none
33,1685,1985,5,conservative,upper working,female,24,none
33,1685,1986,3,Lib/SDP/Alliance,lower working,female,24,none
33,1686,1983,7,Lib/SDP/Alliance,middle,female,36,none
33,1686,1984,6,Lib/SDP/Alliance,middle,female,36,none
33,1686,1985,7,Lib/SDP/Alliance,middle,female,36,none
33,1686,1986,6,Lib/SDP/Alliance,middle,female,36,none
33,1688,1983,5,conservative,upper working,male,25,none
33,1688,1984,7,conservative,lower working,male,25,none
33,1688,1985,3,conservative,upper working,male,25,none
33,1688,1986,7,conservative,upper working,male,25,none
33,1690,1983,2,conservative,middle,male,25,Protestant
33,1690,1984,2,conservative,middle,male,25,Protestant
33,1690,1985,3,Lib/SDP/Alliance,middle,male,25,Protestant
33,1690,1986,2,Lib/SDP/Alliance,upper working,male,25,Protestant
33,1694,1983,3,conservative,upper working,female,60,Protestant
33,1694,1984,3,conservative,middle,female,60,Protestant
33,1694,1985,3,conservative,upper working,female,60,Protestant
33,1694,1986,3,conservative,middle,female,60,Protestant
33,1697,1983,3,Lib/SDP/Alliance,middle,female,35,others
33,1697,1984,2,Lib/SDP/Alliance,middle,female,35,others
33,1697,1985,2,Lib/SDP/Alliance,middle,female,35,others
33,1697,1986,1,Lib/SDP/Alliance,middle,female,35,others
34,1741,1983,4,conservative,middle,female,63,Roman Catholic
34,1741,1984,1,conservative,middle,female,63,Roman Catholic
34,1741,1985,2,conservative,middle,female,63,Roman Catholic
34,1741,1986,1,conservative,lower working,female,63,Roman Catholic
34,1746,1983,5,labour,lower working,male,46,none
34,1746,1984,3,labour,lower working,male,46,none
34,1746,1985,6,labour,lower working,male,46,none
34,1746,1986,5,labour,lower working,male,46,none
34,1750,1983,7,Lib/SDP/Alliance,middle,male,48,Protestant
34,1750,1984,7,Lib/SDP/Alliance,middle,male,48,Protestant
34,1750,1985,5,Lib/SDP/Alliance,middle,male,48,Protestant
34,1750,1986,4,Lib/SDP/Alliance,middle,male,48,Protestant
34,1754,1983,5,Lib/SDP/Alliance,upper working,female,62,Protestant
34,1754,1984,3,Lib/SDP/Alliance,lower working,female,62,Protestant
34,1754,1985,4,Lib/SDP/Alliance,lower working,female,62,Protestant
34,1754,1986,4,Lib/SDP/Alliance,lower working,female,62,Protestant
35,1834,1983,3,conservative,middle,male,49,others
35,1834,1984,2,conservative,middle,male,49,others
35,1834,1985,6,conservative,middle,male,49,others
35,1834,1986,6,conservative,middle,male,49,others
35,1836,1983,4,Lib/SDP/Alliance,upper working,male,24,Protestant
35,1836,1984,3,labour,upper working,male,24,Protestant
35,1836,1985,4,Lib/SDP/Alliance,upper working,male,24,Protestant
35,1836,1986,5,Lib/SDP/Alliance,upper working,male,24,Protestant
35,1838,1983,7,none,lower working,female,27,none
35,1838,1984,5,Lib/SDP/Alliance,lower working,female,27,none
35,1838,1985,7,Lib/SDP/Alliance,lower working,female,27,none
35,1838,1986,7,Lib/SDP/Alliance,lower working,female,27,none
35,1839,1983,4,conservative,middle,female,74,others
35,1839,1984,6,conservative,middle,female,74,others
35,1839,1985,7,conservative,middle,female,74,others
35,1839,1986,3,conservative,middle,female,74,others
35,1843,1983,4,labour,upper working,male,25,none
35,1843,1984,3,labour,upper working,male,25,none
35,1843,1985,6,labour,upper working,male,25,none
35,1843,1986,4,labour,upper working,male,25,none
35,1846,1983,3,Lib/SDP/Alliance,middle,male,39,none
35,1846,1984,3,Lib/SDP/Alliance,middle,male,39,none
35,1846,1985,3,Lib/SDP/Alliance,middle,male,39,none
35,1846,1986,3,Lib/SDP/Alliance,middle,male,39,none
35,1851,1983,7,labour,middle,female,26,none
35,1851,1984,7,labour,middle,female,26,none
35,1851,1985,7,labour,middle,female,26,none
35,1851,1986,7,labour,middle,female,26,none
35,1858,1983,3,none,upper working,female,60,others
35,1858,1984,3,labour,upper working,female,60,others
35,1858,1985,3,others,upper working,female,60,others
35,1858,1986,3,labour,upper working,female,60,others
36,1892,1983,7,Lib/SDP/Alliance,lower working,male,31,Protestant
36,1892,1984,3,conservative,lower working,male,31,Protestant
36,1892,1985,3,Lib/SDP/Alliance,lower working,male,31,Protestant
36,1892,1986,7,Lib/SDP/Alliance,upper working,male,31,Protestant
36,1895,1983,3,Lib/SDP/Alliance,upper working,female,52,Protestant
36,1895,1984,3,Lib/SDP/Alliance,upper working,female,52,Protestant
36,1895,1985,3,Lib/SDP/Alliance,upper working,female,52,Protestant
36,1895,1986,4,Lib/SDP/Alliance,upper working,female,52,Protestant
36,1900,1983,7,labour,lower working,male,26,Protestant
36,1900,1984,7,none,lower working,male,26,Protestant
36,1900,1985,6,Lib/SDP/Alliance,lower working,male,26,Protestant
36,1900,1986,7,Lib/SDP/Alliance,lower working,male,26,Protestant
36,1906,1983,5,conservative,middle,female,52,Protestant
36,1906,1984,3,conservative,middle,female,52,Protestant
36,1906,1985,4,conservative,middle,female,52,Protestant
36,1906,1986,4,conservative,middle,female,52,Protestant
36,1907,1983,7,labour,lower working,male,78,none
36,1907,1984,5,labour,lower working,male,78,none
36,1907,1985,7,labour,lower working,male,78,none
36,1907,1986,6,labour,upper working,male,78,none
36,1910,1983,7,conservative,lower working,male,50,Protestant
36,1910,1984,2,conservative,upper working,male,50,Protestant
36,1910,1985,7,conservative,lower working,male,50,Protestant
36,1910,1986,6,conservative,upper working,male,50,Protestant
36,1916,1983,3,conservative,lower working,male,48,others
36,1916,1984,3,conservative,middle,male,48,others
36,1916,1985,3,conservative,lower working,male,48,others
36,1916,1986,3,Lib/SDP/Alliance,lower working,male,48,others
37,1954,1983,3,conservative,middle,female,40,Protestant
37,1954,1984,7,conservative,middle,female,40,Protestant
37,1954,1985,4,conservative,middle,female,40,Protestant
37,1954,1986,5,conservative,middle,female,40,Protestant
37,1955,1983,6,Lib/SDP/Alliance,upper working,male,40,others
37,1955,1984,6,none,upper working,male,40,others
37,1955,1985,6,Lib/SDP/Alliance,upper working,male,40,others
37,1955,1986,6,Lib/SDP/Alliance,upper working,male,40,others
37,1967,1983,4,labour,lower working,female,21,Protestant
37,1967,1984,6,labour,lower working,female,21,Protestant
37,1967,1985,6,labour,lower working,female,21,Protestant
37,1967,1986,5,labour,upper working,female,21,Protestant
37,1968,1983,7,Lib/SDP/Alliance,lower working,female,35,Protestant
37,1968,1984,7,Lib/SDP/Alliance,lower working,female,35,Protestant
37,1968,1985,7,Lib/SDP/Alliance,lower working,female,35,Protestant
37,1968,1986,7,Lib/SDP/Alliance,upper working,female,35,Protestant
37,1975,1983,7,Lib/SDP/Alliance,middle,male,37,Protestant
37,1975,1984,7,Lib/SDP/Alliance,middle,male,37,Protestant
37,1975,1985,7,Lib/SDP/Alliance,middle,male,37,Protestant
37,1975,1986,7,Lib/SDP/Alliance,middle,male,37,Protestant
37,1979,1983,4,labour,lower working,male,68,Roman Catholic
37,1979,1984,3,labour,lower working,male,68,Roman Catholic
37,1979,1985,4,labour,lower working,male,68,Roman Catholic
37,1979,1986,3,labour,lower working,male,68,Roman Catholic
38,2019,1983,4,conservative,upper working,female,43,Protestant
38,2019,1984,3,conservative,upper working,female,43,Protestant
38,2019,1985,2,conservative,upper working,female,43,Protestant
38,2019,1986,6,labour,upper working,female,43,Protestant
38,2020,1983,7,conservative,middle,female,20,none
38,2020,1984,7,conservative,upper working,female,20,none
38,2020,1985,7,conservative,upper working,female,20,none
38,2020,1986,7,conservative,upper working,female,20,none
38,2031,1983,7,conservative,middle,female,46,Protestant
38,2031,1984,3,conservative,middle,female,46,Protestant
38,2031,1985,3,Lib/SDP/Alliance,middle,female,46,Protestant
38,2031,1986,6,conservative,middle,female,46,Protestant
38,2032,1983,7,conservative,middle,female,53,none
38,2032,1984,7,conservative,upper working,female,53,none
38,2032,1985,7,conservative,middle,female,53,none
38,2032,1986,7,conservative,middle,female,53,none
39,2101,1983,4,conservative,upper working,male,66,Protestant
39,2101,1984,4,conservative,upper working,male,66,Protestant
39,2101,1985,3,conservative,middle,male,66,Protestant
39,2101,1986,6,conservative,upper working,male,66,Protestant
39,2106,1983,7,conservative,middle,male,51,none
39,2106,1984,7,conservative,middle,male,51,none
39,2106,1985,7,conservative,middle,male,51,none
39,2106,1986,7,conservative,middle,male,51,none
39,2117,1983,6,Lib/SDP/Alliance,lower working,male,49,Protestant
39,2117,1984,4,Lib/SDP/Alliance,lower working,male,49,Protestant
39,2117,1985,6,Lib/SDP/Alliance,lower working,male,49,Protestant
39,2117,1986,6,Lib/SDP/Alliance,upper working,male,49,Protestant
39,2121,1983,3,labour,lower working,female,74,Protestant
39,2121,1984,4,labour,lower working,female,74,Protestant
39,2121,1985,4,labour,lower working,female,74,Protestant
39,2121,1986,3,labour,lower working,female,74,Protestant
39,2128,1983,7,conservative,upper working,female,58,none
39,2128,1984,7,conservative,upper working,female,58,none
39,2128,1985,7,conservative,upper working,female,58,none
39,2128,1986,7,conservative,lower working,female,58,none
40,2202,1983,7,labour,lower working,female,39,Protestant
40,2202,1984,3,labour,lower working,female,39,Protestant
40,2202,1985,7,Lib/SDP/Alliance,lower working,female,39,Protestant
40,2202,1986,7,Lib/SDP/Alliance,lower working,female,39,Protestant
40,2211,1983,3,conservative,upper working,female,66,others
40,2211,1984,3,conservative,lower working,female,66,others
40,2211,1985,3,conservative,lower working,female,66,others
40,2211,1986,6,conservative,lower working,female,66,others
40,2212,1983,5,labour,lower working,female,21,none
40,2212,1984,6,labour,lower working,female,21,none
40,2212,1985,7,labour,lower working,female,21,none
40,2212,1986,6,labour,lower working,female,21,none
40,2214,1983,5,none,upper working,female,27,Protestant
40,2214,1984,4,others,upper working,female,27,Protestant
40,2214,1985,3,others,upper working,female,27,Protestant
40,2214,1986,6,others,lower working,female,27,Protestant
40,2216,1983,7,labour,lower working,male,40,none
40,2216,1984,7,labour,lower working,male,40,none
40,2216,1985,7,labour,lower working,male,40,none
40,2216,1986,5,labour,lower working,male,40,none
40,2220,1983,7,labour,upper working,male,73,none
40,2220,1984,3,labour,upper working,male,73,none
40,2220,1985,7,labour,lower working,male,73,none
40,2220,1986,7,labour,upper working,male,73,none
41,2251,1983,5,labour,middle,female,70,others
41,2251,1984,3,labour,upper working,female,70,others
41,2251,1985,3,labour,upper working,female,70,others
41,2251,1986,3,labour,middle,female,70,others
41,2254,1983,3,Lib/SDP/Alliance,upper working,female,51,Protestant
41,2254,1984,3,Lib/SDP/Alliance,lower working,female,51,Protestant
41,2254,1985,3,Lib/SDP/Alliance,upper working,female,51,Protestant
41,2254,1986,4,Lib/SDP/Alliance,lower working,female,51,Protestant
41,2255,1983,3,conservative,middle,female,65,Protestant
41,2255,1984,2,conservative,middle,female,65,Protestant
41,2255,1985,4,conservative,middle,female,65,Protestant
41,2255,1986,3,Lib/SDP/Alliance,middle,female,65,Protestant
41,2256,1983,7,labour,middle,male,51,none
41,2256,1984,6,labour,middle,male,51,none
41,2256,1985,7,labour,middle,male,51,none
41,2256,1986,7,labour,middle,male,51,none
41,2258,1983,6,conservative,upper working,female,49,Protestant
41,2258,1984,3,conservative,upper working,female,49,Protestant
41,2258,1985,6,conservative,lower working,female,49,Protestant
41,2258,1986,6,conservative,lower working,female,49,Protestant
41,2263,1983,6,conservative,upper working,female,49,Protestant
41,2263,1984,3,conservative,lower working,female,49,Protestant
41,2263,1985,4,conservative,upper working,female,49,Protestant
41,2263,1986,5,conservative,middle,female,49,Protestant
41,2268,1983,3,conservative,lower working,male,71,others
41,2268,1984,2,conservative,lower working,male,71,others
41,2268,1985,5,conservative,upper working,male,71,others
41,2268,1986,6,conservative,lower working,male,71,others
41,2271,1983,7,Lib/SDP/Alliance,middle,female,23,others
41,2271,1984,6,Lib/SDP/Alliance,middle,female,23,others
41,2271,1985,7,Lib/SDP/Alliance,middle,female,23,others
41,2271,1986,6,Lib/SDP/Alliance,middle,female,23,others
42,2315,1983,2,conservative,upper working,female,38,Protestant
42,2315,1984,3,conservative,upper working,female,38,Protestant
42,2315,1985,3,conservative,upper working,female,38,Protestant
42,2315,1986,3,conservative,upper working,female,38,Protestant
42,2340,1983,4,labour,lower working,female,21,none
42,2340,1984,5,conservative,lower working,female,21,none
42,2340,1985,3,conservative,lower working,female,21,none
42,2340,1986,2,conservative,lower working,female,21,none
43,2374,1983,4,conservative,middle,female,31,Protestant
43,2374,1984,3,conservative,middle,female,31,Protestant
43,2374,1985,3,Lib/SDP/Alliance,upper working,female,31,Protestant
43,2374,1986,3,Lib/SDP/Alliance,lower working,female,31,Protestant
43,2379,1983,3,Lib/SDP/Alliance,upper working,female,41,Protestant
43,2379,1984,3,Lib/SDP/Alliance,lower working,female,41,Protestant
43,2379,1985,3,Lib/SDP/Alliance,lower working,female,41,Protestant
43,2379,1986,3,Lib/SDP/Alliance,lower working,female,41,Protestant
43,2383,1983,6,conservative,middle,male,22,none
43,2383,1984,6,conservative,middle,male,22,none
43,2383,1985,6,conservative,upper working,male,22,none
43,2383,1986,7,conservative,middle,male,22,none
43,2387,1983,5,labour,upper working,female,46,Protestant
43,2387,1984,5,labour,upper working,female,46,Protestant
43,2387,1985,3,labour,middle,female,46,Protestant
43,2387,1986,5,labour,middle,female,46,Protestant
44,2461,1983,4,Lib/SDP/Alliance,upper working,female,34,Protestant
44,2461,1984,2,Lib/SDP/Alliance,middle,female,34,Protestant
44,2461,1985,3,Lib/SDP/Alliance,middle,female,34,Protestant
44,2461,1986,5,Lib/SDP/Alliance,middle,female,34,Protestant
44,2464,1983,4,conservative,lower working,female,58,Protestant
44,2464,1984,3,conservative,lower working,female,58,Protestant
44,2464,1985,3,conservative,upper working,female,58,Protestant
44,2464,1986,3,conservative,upper working,female,58,Protestant
44,2465,1983,5,conservative,middle,male,39,Protestant
44,2465,1984,4,conservative,middle,male,39,Protestant
44,2465,1985,7,conservative,middle,male,39,Protestant
44,2465,1986,7,conservative,middle,male,39,Protestant
44,2468,1983,7,conservative,lower working,male,51,Protestant
44,2468,1984,7,conservative,lower working,male,51,Protestant
44,2468,1985,7,conservative,lower working,male,51,Protestant
44,2468,1986,7,conservative,lower working,male,51,Protestant
44,2472,1983,4,Lib/SDP/Alliance,upper working,female,34,none
44,2472,1984,3,Lib/SDP/Alliance,lower working,female,34,none
44,2472,1985,3,Lib/SDP/Alliance,middle,female,34,none
44,2472,1986,3,Lib/SDP/Alliance,middle,female,34,none
44,2474,1983,1,conservative,middle,male,29,none
44,2474,1984,1,conservative,lower working,male,29,none
44,2474,1985,1,conservative,lower working,male,29,none
44,2474,1986,1,conservative,upper working,male,29,none
44,2480,1983,7,none,lower working,male,53,Protestant
44,2480,1984,7,none,lower working,male,53,Protestant
44,2480,1985,7,others,upper working,male,53,Protestant
44,2480,1986,7,Lib/SDP/Alliance,lower working,male,53,Protestant
44,2485,1983,3,labour,lower working,female,52,Roman Catholic
44,2485,1984,2,labour,lower working,female,52,Roman Catholic
44,2485,1985,7,labour,lower working,female,52,Roman Catholic
44,2485,1986,3,labour,lower working,female,52,Roman Catholic
44,2488,1983,3,conservative,upper working,female,24,Protestant
44,2488,1984,3,conservative,upper working,female,24,Protestant
44,2488,1985,4,conservative,upper working,female,24,Protestant
44,2488,1986,4,conservative,upper working,female,24,Protestant
44,2489,1983,3,conservative,middle,female,39,none
44,2489,1984,7,conservative,middle,female,39,none
44,2489,1985,7,conservative,middle,female,39,none
44,2489,1986,6,conservative,middle,female,39,none
45,2521,1983,3,labour,lower working,male,40,others
45,2521,1984,3,labour,lower working,male,40,others
45,2521,1985,1,labour,lower working,male,40,others
45,2521,1986,4,labour,lower working,male,40,others
45,2524,1983,7,labour,lower working,female,25,Protestant
45,2524,1984,6,labour,lower working,female,25,Protestant
45,2524,1985,6,labour,lower working,female,25,Protestant
45,2524,1986,7,labour,lower working,female,25,Protestant
45,2526,1983,7,conservative,middle,female,39,Protestant
45,2526,1984,7,conservative,middle,female,39,Protestant
45,2526,1985,7,conservative,upper working,female,39,Protestant
45,2526,1986,7,conservative,upper working,female,39,Protestant
45,2530,1983,5,conservative,upper working,male,42,Protestant
45,2530,1984,3,conservative,upper working,male,42,Protestant
45,2530,1985,4,conservative,upper working,male,42,Protestant
45,2530,1986,5,conservative,middle,male,42,Protestant
45,2534,1983,7,none,lower working,male,19,none
45,2534,1984,2,others,lower working,male,19,none
45,2534,1985,3,others,lower working,male,19,none
45,2534,1986,7,others,lower working,male,19,none
45,2537,1983,7,conservative,lower working,female,35,Protestant
45,2537,1984,3,conservative,lower working,female,35,Protestant
45,2537,1985,3,conservative,lower working,female,35,Protestant
45,2537,1986,3,conservative,lower working,female,35,Protestant
45,2541,1983,4,conservative,upper working,female,29,Protestant
45,2541,1984,3,conservative,middle,female,29,Protestant
45,2541,1985,7,conservative,upper working,female,29,Protestant
45,2541,1986,5,Lib/SDP/Alliance,upper working,female,29,Protestant
45,2542,1983,7,Lib/SDP/Alliance,lower working,female,37,none
45,2542,1984,5,Lib/SDP/Alliance,upper working,female,37,none
45,2542,1985,6,Lib/SDP/Alliance,lower working,female,37,none
45,2542,1986,6,Lib/SDP/Alliance,middle,female,37,none
46,2614,1983,7,conservative,middle,male,36,Protestant
46,2614,1984,7,conservative,middle,male,36,Protestant
46,2614,1985,7,conservative,middle,male,36,Protestant
46,2614,1986,7,conservative,middle,male,36,Protestant
46,2627,1983,7,none,middle,female,25,none
46,2627,1984,7,others,middle,female,25,none
46,2627,1985,7,others,middle,female,25,none
46,2627,1986,7,others,middle,female,25,none
46,2639,1983,7,conservative,middle,male,40,others
46,2639,1984,4,conservative,middle,male,40,others
46,2639,1985,6,conservative,middle,male,40,others
46,2639,1986,6,conservative,middle,male,40,others
46,2640,1983,3,conservative,middle,female,51,others
46,2640,1984,7,Lib/SDP/Alliance,middle,female,51,others
46,2640,1985,7,conservative,middle,female,51,others
46,2640,1986,7,conservative,middle,female,51,others
47,2672,1983,6,conservative,upper working,male,31,Protestant
47,2672,1984,7,conservative,lower working,male,31,Protestant
47,2672,1985,7,conservative,lower working,male,31,Protestant
47,2672,1986,3,conservative,lower working,male,31,Protestant
47,2679,1983,6,conservative,middle,female,69,Protestant
47,2679,1984,7,conservative,middle,female,69,Protestant
47,2679,1985,5,conservative,middle,female,69,Protestant
47,2679,1986,6,conservative,middle,female,69,Protestant
47,2694,1983,7,conservative,middle,male,63,Protestant
47,2694,1984,7,conservative,middle,male,63,Protestant
47,2694,1985,7,conservative,middle,male,63,Protestant
47,2694,1986,7,conservative,middle,male,63,Protestant
47,2698,1983,5,conservative,upper working,female,58,Protestant
47,2698,1984,7,conservative,upper working,female,58,Protestant
47,2698,1985,7,conservative,upper working,female,58,Protestant
47,2698,1986,6,conservative,upper working,female,58,Protestant
47,2700,1983,7,conservative,middle,male,37,none
47,2700,1984,6,conservative,middle,male,37,none
47,2700,1985,7,conservative,middle,male,37,none
47,2700,1986,7,conservative,middle,male,37,none
48,2770,1983,2,conservative,middle,male,35,others
48,2770,1984,2,conservative,middle,male,35,others
48,2770,1985,2,conservative,middle,male,35,others
48,2770,1986,2,Lib/SDP/Alliance,middle,male,35,others
48,2780,1983,6,conservative,middle,female,24,none
48,2780,1984,4,conservative,middle,female,24,none
48,2780,1985,5,conservative,middle,female,24,none
48,2780,1986,5,conservative,middle,female,24,none
49,2832,1983,6,Lib/SDP/Alliance,middle,female,24,others
49,2832,1984,3,Lib/SDP/Alliance,middle,female,24,others
49,2832,1985,4,Lib/SDP/Alliance,middle,female,24,others
49,2832,1986,4,Lib/SDP/Alliance,middle,female,24,others
49,2834,1983,7,others,lower working,female,36,none
49,2834,1984,4,Lib/SDP/Alliance,lower working,female,36,none
49,2834,1985,4,labour,lower working,female,36,none
49,2834,1986,6,labour,lower working,female,36,none
49,2836,1983,7,Lib/SDP/Alliance,lower working,male,54,Protestant
49,2836,1984,7,Lib/SDP/Alliance,lower working,male,54,Protestant
49,2836,1985,6,Lib/SDP/Alliance,lower working,male,54,Protestant
49,2836,1986,6,Lib/SDP/Alliance,lower working,male,54,Protestant
49,2837,1983,7,conservative,middle,female,28,others
49,2837,1984,7,conservative,middle,female,28,others
49,2837,1985,6,conservative,middle,female,28,others
49,2837,1986,7,conservative,middle,female,28,others
49,2849,1983,7,labour,upper working,female,36,Protestant
49,2849,1984,7,labour,lower working,female,36,Protestant
49,2849,1985,7,labour,lower working,female,36,Protestant
49,2849,1986,7,labour,lower working,female,36,Protestant
50,2888,1983,7,Lib/SDP/Alliance,middle,male,51,none
50,2888,1984,7,Lib/SDP/Alliance,middle,male,51,none
50,2888,1985,7,Lib/SDP/Alliance,middle,male,51,none
50,2888,1986,7,Lib/SDP/Alliance,middle,male,51,none
50,2890,1983,7,Lib/SDP/Alliance,lower working,male,40,Protestant
50,2890,1984,5,Lib/SDP/Alliance,lower working,male,40,Protestant
50,2890,1985,3,Lib/SDP/Alliance,upper working,male,40,Protestant
50,2890,1986,6,Lib/SDP/Alliance,lower working,male,40,Protestant
50,2892,1983,7,conservative,upper working,female,25,none
50,2892,1984,7,conservative,lower working,female,25,none
50,2892,1985,6,conservative,upper working,female,25,none
50,2892,1986,7,conservative,upper working,female,25,none
50,2904,1983,7,Lib/SDP/Alliance,middle,male,33,none
50,2904,1984,7,Lib/SDP/Alliance,upper working,male,33,none
50,2904,1985,7,Lib/SDP/Alliance,middle,male,33,none
50,2904,1986,7,Lib/SDP/Alliance,upper working,male,33,none
50,2909,1983,5,labour,lower working,female,64,Roman Catholic
50,2909,1984,4,labour,lower working,female,64,Roman Catholic
50,2909,1985,0,labour,lower working,female,64,Roman Catholic
50,2909,1986,6,labour,lower working,female,64,Roman Catholic
51,3020,1983,3,conservative,middle,male,41,Protestant
51,3020,1984,5,conservative,middle,male,41,Protestant
51,3020,1985,2,Lib/SDP/Alliance,lower working,male,41,Protestant
51,3020,1986,2,Lib/SDP/Alliance,middle,male,41,Protestant
51,3025,1983,5,conservative,upper working,female,36,Protestant
51,3025,1984,4,conservative,upper working,female,36,Protestant
51,3025,1985,7,conservative,middle,female,36,Protestant
51,3025,1986,6,conservative,middle,female,36,Protestant
51,3029,1983,7,conservative,lower working,female,56,Protestant
51,3029,1984,2,conservative,lower working,female,56,Protestant
51,3029,1985,7,conservative,lower working,female,56,Protestant
51,3029,1986,6,conservative,lower working,female,56,Protestant
52,3100,1983,3,labour,upper working,male,36,none
52,3100,1984,4,Lib/SDP/Alliance,lower working,male,36,none
52,3100,1985,4,Lib/SDP/Alliance,upper working,male,36,none
52,3100,1986,7,labour,upper working,male,36,none
52,3111,1983,7,conservative,upper working,female,66,none
52,3111,1984,6,conservative,lower working,female,66,none
52,3111,1985,7,conservative,lower working,female,66,none
52,3111,1986,7,Lib/SDP/Alliance,lower working,female,66,none
52,3112,1983,6,conservative,middle,female,38,Protestant
52,3112,1984,6,conservative,middle,female,38,Protestant
52,3112,1985,4,conservative,middle,female,38,Protestant
52,3112,1986,7,conservative,middle,female,38,Protestant
53,3193,1983,4,conservative,upper working,male,60,Protestant
53,3193,1984,5,conservative,upper working,male,60,Protestant
53,3193,1985,6,conservative,upper working,male,60,Protestant
53,3193,1986,7,conservative,upper working,male,60,Protestant
53,3194,1983,5,conservative,lower working,male,69,Protestant
53,3194,1984,5,conservative,lower working,male,69,Protestant
53,3194,1985,7,conservative,lower working,male,69,Protestant
53,3194,1986,7,conservative,lower working,male,69,Protestant
53,3196,1983,3,labour,lower working,female,41,Protestant
53,3196,1984,7,labour,lower working,female,41,Protestant
53,3196,1985,7,labour,lower working,female,41,Protestant
53,3196,1986,7,labour,lower working,female,41,Protestant
53,3201,1983,2,conservative,upper working,male,55,Protestant
53,3201,1984,2,conservative,upper working,male,55,Protestant
53,3201,1985,2,conservative,upper working,male,55,Protestant
53,3201,1986,3,conservative,upper working,male,55,Protestant
54,3256,1983,5,Lib/SDP/Alliance,lower working,female,70,Protestant
54,3256,1984,5,labour,lower working,female,70,Protestant
54,3256,1985,7,labour,lower working,female,70,Protestant
54,3256,1986,5,labour,lower working,female,70,Protestant
54,3257,1983,5,Lib/SDP/Alliance,lower working,female,57,Protestant
54,3257,1984,4,labour,upper working,female,57,Protestant
54,3257,1985,4,labour,middle,female,57,Protestant
54,3257,1986,5,labour,lower working,female,57,Protestant
54,3260,1983,5,labour,lower working,male,18,Protestant
54,3260,1984,2,labour,lower working,male,18,Protestant
54,3260,1985,7,labour,lower working,male,18,Protestant
54,3260,1986,7,labour,lower working,male,18,Protestant
54,3265,1983,3,labour,lower working,female,40,Roman Catholic
54,3265,1984,4,labour,lower working,female,40,Roman Catholic
54,3265,1985,4,labour,lower working,female,40,Roman Catholic
