G,H,Y,U,V,W
58,2,0.0,-1,1.0,-1.0
58,12,0.32,1,-1.0,-1.0
58,3,-0.5700000000000001,-1,1.0,-1.0
58,6,0.0,-1,-1.0,1.0
58,4,0.0,1,1.0,1.0
58,1,0.0,-1,1.0,-1.0
58,10,0.0,1,-1.0,-1.0
58,7,1.0,-1,-1.0,1.0
58,9,0.06,1,-1.0,-1.0
58,8,0.0,-1,-1.0,1.0
58,11,0.0,1,1.0,1.0
59,11,0.0,-1,-1.0,1.0
59,6,0.37,1,1.0,1.0
59,10,-0.22,-1,1.0,-1.0
59,2,-0.03,1,-1.0,-1.0
59,3,0.0,1,-1.0,-1.0
59,1,-0.01,1,-1.0,-1.0
59,4,0.04,-1,-1.0,1.0
59,7,0.13,1,1.0,1.0
59,12,0.92,-1,1.0,-1.0
59,8,0.16000000000000003,1,1.0,1.0
59,5,-1.5,-1,-1.0,1.0
59,9,-0.9299999999999999,-1,1.0,-1.0
60,6,0.0,-1,1.0,-1.0
60,4,0.02,1,-1.0,-1.0
60,12,0.0,1,1.0,1.0
60,3,0.0,-1,-1.0,1.0
60,1,0.0,-1,-1.0,1.0
60,10,0.0,1,1.0,1.0
60,7,0.0,-1,1.0,-1.0
60,8,0.0,-1,1.0,-1.0
60,11,0.26,1,-1.0,-1.0
60,5,0.0,1,-1.0,-1.0
60,2,0.0,-1,-1.0,1.0
60,9,0.0,1,1.0,1.0
61,6,0.76,1,-1.0,-1.0
61,4,0.09,-1,1.0,-1.0
61,5,0.0,-1,1.0,-1.0
61,9,-2.0,-1,-1.0,1.0
61,8,-0.18000000000000002,1,-1.0,-1.0
61,2,0.0,1,1.0,1.0
61,7,0.0,1,-1.0,-1.0
61,10,0.0,-1,-1.0,1.0
61,11,-0.8700000000000001,-1,1.0,-1.0
61,3,0.0,1,1.0,1.0
61,12,0.02999999999999997,-1,-1.0,1.0
61,1,0.0,1,1.0,1.0
62,5,0.07,1,1.0,1.0
62,9,0.0,1,-1.0,-1.0
62,2,-0.039999999999999994,-1,1.0,-1.0
62,10,-0.01,1,-1.0,-1.0
62,12,-0.47,1,-1.0,-1.0
62,1,0.0,-1,1.0,-1.0
62,11,0.030000000000000002,1,1.0,1.0
62,8,-0.32,-1,-1.0,1.0
62,3,0.0,-1,1.0,-1.0
62,4,0.33,1,1.0,1.0
62,6,0.01,-1,-1.0,1.0
62,7,0.0,-1,-1.0,1.0
63,3,-0.04999999999999999,1,-1.0,-1.0
63,6,-0.020000000000000004,1,1.0,1.0
63,9,0.25,-1,1.0,-1.0
63,12,0.010000000000000009,-1,1.0,-1.0
63,5,0.14,-1,-1.0,1.0
63,1,-0.05,1,-1.0,-1.0
63,2,0.07999999999999996,1,-1.0,-1.0
63,10,-1.49,-1,1.0,-1.0
63,11,-0.07,-1,-1.0,1.0
63,7,0.30000000000000004,1,1.0,1.0
63,4,-0.34,-1,-1.0,1.0
63,8,-0.18,1,1.0,1.0
64,6,0.0,-1,1.0,-1.0
64,2,0.26,-1,-1.0,1.0
64,9,0.0,1,1.0,1.0
64,7,0.16999999999999998,-1,1.0,-1.0
64,11,0.09,1,-1.0,-1.0
64,4,-0.02,1,-1.0,-1.0
64,3,0.0,-1,-1.0,1.0
64,1,1.0,-1,-1.0,1.0
64,5,-0.010000000000000009,1,-1.0,-1.0
64,12,0.0,1,1.0,1.0
64,10,0.75,1,1.0,1.0
64,8,-0.18999999999999997,-1,1.0,-1.0
65,11,0.37,-1,1.0,-1.0
65,5,-0.5,-1,1.0,-1.0
65,12,-0.69,-1,-1.0,1.0
65,3,0.15,1,1.0,1.0
65,1,-0.39,1,1.0,1.0
65,2,0.66,1,1.0,1.0
65,10,-0.39,-1,-1.0,1.0
65,8,-0.21,1,-1.0,-1.0
65,4,-2.0,-1,1.0,-1.0
65,6,0.02,1,-1.0,-1.0
65,9,0.15,-1,-1.0,1.0
65,7,-0.10999999999999999,1,-1.0,-1.0
66,1,0.0,-1,1.0,-1.0
66,10,0.0,1,-1.0,-1.0
66,8,0.16999999999999998,-1,-1.0,1.0
66,3,0.01,-1,1.0,-1.0
66,12,0.05000000000000002,1,-1.0,-1.0
66,2,0.04,-1,1.0,-1.0
66,4,0.0,1,1.0,1.0
66,9,-0.06,1,-1.0,-1.0
66,7,0.04,-1,-1.0,1.0
66,6,-0.009999999999999998,-1,-1.0,1.0
66,5,0.02,1,1.0,1.0
66,11,0.0,1,1.0,1.0
67,4,0.0,-1,-1.0,1.0
67,10,0.039999999999999994,-1,1.0,-1.0
67,5,-0.02,-1,-1.0,1.0
67,1,0.010000000000000009,1,-1.0,-1.0
67,8,0.0,1,1.0,1.0
67,6,-0.010000000000000002,1,1.0,1.0
67,9,0.0,-1,1.0,-1.0
67,3,0.019999999999999997,1,-1.0,-1.0
67,2,0.0,1,-1.0,-1.0
67,11,0.0,-1,-1.0,1.0
67,7,0.0,1,1.0,1.0
67,12,0.0,-1,1.0,-1.0
68,7,0.23000000000000004,-1,1.0,-1.0
68,5,0.01,1,-1.0,-1.0
68,8,-0.11,-1,1.0,-1.0
68,9,0.0,1,1.0,1.0
68,12,-0.01,1,1.0,1.0
68,6,-0.06,-1,1.0,-1.0
68,2,0.03,-1,-1.0,1.0
68,4,-0.009999999999999998,1,-1.0,-1.0
68,10,0.0,1,1.0,1.0
68,1,0.0,-1,-1.0,1.0
68,11,-0.01,1,-1.0,-1.0
68,3,-0.05,-1,-1.0,1.0
69,6,0.32,1,-1.0,-1.0
69,2,0.03,1,1.0,1.0
69,11,0.22000000000000003,-1,1.0,-1.0
69,5,0.03999999999999998,-1,1.0,-1.0
69,12,0.01999999999999999,-1,-1.0,1.0
69,9,0.0,-1,-1.0,1.0
69,8,0.0,1,-1.0,-1.0
69,4,0.0,-1,1.0,-1.0
69,1,0.24999999999999994,1,1.0,1.0
69,10,0.010000000000000009,-1,-1.0,1.0
69,3,0.09,1,1.0,1.0
69,7,0.0,1,-1.0,-1.0
70,4,0.04,1,1.0,1.0
70,12,0.07,1,-1.0,-1.0
70,11,0.019999999999999997,1,1.0,1.0
70,1,0.019999999999999997,-1,1.0,-1.0
70,3,0.0,-1,1.0,-1.0
70,6,-0.04000000000000001,-1,-1.0,1.0
70,2,-0.05,-1,1.0,-1.0
70,7,0.0,-1,-1.0,1.0
70,5,0.04,1,1.0,1.0
70,9,-0.01,1,-1.0,-1.0
70,8,-0.07,-1,-1.0,1.0
70,10,-0.08,1,-1.0,-1.0
71,9,0.0,-1,1.0,-1.0
71,8,0.0,1,1.0,1.0
71,7,-0.03,1,1.0,1.0
71,10,0.0,-1,1.0,-1.0
71,3,0.45,1,-1.0,-1.0
71,1,-0.019999999999999997,1,-1.0,-1.0
71,12,0.0,-1,1.0,-1.0
71,2,0.0,1,-1.0,-1.0
71,11,0.25,-1,-1.0,1.0
71,6,0.02,1,1.0,1.0
71,5,-0.09,-1,-1.0,1.0
71,4,0.81,-1,-1.0,1.0
72,8,1.01,-1,1.0,-1.0
72,6,0.0,-1,1.0,-1.0
72,3,-0.010000000000000009,-1,-1.0,1.0
72,10,-1.04,1,1.0,1.0
72,1,-1.07,-1,-1.0,1.0
72,9,-0.25,1,1.0,1.0
72,5,0.37,1,-1.0,-1.0
72,2,0.0,-1,-1.0,1.0
72,11,0.15999999999999992,1,-1.0,-1.0
72,4,-0.8600000000000001,1,-1.0,-1.0
72,7,-1.0,-1,1.0,-1.0
72,12,-1.56,1,1.0,1.0
73,5,0.0,-1,1.0,-1.0
73,4,-0.02,-1,1.0,-1.0
73,2,0.0,1,1.0,1.0
73,1,0.0,1,1.0,1.0
73,12,0.0,-1,-1.0,1.0
73,7,0.07,1,-1.0,-1.0
73,10,0.07999999999999999,-1,-1.0,1.0
73,3,-1.0,1,1.0,1.0
73,11,0.0,-1,1.0,-1.0
73,9,0.0,-1,-1.0,1.0
73,6,0.0,1,-1.0,-1.0
73,8,0.0,1,-1.0,-1.0
74,7,0.0,-1,-1.0,1.0
74,6,0.0,-1,-1.0,1.0
74,12,0.0,1,-1.0,-1.0
74,3,0.06,-1,1.0,-1.0
74,8,0.0,-1,-1.0,1.0
74,4,0.0,1,1.0,1.0
74,10,0.0,1,-1.0,-1.0
74,5,-0.34,1,1.0,1.0
74,9,0.0,1,-1.0,-1.0
74,1,0.020000000000000004,-1,1.0,-1.0
74,11,0.0,1,1.0,1.0
74,2,0.04,-1,1.0,-1.0
75,10,0.0,-1,1.0,-1.0
75,5,0.01,-1,-1.0,1.0
75,9,1.05,-1,1.0,-1.0
75,1,0.55,1,-1.0,-1.0
75,4,-0.05,-1,-1.0,1.0
75,2,-0.04,1,-1.0,-1.0
75,6,-1.1,1,1.0,1.0
75,7,-1.01,1,1.0,1.0
75,8,0.040000000000000036,1,1.0,1.0
75,12,-0.08,-1,1.0,-1.0
75,3,-0.36,1,-1.0,-1.0
75,11,0.039999999999999994,-1,-1.0,1.0
76,5,0.0,1,-1.0,-1.0
76,6,0.0,-1,1.0,-1.0
76,3,0.0,-1,-1.0,1.0
76,10,-0.01,1,1.0,1.0
76,7,0.0,-1,1.0,-1.0
76,2,0.0,-1,-1.0,1.0
76,11,-0.17,1,-1.0,-1.0
76,9,0.0,1,1.0,1.0
76,8,1.0,-1,1.0,-1.0
76,12,0.0,1,1.0,1.0
76,1,0.04,-1,-1.0,1.0
76,4,0.0,1,-1.0,-1.0
77,8,0.0,1,-1.0,-1.0
77,7,0.0,1,-1.0,-1.0
77,1,0.02,1,1.0,1.0
77,6,0.0,1,-1.0,-1.0
77,4,0.0,-1,1.0,-1.0
77,12,0.0,-1,-1.0,1.0
77,2,0.0,1,1.0,1.0
77,11,0.0,-1,1.0,-1.0
77,5,0.0,-1,1.0,-1.0
77,10,0.0,-1,-1.0,1.0
77,9,0.0,-1,-1.0,1.0
77,3,0.0,1,1.0,1.0
78,4,-0.02,1,1.0,1.0
78,2,-0.020000000000000004,-1,1.0,-1.0
78,10,0.02,1,-1.0,-1.0
78,3,0.0,-1,1.0,-1.0
78,5,-0.019999999999999997,1,1.0,1.0
78,1,0.0,-1,1.0,-1.0
78,9,0.0,1,-1.0,-1.0
78,7,0.02,-1,-1.0,1.0
78,6,0.13,-1,-1.0,1.0
78,8,0.0,-1,-1.0,1.0
78,11,0.0,1,1.0,1.0
78,12,0.009999999999999998,1,-1.0,-1.0
79,8,0.12000000000000001,1,1.0,1.0
79,2,0.77,1,-1.0,-1.0
79,11,0.03,-1,-1.0,1.0
79,10,1.0,-1,1.0,-1.0
79,5,-0.91,-1,-1.0,1.0
79,6,-1.12,1,1.0,1.0
79,1,0.05,1,-1.0,-1.0
79,12,-0.01,-1,1.0,-1.0
79,9,0.0,-1,1.0,-1.0
79,3,0.009999999999999995,1,-1.0,-1.0
79,7,-1.23,1,1.0,1.0
79,4,0.06,-1,-1.0,1.0
80,3,0.0,-1,-1.0,1.0
80,1,0.0,-1,-1.0,1.0
80,2,0.01,-1,-1.0,1.0
80,7,0.04,-1,1.0,-1.0
80,6,-0.92,-1,1.0,-1.0
80,10,0.3,1,1.0,1.0
80,4,0.0,1,-1.0,-1.0
80,8,0.06,-1,1.0,-1.0
80,12,0.0,1,1.0,1.0
80,11,0.0,1,-1.0,-1.0
80,9,0.0,1,1.0,1.0
80,5,-0.31,1,-1.0,-1.0
81,1,0.0,1,1.0,1.0
81,12,-0.27,-1,-1.0,1.0
81,6,0.0,1,-1.0,-1.0
81,5,-0.02,-1,1.0,-1.0
81,8,0.07,1,-1.0,-1.0
81,10,0.0,-1,-1.0,1.0
81,3,0.0,1,1.0,1.0
81,9,-0.049999999999999996,-1,-1.0,1.0
81,7,0.03,1,-1.0,-1.0
81,2,0.12000000000000001,1,1.0,1.0
81,11,0.0,-1,1.0,-1.0
81,4,0.0,-1,1.0,-1.0
82,9,-0.03999999999999998,1,-1.0,-1.0
82,11,0.19999999999999996,1,1.0,1.0
82,1,0.72,-1,1.0,-1.0
82,8,0.0,-1,-1.0,1.0
82,3,0.0,-1,1.0,-1.0
82,6,0.0,-1,-1.0,1.0
82,4,-0.9299999999999999,1,1.0,1.0
82,7,-0.18000000000000005,-1,-1.0,1.0
82,12,0.0,1,-1.0,-1.0
82,10,0.0,1,-1.0,-1.0
82,2,0.0,-1,1.0,-1.0
82,5,-1.19,1,1.0,1.0
83,8,-0.13,1,1.0,1.0
83,5,-0.009999999999999998,-1,-1.0,1.0
83,4,-0.04,-1,-1.0,1.0
83,9,0.0,-1,1.0,-1.0
83,7,0.05000000000000002,1,1.0,1.0
83,12,-0.03,-1,1.0,-1.0
83,2,0.0,1,-1.0,-1.0
83,10,0.38,-1,1.0,-1.0
83,11,-0.03,-1,-1.0,1.0
83,1,0.31,1,-1.0,-1.0
83,3,-0.05,1,-1.0,-1.0
83,6,-0.11000000000000001,1,1.0,1.0
84,5,-1.0,1,-1.0,-1.0
84,3,0.38,-1,-1.0,1.0
84,1,0.0,-1,-1.0,1.0
84,9,-0.019999999999999997,1,1.0,1.0
84,7,-0.99,-1,1.0,-1.0
84,4,-0.01,1,-1.0,-1.0
84,8,0.18,-1,1.0,-1.0
84,2,0.03,-1,-1.0,1.0
84,12,0.1,1,1.0,1.0
84,6,0.009999999999999998,-1,1.0,-1.0
84,10,0.11000000000000001,1,1.0,1.0
84,11,2.0,1,-1.0,-1.0
85,8,0.0,1,-1.0,-1.0
85,1,-0.16,1,1.0,1.0
85,7,0.21000000000000002,1,-1.0,-1.0
85,3,-0.19,1,1.0,1.0
85,10,-1.3,-1,-1.0,1.0
85,6,0.18,1,-1.0,-1.0
85,4,0.28,-1,1.0,-1.0
85,12,0.09,-1,-1.0,1.0
85,11,0.2,-1,1.0,-1.0
85,9,-0.8500000000000001,-1,-1.0,1.0
85,5,-0.42,-1,1.0,-1.0
85,2,-0.16,1,1.0,1.0
86,3,0.010000000000000009,-1,1.0,-1.0
86,4,0.0,1,1.0,1.0
86,9,0.0,1,-1.0,-1.0
86,6,-0.020000000000000018,-1,-1.0,1.0
86,2,0.02,-1,1.0,-1.0
86,1,1.0,-1,1.0,-1.0
86,8,0.97,-1,-1.0,1.0
86,5,0.02,1,1.0,1.0
86,10,-0.18,1,-1.0,-1.0
86,12,-0.01,1,-1.0,-1.0
86,7,0.0,-1,-1.0,1.0
86,11,-0.75,1,1.0,1.0
87,12,0.0,-1,1.0,-1.0
87,5,0.060000000000000005,-1,-1.0,1.0
87,3,1.8900000000000001,1,-1.0,-1.0
87,10,1.0,-1,1.0,-1.0
87,6,1.0,1,1.0,1.0
87,1,0.0,1,-1.0,-1.0
87,11,-1.22,-1,-1.0,1.0
87,4,-0.16000000000000003,-1,-1.0,1.0
87,8,0.98,1,1.0,1.0
87,7,0.38,1,1.0,1.0
87,2,0.01999999999999999,1,-1.0,-1.0
87,9,0.55,-1,1.0,-1.0
88,7,0.0,-1,1.0,-1.0
88,10,0.0,1,1.0,1.0
88,9,0.0,1,1.0,1.0
88,12,-0.08,1,1.0,1.0
88,8,0.020000000000000004,-1,1.0,-1.0
88,1,0.0,-1,-1.0,1.0
88,6,-0.45,-1,1.0,-1.0
88,3,0.0,-1,-1.0,1.0
88,11,0.0,1,-1.0,-1.0
88,5,0.0,1,-1.0,-1.0
88,4,0.0,1,-1.0,-1.0
88,2,0.0,-1,-1.0,1.0
89,8,-0.11000000000000001,1,-1.0,-1.0
89,3,0.06000000000000005,1,1.0,1.0
89,12,0.31,-1,-1.0,1.0
89,9,-0.08999999999999997,-1,-1.0,1.0
89,5,0.77,-1,1.0,-1.0
89,7,-0.010000000000000002,1,-1.0,-1.0
89,2,0.47000000000000003,1,1.0,1.0
89,11,-0.039999999999999994,-1,1.0,-1.0
89,1,0.0,1,1.0,1.0
89,4,1.01,-1,1.0,-1.0
89,6,0.07,1,-1.0,-1.0
89,10,0.09,-1,-1.0,1.0
90,4,0.0,1,1.0,1.0
90,8,0.010000000000000002,-1,-1.0,1.0
90,2,-1.0,-1,1.0,-1.0
90,10,-1.0,1,-1.0,-1.0
90,1,0.35,-1,1.0,-1.0
90,11,0.17000000000000004,1,1.0,1.0
90,12,0.22000000000000008,1,-1.0,-1.0
90,3,0.0,-1,1.0,-1.0
90,7,0.57,-1,-1.0,1.0
90,5,0.0,1,1.0,1.0
90,6,-1.05,-1,-1.0,1.0
90,9,-0.01,1,-1.0,-1.0
91,8,-0.16,1,1.0,1.0
91,3,-1.0,1,-1.0,-1.0
91,9,1.01,-1,1.0,-1.0
91,6,0.0,1,1.0,1.0
91,1,0.01,1,-1.0,-1.0
91,4,1.0,-1,-1.0,1.0
91,2,0.13,1,-1.0,-1.0
91,11,0.14,-1,-1.0,1.0
91,7,0.0,1,1.0,1.0
91,5,-0.24000000000000002,-1,-1.0,1.0
91,10,0.09999999999999999,-1,1.0,-1.0
91,12,0.03,-1,1.0,-1.0
92,8,0.61,-1,1.0,-1.0
92,7,1.99,-1,1.0,-1.0
92,11,0.0,1,-1.0,-1.0
92,4,0.0,1,-1.0,-1.0
92,3,0.97,-1,-1.0,1.0
92,6,2.0,-1,1.0,-1.0
92,5,0.95,1,-1.0,-1.0
92,9,0.0,1,1.0,1.0
92,10,0.0,1,1.0,1.0
92,1,0.0,-1,-1.0,1.0
92,12,0.0,1,1.0,1.0
92,2,0.0,-1,-1.0,1.0
