U,Y,G,A,V,H
-30.0,2.0,25,F,0.0,5
-14.0,2.0,25,M,31.0,5
-4.0,3.0,25,F,0.0,6
-5.0,6.0,25,F,0.0,6
17.0,8.0,25,M,31.0,5
-16.0,2.0,25,M,0.0,5
6.0,10.0,25,F,20.0,6
-9.0,4.0,25,F,0.0,6
0.0,2.0,25,M,0.0,6
4.0,10.0,25,M,0.0,6
11.0,8.0,26,F,31.0,5
-4.0,7.0,26,M,0.0,5
-5.0,2.0,26,M,0.0,5
-27.0,2.0,26,M,0.0,5
16.0,9.0,26,F,0.0,5
12.0,10.0,26,M,1.0,5
18.0,10.0,26,F,20.0,5
-12.0,2.0,26,F,0.0,5
13.0,9.0,26,M,20.0,5
18.0,9.0,26,M,0.0,5
-6.0,3.0,26,F,0.0,5
10.0,10.0,26,F,20.0,5
-30.0,2.0,26,M,0.0,5
19.0,9.0,26,F,1.0,5
4.0,5.0,26,F,0.0,5
7.0,4.0,26,M,0.0,5
6.0,8.0,26,M,0.0,5
-17.0,3.0,26,M,0.0,5
16.0,7.0,26,M,31.0,5
-30.0,2.0,26,M,0.0,5
-16.0,5.0,26,F,0.0,5
-8.0,3.0,26,M,20.0,5
-1.0,9.0,26,M,20.0,5
-9.0,7.0,26,F,0.0,5
-5.0,7.0,26,M,20.0,5
-5.0,2.0,26,M,0.0,5
3.0,3.0,26,M,31.0,5
-6.0,8.0,26,M,20.0,5
4.0,10.0,26,M,20.0,5
1.0,8.0,26,F,0.0,5
-28.0,2.0,27,F,20.0,6
9.0,10.0,27,M,0.0,6
2.0,4.0,27,F,0.0,6
-10.0,2.0,27,F,0.0,6
-9.0,2.0,27,M,0.0,6
13.0,9.0,27,F,0.0,6
-11.0,3.0,27,M,0.0,6
19.0,10.0,27,M,1.0,6
2.0,10.0,27,M,0.0,6
-24.0,2.0,27,M,20.0,6
-5.0,10.0,27,M,0.0,6
-7.0,5.0,27,F,0.0,6
-2.0,2.0,27,M,0.0,6
-17.0,2.0,27,M,0.0,6
-30.0,2.0,27,F,0.0,6
-20.0,2.0,27,M,0.0,6
-8.0,3.0,27,F,0.0,6
-6.0,5.0,27,F,0.0,6
-2.0,3.0,27,F,0.0,8
-23.0,2.0,27,F,0.0,6
-8.0,2.0,27,M,0.0,6
-7.0,4.0,27,F,0.0,5
6.0,10.0,27,F,20.0,6
-21.0,2.0,27,M,0.0,6
16.0,10.0,27,M,0.0,6
-15.0,2.0,27,M,0.0,6
2.0,4.0,27,F,0.0,5
11.0,10.0,27,F,20.0,6
-11.0,5.0,27,M,0.0,6
3.0,6.0,27,F,0.0,6
4.0,8.0,27,F,0.0,6
-9.0,7.0,27,M,0.0,6
7.0,4.0,27,F,0.0,6
21.0,10.0,27,F,0.0,6
-22.0,4.0,27,M,0.0,6
8.0,10.0,27,F,0.0,6
-19.0,5.0,27,M,20.0,6
0.0,5.0,27,F,0.0,6
1.0,10.0,27,F,20.0,6
18.0,7.0,27,F,0.0,6
-11.0,2.0,27,M,0.0,6
-26.0,2.0,27,M,0.0,6
-30.0,2.0,27,M,0.0,6
-11.0,2.0,27,F,0.0,6
3.0,6.0,27,F,0.0,6
-6.0,2.0,27,M,20.0,6
9.0,10.0,28,F,0.0,6
-7.0,9.0,28,F,0.0,6
14.0,10.0,28,M,1.0,6
-8.0,10.0,28,F,0.0,6
-7.0,7.0,28,M,1.0,6
-6.0,6.0,28,F,0.0,8
-10.0,2.0,28,M,0.0,8
-17.0,2.0,28,F,0.0,6
6.0,10.0,28,F,20.0,6
-9.0,3.0,28,M,0.0,6
-11.0,2.0,28,M,0.0,6
-24.0,2.0,28,F,0.0,8
4.0,10.0,28,M,20.0,6
-5.0,4.0,28,M,0.0,5
-25.0,2.0,28,M,0.0,7
10.0,5.0,28,F,0.0,6
-18.0,2.0,28,M,0.0,6
27.0,10.0,28,F,0.0,6
-12.0,3.0,28,M,0.0,6
-18.0,2.0,28,F,0.0,8
13.0,10.0,28,M,31.0,6
-10.0,2.0,28,M,20.0,5
-30.0,2.0,29,F,0.0,8
-1.0,4.0,29,M,0.0,8
-11.0,2.0,29,M,0.0,8
-28.0,2.0,29,F,0.0,6
-9.0,4.0,29,F,0.0,8
-19.0,2.0,29,F,0.0,8
-25.0,2.0,29,F,0.0,6
-25.0,2.0,29,F,0.0,8
0.0,4.0,29,M,0.0,6
-24.0,2.0,29,M,0.0,8
-7.0,5.0,29,M,20.0,6
-12.0,3.0,29,F,0.0,8
6.0,9.0,29,F,0.0,8
4.0,9.0,29,M,20.0,8
-30.0,1.0,29,F,0.0,8
-1.0,3.0,29,M,0.0,8
3.0,6.0,29,M,0.0,8
-6.0,6.0,29,F,0.0,8
-27.0,4.0,29,F,0.0,8
-6.0,3.0,29,M,0.0,8
-15.0,4.0,29,M,0.0,8
-12.0,2.0,29,M,0.0,8
8.0,9.0,29,F,31.0,8
-10.0,4.0,29,F,0.0,8
11.0,10.0,29,M,0.0,8
-15.0,4.0,29,M,0.0,8
-9.0,5.0,29,F,0.0,8
-23.0,2.0,29,M,0.0,8
-5.0,5.0,29,F,0.0,8
0.0,2.0,29,F,0.0,8
-1.0,3.0,29,M,0.0,8
10.0,10.0,29,F,0.0,8
13.0,10.0,29,F,0.0,8
-17.0,2.0,29,M,0.0,8
-17.0,2.0,29,M,20.0,8
-20.0,2.0,29,M,0.0,8
-23.0,2.0,29,M,0.0,8
-10.0,4.0,29,F,0.0,8
-12.0,2.0,29,M,0.0,8
-21.0,2.0,29,M,0.0,8
-5.0,7.0,29,F,20.0,8
-30.0,2.0,29,F,0.0,8
-30.0,2.0,29,F,0.0,8
7.0,10.0,30,M,20.0,7
1.0,7.0,30,F,20.0,1
6.0,9.0,30,F,0.0,7
0.0,8.0,30,F,1.0,7
9.0,10.0,30,M,0.0,7
-25.0,2.0,30,M,0.0,7
-16.0,2.0,30,F,0.0,7
-1.0,6.0,30,M,0.0,7
-4.0,5.0,30,F,0.0,7
-11.0,3.0,30,F,0.0,7
14.0,3.0,30,M,0.0,7
-5.0,6.0,30,F,0.0,7
-11.0,2.0,30,F,0.0,7
1.0,2.0,30,F,0.0,7
-8.0,4.0,30,F,0.0,7
-16.0,2.0,30,F,0.0,7
-5.0,10.0,30,M,20.0,7
-1.0,6.0,30,M,0.0,7
-8.0,2.0,30,F,0.0,7
-5.0,9.0,30,F,0.0,7
6.0,7.0,30,M,0.0,7
-6.0,6.0,30,F,20.0,7
-10.0,2.0,30,F,20.0,7
-19.0,2.0,30,M,0.0,7
18.0,9.0,30,F,31.0,7
-14.0,3.0,30,M,0.0,7
10.0,4.0,30,F,20.0,7
8.0,10.0,30,M,31.0,7
1.0,8.0,30,M,31.0,7
4.0,9.0,30,F,20.0,7
3.0,5.0,30,M,0.0,7
20.0,10.0,30,F,31.0,7
-10.0,2.0,30,M,0.0,7
-6.0,7.0,31,F,1.0,8
5.0,10.0,31,F,0.0,8
-1.0,5.0,31,F,20.0,8
2.0,3.0,31,F,0.0,8
4.0,5.0,31,F,0.0,5
-18.0,2.0,31,M,0.0,8
-8.0,5.0,31,F,0.0,8
1.0,7.0,31,F,0.0,8
3.0,7.0,31,F,0.0,8
-4.0,3.0,31,F,0.0,8
3.0,2.0,31,M,20.0,8
-16.0,2.0,31,M,0.0,8
4.0,10.0,31,F,0.0,8
-12.0,2.0,31,M,0.0,8
-14.0,3.0,31,F,0.0,8
-24.0,2.0,31,M,0.0,8
2.0,8.0,31,M,0.0,8
-24.0,2.0,31,F,0.0,8
0.0,5.0,31,M,0.0,8
8.0,10.0,31,M,0.0,8
9.0,10.0,31,M,0.0,8
7.0,9.0,31,F,20.0,8
7.0,7.0,31,F,0.0,8
12.0,10.0,31,F,0.0,8
4.0,7.0,31,F,0.0,8
-5.0,5.0,31,F,0.0,8
5.0,8.0,31,M,0.0,8
-11.0,2.0,31,F,0.0,8
21.0,10.0,31,M,0.0,8
-15.0,4.0,31,F,0.0,8
-9.0,7.0,31,F,20.0,8
-23.0,2.0,31,F,0.0,8
-15.0,3.0,31,F,0.0,8
-14.0,5.0,31,F,20.0,8
12.0,8.0,31,F,0.0,8
8.0,7.0,31,F,0.0,8
4.0,7.0,31,F,0.0,8
-9.0,6.0,31,F,0.0,8
22.0,10.0,31,F,31.0,10
30.0,10.0,31,F,20.0,8
-12.0,4.0,31,F,0.0,8
12.0,9.0,32,F,0.0,6
-15.0,3.0,32,F,0.0,6
-8.0,7.0,32,M,0.0,6
-6.0,4.0,32,F,0.0,6
-1.0,5.0,32,F,0.0,6
3.0,3.0,32,M,0.0,6
5.0,9.0,32,F,0.0,6
-12.0,5.0,32,F,0.0,6
15.0,7.0,32,F,0.0,6
-14.0,3.0,32,F,0.0,6
-8.0,2.0,32,M,0.0,6
-11.0,3.0,32,F,20.0,6
2.0,6.0,32,M,31.0,6
-9.0,2.0,32,F,0.0,6
-15.0,3.0,32,M,0.0,6
-11.0,4.0,32,M,0.0,6
-12.0,2.0,32,M,0.0,19
-9.0,4.0,32,F,0.0,6
7.0,9.0,32,M,20.0,6
3.0,6.0,32,F,0.0,6
7.0,3.0,32,M,20.0,6
-11.0,7.0,32,F,0.0,6
8.0,8.0,32,M,20.0,6
-10.0,2.0,32,F,0.0,6
-17.0,2.0,32,M,0.0,6
24.0,10.0,32,M,0.0,6
-2.0,3.0,32,M,0.0,6
13.0,9.0,32,F,0.0,6
-12.0,2.0,32,F,20.0,6
-20.0,3.0,32,M,0.0,6
-19.0,4.0,32,M,0.0,6
-10.0,3.0,32,M,0.0,6
-7.0,3.0,32,M,20.0,8
-16.0,3.0,32,F,0.0,6
-18.0,2.0,32,M,0.0,6
-15.0,2.0,32,M,31.0,6
-12.0,2.0,32,F,0.0,6
-1.0,10.0,32,M,0.0,6
-26.0,2.0,32,M,0.0,6
13.0,10.0,32,F,31.0,7
-24.0,2.0,32,M,0.0,6
15.0,10.0,32,M,20.0,6
-12.0,3.0,32,M,0.0,6
-15.0,2.0,32,M,0.0,7
11.0,10.0,32,F,20.0,6
16.0,10.0,32,M,0.0,6
-16.0,6.0,32,M,0.0,6
-7.0,2.0,32,M,0.0,6
-1.0,5.0,32,M,0.0,6
10.0,9.0,32,F,0.0,6
10.0,8.0,32,F,20.0,6
-15.0,2.0,32,M,0.0,6
5.0,6.0,32,F,0.0,6
3.0,5.0,32,F,0.0,6
-10.0,4.0,32,F,31.0,6
4.0,3.0,32,F,0.0,6
-25.0,2.0,32,M,0.0,6
-16.0,2.0,32,M,1.0,5
5.0,10.0,33,F,0.0,6
-20.0,2.0,33,F,31.0,6
1.0,6.0,33,M,0.0,6
-1.0,2.0,33,F,0.0,6
2.0,10.0,33,M,20.0,6
4.0,6.0,33,M,0.0,6
6.0,7.0,33,M,0.0,6
-10.0,3.0,33,M,0.0,6
-2.0,3.0,33,F,0.0,6
-2.0,10.0,33,F,0.0,6
6.0,3.0,33,F,0.0,5
-4.0,3.0,33,F,0.0,8
4.0,9.0,33,F,0.0,6
-23.0,3.0,33,M,0.0,6
-9.0,2.0,33,F,0.0,6
-8.0,6.0,33,F,0.0,6
-12.0,5.0,33,M,31.0,6
4.0,3.0,33,F,0.0,6
-19.0,2.0,33,M,0.0,6
-20.0,5.0,33,M,0.0,6
-24.0,2.0,33,M,0.0,6
-15.0,4.0,33,M,31.0,6
2.0,2.0,33,M,0.0,6
-7.0,5.0,33,F,0.0,6
4.0,8.0,33,F,0.0,6
-17.0,2.0,33,M,0.0,6
-19.0,4.0,33,F,0.0,6
-27.0,2.0,33,M,0.0,6
-10.0,2.0,33,M,0.0,6
-14.0,2.0,33,M,31.0,6
-8.0,4.0,33,F,0.0,6
-16.0,3.0,33,F,0.0,6
14.0,8.0,33,F,0.0,6
-20.0,2.0,33,F,0.0,6
-23.0,2.0,34,M,0.0,8
-30.0,2.0,34,M,0.0,3
10.0,10.0,34,M,20.0,5
-11.0,3.0,34,M,0.0,5
12.0,4.0,34,F,0.0,5
-30.0,2.0,34,F,0.0,5
16.0,10.0,34,F,20.0,5
11.0,10.0,34,M,20.0,5
9.0,10.0,34,F,20.0,5
-2.0,5.0,34,M,0.0,5
14.0,10.0,34,M,1.0,5
-17.0,8.0,34,F,1.0,5
-12.0,2.0,34,M,0.0,5
5.0,2.0,34,M,0.0,5
0.0,9.0,34,M,20.0,5
2.0,8.0,34,F,0.0,5
-12.0,2.0,34,F,0.0,5
-2.0,6.0,34,F,0.0,5
3.0,6.0,34,F,20.0,5
3.0,10.0,34,F,20.0,5
14.0,8.0,34,F,1.0,5
-6.0,10.0,34,M,1.0,5
28.0,9.0,34,M,1.0,5
-1.0,2.0,34,F,0.0,5
-2.0,4.0,34,F,1.0,5
12.0,8.0,34,M,20.0,5
11.0,10.0,34,F,20.0,5
-19.0,2.0,34,M,0.0,5
22.0,10.0,34,F,20.0,5
22.0,9.0,34,M,0.0,5
-4.0,7.0,34,F,20.0,5
-10.0,2.0,34,M,20.0,5
-2.0,10.0,34,M,0.0,5
11.0,10.0,34,F,0.0,5
-5.0,6.0,34,F,0.0,5
10.0,10.0,34,F,20.0,5
28.0,10.0,34,F,1.0,5
-5.0,9.0,34,F,0.0,5
-4.0,2.0,34,M,0.0,5
19.0,10.0,34,M,0.0,5
9.0,6.0,34,F,1.0,5
-20.0,2.0,34,F,0.0,5
16.0,10.0,34,M,20.0,5
-1.0,5.0,35,M,0.0,3
-2.0,4.0,35,F,0.0,3
-5.0,7.0,35,M,0.0,3
-12.0,8.0,35,F,20.0,3
3.0,10.0,35,M,0.0,3
-4.0,4.0,35,M,0.0,3
5.0,9.0,35,F,0.0,3
7.0,10.0,35,F,0.0,3
-17.0,2.0,35,M,0.0,8
17.0,6.0,35,M,31.0,3
-1.0,6.0,35,M,0.0,3
6.0,4.0,35,M,20.0,3
10.0,10.0,35,M,20.0,3
-12.0,6.0,35,F,20.0,3
3.0,4.0,35,M,0.0,3
5.0,10.0,35,M,0.0,3
3.0,9.0,35,F,20.0,3
-10.0,2.0,35,F,0.0,3
13.0,10.0,35,M,0.0,6
-26.0,3.0,35,F,1.0,3
-5.0,7.0,35,F,0.0,3
3.0,10.0,35,F,0.0,3
-5.0,5.0,36,M,0.0,9
-9.0,4.0,36,M,0.0,9
11.0,9.0,36,F,31.0,9
8.0,7.0,36,F,0.0,9
8.0,10.0,36,M,20.0,9
-11.0,3.0,36,M,0.0,9
4.0,10.0,36,F,0.0,9
-24.0,1.0,36,M,0.0,9
16.0,8.0,36,M,0.0,9
6.0,3.0,36,F,0.0,1
-7.0,7.0,36,M,0.0,9
-6.0,4.0,36,F,20.0,9
-21.0,2.0,36,M,0.0,9
-24.0,2.0,36,M,0.0,9
-24.0,3.0,36,F,0.0,9
7.0,9.0,36,M,31.0,1
-10.0,5.0,36,F,0.0,9
-18.0,3.0,36,M,0.0,9
-9.0,7.0,36,M,20.0,9
-14.0,2.0,36,M,0.0,1
1.0,4.0,36,F,0.0,9
5.0,10.0,36,M,0.0,9
8.0,3.0,36,F,0.0,9
5.0,10.0,36,F,31.0,9
-10.0,2.0,36,F,0.0,9
-1.0,4.0,36,F,31.0,9
-20.0,2.0,36,M,0.0,9
0.0,6.0,36,M,0.0,9
-1.0,2.0,36,M,0.0,9
-10.0,3.0,36,F,0.0,9
-2.0,3.0,36,M,0.0,9
17.0,10.0,36,M,20.0,9
-17.0,6.0,36,F,0.0,1
-18.0,5.0,36,M,0.0,9
30.0,8.0,36,F,0.0,1
-5.0,6.0,36,M,31.0,9
-27.0,2.0,36,M,0.0,9
-2.0,5.0,36,F,0.0,9
11.0,8.0,37,M,0.0,1
40.0,10.0,37,M,0.0,1
3.0,10.0,37,F,20.0,1
31.0,10.0,37,M,20.0,1
-8.0,5.0,37,M,0.0,9
13.0,9.0,37,F,0.0,1
0.0,4.0,37,F,0.0,1
30.0,10.0,37,M,20.0,1
8.0,6.0,37,M,0.0,1
28.0,9.0,37,F,20.0,1
22.0,9.0,37,F,0.0,1
22.0,10.0,37,F,1.0,1
5.0,10.0,37,F,20.0,1
5.0,10.0,37,M,31.0,1
1.0,9.0,37,M,20.0,1
0.0,7.0,37,F,0.0,1
6.0,10.0,37,M,31.0,1
-12.0,7.0,37,F,0.0,1
12.0,7.0,37,M,0.0,1
-18.0,3.0,37,M,0.0,1
11.0,8.0,37,M,0.0,1
16.0,10.0,37,M,0.0,1
22.0,10.0,37,M,0.0,1
-30.0,2.0,37,M,0.0,1
3.0,9.0,37,M,0.0,1
0.0,7.0,37,M,31.0,1
28.0,10.0,37,M,20.0,1
-16.0,4.0,37,M,0.0,1
7.0,10.0,37,M,0.0,1
-2.0,7.0,37,F,20.0,1
12.0,10.0,37,F,20.0,1
9.0,10.0,37,M,31.0,1
10.0,10.0,37,M,20.0,1
19.0,10.0,38,F,20.0,2
-8.0,2.0,38,M,0.0,2
13.0,10.0,38,F,0.0,2
13.0,7.0,38,F,0.0,2
18.0,10.0,38,M,0.0,2
5.0,5.0,38,F,1.0,2
-2.0,5.0,38,F,31.0,2
5.0,9.0,38,M,20.0,2
10.0,10.0,38,M,31.0,2
5.0,9.0,38,F,0.0,2
28.0,10.0,38,F,31.0,2
-26.0,2.0,38,F,31.0,2
11.0,9.0,38,M,31.0,2
10.0,10.0,38,M,0.0,2
2.0,7.0,38,F,0.0,2
6.0,9.0,38,M,20.0,2
-15.0,5.0,38,M,0.0,2
-5.0,2.0,38,F,0.0,2
1.0,7.0,38,F,20.0,2
-30.0,1.0,38,F,0.0,2
0.0,9.0,38,F,20.0,2
-8.0,8.0,38,M,0.0,2
-1.0,8.0,38,M,20.0,2
5.0,3.0,38,M,0.0,2
21.0,9.0,38,F,0.0,2
7.0,10.0,39,F,20.0,2
11.0,7.0,39,M,20.0,2
-10.0,10.0,39,M,0.0,2
-30.0,2.0,39,M,0.0,2
8.0,5.0,39,M,0.0,2
-1.0,5.0,39,F,0.0,2
22.0,10.0,39,M,0.0,2
10.0,6.0,39,M,0.0,2
24.0,10.0,39,F,0.0,2
-2.0,6.0,39,F,0.0,2
5.0,10.0,40,M,0.0,1
19.0,10.0,40,M,0.0,1
-10.0,2.0,40,F,0.0,1
-21.0,4.0,40,M,0.0,1
11.0,6.0,40,F,0.0,1
-12.0,3.0,40,M,0.0,1
3.0,6.0,40,M,0.0,1
15.0,7.0,40,M,0.0,1
7.0,8.0,40,F,20.0,1
-6.0,3.0,40,F,20.0,1
8.0,6.0,40,F,0.0,1
-18.0,3.0,40,M,0.0,1
-18.0,1.0,40,F,0.0,1
-5.0,5.0,40,M,0.0,1
-7.0,1.0,40,M,0.0,1
-17.0,5.0,40,F,0.0,1
-11.0,3.0,40,M,0.0,1
-7.0,5.0,40,F,0.0,1
-25.0,1.0,40,M,0.0,9
-2.0,5.0,40,M,0.0,1
5.0,6.0,40,M,0.0,1
-24.0,2.0,40,M,0.0,1
-22.0,4.0,40,F,0.0,1
-23.0,2.0,40,M,0.0,1
-11.0,3.0,40,M,0.0,1
-14.0,2.0,40,F,0.0,1
-2.0,5.0,40,M,0.0,1
-17.0,2.0,40,M,0.0,1
-1.0,9.0,40,M,0.0,1
-9.0,2.0,40,M,0.0,1
4.0,8.0,40,F,0.0,1
4.0,9.0,40,F,0.0,1
-7.0,5.0,40,F,0.0,1
-22.0,3.0,40,M,0.0,1
-10.0,4.0,40,M,0.0,1
-8.0,2.0,40,M,0.0,1
-11.0,4.0,40,M,0.0,1
-8.0,6.0,40,M,0.0,1
11.0,6.0,40,F,0.0,1
-18.0,3.0,40,F,0.0,1
-17.0,3.0,40,M,0.0,1
-19.0,2.0,40,M,0.0,1
-18.0,3.0,40,M,0.0,1
-29.0,2.0,40,F,0.0,1
0.0,4.0,40,M,0.0,1
-12.0,4.0,40,F,0.0,1
-25.0,5.0,40,M,20.0,1
-2.0,4.0,41,M,0.0,7
16.0,10.0,41,F,0.0,7
-12.0,7.0,41,M,31.0,7
13.0,7.0,41,M,1.0,7
3.0,4.0,41,M,0.0,1
-25.0,2.0,41,F,0.0,7
10.0,7.0,41,F,0.0,7
2.0,7.0,41,F,0.0,7
-2.0,3.0,41,F,0.0,7
-7.0,2.0,41,M,0.0,7
-7.0,9.0,41,F,20.0,7
9.0,5.0,41,F,0.0,7
-28.0,2.0,41,M,0.0,7
-19.0,3.0,41,M,0.0,7
25.0,10.0,41,F,0.0,7
3.0,10.0,41,F,20.0,7
-8.0,2.0,41,M,0.0,7
5.0,8.0,41,F,31.0,7
-10.0,2.0,41,M,0.0,7
-22.0,2.0,41,M,20.0,7
-22.0,2.0,42,F,0.0,4
6.0,3.0,42,M,0.0,2
1.0,5.0,42,F,0.0,2
7.0,4.0,42,F,0.0,2
-1.0,4.0,42,M,31.0,2
-9.0,7.0,43,F,20.0,1
-12.0,7.0,43,M,20.0,11
-6.0,7.0,44,M,20.0,2
-11.0,4.0,44,M,0.0,2
8.0,9.0,44,F,20.0,2
26.0,10.0,44,F,20.0,2
16.0,10.0,45,M,0.0,2
10.0,9.0,45,M,0.0,2
13.0,6.0,45,M,0.0,2
0.0,1.0,45,F,0.0,2
-7.0,3.0,45,M,31.0,2
7.0,6.0,45,F,0.0,2
-10.0,1.0,45,M,0.0,2
6.0,5.0,45,F,20.0,2
17.0,9.0,45,F,0.0,2
5.0,7.0,45,M,0.0,2
3.0,3.0,45,M,0.0,2
-17.0,2.0,45,M,0.0,2
-10.0,5.0,45,M,31.0,2
-2.0,3.0,45,M,0.0,2
3.0,6.0,45,M,0.0,2
9.0,10.0,45,F,0.0,2
9.0,10.0,45,F,0.0,2
-1.0,5.0,45,F,20.0,2
7.0,8.0,45,M,0.0,2
4.0,4.0,45,M,0.0,2
9.0,6.0,46,F,31.0,1
-21.0,3.0,46,M,0.0,1
-18.0,4.0,46,F,0.0,1
-30.0,5.0,46,M,0.0,1
-5.0,6.0,46,M,20.0,1
-15.0,2.0,46,F,0.0,1
-2.0,8.0,46,F,0.0,1
-30.0,2.0,46,M,0.0,1
-4.0,6.0,47,F,20.0,2
-4.0,5.0,47,F,0.0,2
-15.0,3.0,47,M,0.0,2
3.0,10.0,47,M,0.0,2
-11.0,3.0,47,M,0.0,2
7.0,9.0,47,F,20.0,2
-12.0,7.0,47,F,0.0,2
2.0,10.0,47,M,20.0,2
36.0,10.0,47,M,31.0,2
9.0,7.0,47,F,0.0,2
3.0,9.0,47,F,0.0,2
-17.0,3.0,47,F,20.0,2
-18.0,2.0,47,M,20.0,2
-14.0,4.0,47,F,0.0,2
-7.0,5.0,47,F,0.0,2
16.0,10.0,47,F,0.0,2
15.0,10.0,47,M,0.0,2
-1.0,10.0,47,M,0.0,2
10.0,10.0,47,F,20.0,2
-23.0,2.0,47,M,0.0,2
7.0,7.0,47,F,20.0,2
12.0,7.0,47,M,20.0,2
3.0,4.0,47,M,0.0,2
0.0,10.0,47,F,0.0,2
-23.0,2.0,47,M,0.0,2
4.0,6.0,47,M,0.0,2
-4.0,4.0,47,M,20.0,2
0.0,6.0,47,F,1.0,2
-2.0,9.0,47,F,0.0,2
-1.0,10.0,47,M,31.0,2
-5.0,3.0,47,M,1.0,2
-4.0,5.0,47,M,0.0,2
7.0,10.0,47,M,20.0,4
0.0,9.0,47,F,0.0,2
-12.0,5.0,47,F,20.0,2
26.0,7.0,47,F,0.0,2
3.0,9.0,47,F,0.0,2
-14.0,2.0,47,M,0.0,3
1.0,10.0,47,F,1.0,2
12.0,6.0,47,F,0.0,2
13.0,10.0,47,F,1.0,2
-11.0,3.0,47,M,0.0,2
-15.0,4.0,47,F,0.0,19
2.0,10.0,47,F,1.0,2
16.0,10.0,47,F,0.0,4
-11.0,4.0,47,F,31.0,4
22.0,10.0,47,F,1.0,2
9.0,10.0,47,F,1.0,2
-8.0,6.0,47,F,31.0,2
2.0,10.0,47,M,1.0,2
5.0,9.0,47,M,0.0,4
-2.0,7.0,47,F,1.0,2
6.0,8.0,48,F,0.0,3
9.0,10.0,48,M,20.0,3
-25.0,2.0,48,F,0.0,3
2.0,10.0,48,F,0.0,3
14.0,10.0,48,F,20.0,3
-14.0,1.0,48,F,0.0,3
-11.0,2.0,48,M,20.0,3
0.0,3.0,48,F,1.0,3
-4.0,5.0,48,M,31.0,3
-27.0,3.0,48,M,0.0,10
5.0,10.0,48,M,0.0,3
-14.0,3.0,48,M,0.0,3
24.0,10.0,48,F,1.0,3
-6.0,10.0,48,M,0.0,3
6.0,3.0,48,F,20.0,3
9.0,10.0,48,F,0.0,3
4.0,8.0,48,M,0.0,3
-1.0,10.0,48,M,20.0,3
24.0,10.0,48,M,20.0,3
1.0,9.0,48,M,0.0,3
-20.0,2.0,48,M,20.0,3
-9.0,2.0,48,M,31.0,3
-9.0,6.0,48,F,20.0,3
4.0,7.0,48,M,31.0,3
-6.0,5.0,48,M,31.0,3
3.0,10.0,49,F,31.0,2
6.0,10.0,49,F,20.0,14
-27.0,3.0,49,M,0.0,4
-10.0,9.0,49,M,20.0,4
-10.0,2.0,49,F,0.0,4
6.0,8.0,49,M,20.0,4
5.0,8.0,49,F,0.0,4
-12.0,4.0,49,F,0.0,4
-6.0,9.0,49,F,0.0,4
22.0,8.0,49,F,31.0,4
8.0,10.0,49,F,20.0,4
-12.0,10.0,49,F,1.0,14
8.0,9.0,49,M,1.0,4
-16.0,5.0,49,F,20.0,4
-30.0,4.0,49,M,0.0,4
2.0,2.0,49,M,0.0,4
1.0,10.0,49,M,20.0,11
-9.0,9.0,49,M,0.0,4
-9.0,9.0,49,F,20.0,4
2.0,9.0,49,F,0.0,4
12.0,10.0,49,F,20.0,3
-9.0,2.0,49,M,1.0,10
-7.0,2.0,49,M,0.0,3
-19.0,4.0,49,M,20.0,4
-9.0,5.0,49,M,31.0,4
2.0,6.0,49,F,31.0,4
-10.0,2.0,49,F,0.0,4
-7.0,5.0,49,F,0.0,4
-6.0,5.0,49,M,31.0,4
-18.0,6.0,49,F,0.0,4
-10.0,5.0,49,M,0.0,4
3.0,10.0,50,M,0.0,11
-2.0,7.0,50,F,0.0,3
7.0,6.0,50,M,0.0,3
5.0,8.0,50,F,0.0,3
4.0,3.0,50,M,20.0,3
-5.0,5.0,50,F,0.0,3
-21.0,2.0,50,F,0.0,3
2.0,4.0,50,M,0.0,3
5.0,3.0,50,F,20.0,3
-16.0,3.0,50,F,20.0,3
-4.0,3.0,50,M,31.0,3
-12.0,3.0,50,F,0.0,3
10.0,10.0,50,M,0.0,3
-12.0,8.0,50,F,20.0,3
-9.0,2.0,50,M,0.0,2
-5.0,7.0,50,M,0.0,3
-11.0,5.0,50,M,20.0,3
-24.0,7.0,50,F,0.0,3
1.0,5.0,50,M,0.0,3
-8.0,1.0,50,M,20.0,3
-1.0,8.0,50,M,0.0,9
2.0,10.0,50,F,0.0,3
10.0,10.0,50,M,1.0,4
-2.0,7.0,50,F,20.0,4
-8.0,4.0,50,F,20.0,3
10.0,10.0,50,M,20.0,3
-10.0,2.0,50,F,0.0,3
12.0,10.0,50,M,20.0,4
-8.0,9.0,50,F,0.0,4
3.0,8.0,50,M,0.0,4
-4.0,4.0,50,M,0.0,3
-30.0,2.0,50,F,0.0,3
0.0,5.0,50,M,0.0,4
0.0,9.0,50,F,0.0,1
-8.0,2.0,50,F,0.0,3
1.0,5.0,50,M,31.0,3
19.0,8.0,51,F,0.0,10
-8.0,2.0,51,F,0.0,10
-24.0,3.0,51,M,31.0,10
-18.0,5.0,51,M,1.0,10
12.0,10.0,51,F,1.0,10
-26.0,2.0,51,M,20.0,10
4.0,8.0,51,M,0.0,10
-9.0,2.0,51,M,31.0,10
-14.0,2.0,51,F,20.0,10
9.0,8.0,51,M,20.0,10
-1.0,3.0,51,F,0.0,10
-4.0,7.0,51,F,0.0,10
-7.0,3.0,52,M,0.0,10
-20.0,5.0,52,M,0.0,10
22.0,10.0,53,F,20.0,11
