G,Y,A,U,B
Ab,N,1,0.44,N
Ab,N,1,-0.56,N
Ac,N,3+,9.44,Y
Ac,N,0,-5.56,Y
Ac,Y,3+,12.44,Y
Ac,Y,3+,7.44,Y
Ac,N,0,-0.56,Y
Ac,Y,2,0.44,Y
Ac,Y,0,10.44,Y
Ac,N,0,-8.56,N
Ac,N,0,-13.56,N
Ac,N,0,-10.56,N
Ac,N,0,-7.56,N
Ac,N,3+,-1.56,N
Ac,N,2,-0.56,N
Ac,N,3+,11.44,N
Ac,N,0,4.44,N
Ac,N,3+,10.44,N
Ac,N,0,-4.56,N
Ac,N,0,-9.56,N
Ac,Y,0,-12.56,N
Ac,N,0,-9.56,N
Ac,Y,3+,8.44,N
Ac,N,3+,19.44,N
Ac,N,2,18.44,N
Ac,N,0,-9.56,N
Ac,N,0,-7.56,N
Ac,Y,3+,2.44,N
Ac,N,0,-11.56,N
Ac,Y,1,-8.56,N
Ac,N,1,-5.56,N
Ac,N,1,-9.56,N
Ac,N,2,-5.56,N
Ac,Y,3+,0.44,N
Ad,Y,1,-0.56,Y
Ad,Y,2,5.44,Y
Ad,Y,1,-0.56,Y
Ad,Y,3+,5.44,Y
Ad,Y,3+,8.44,Y
Ad,N,1,-6.56,Y
Ad,N,2,-3.56,Y
Ad,Y,3+,19.4399,Y
Ad,Y,2,0.44,Y
Ad,Y,3+,19.4399,Y
Ad,N,0,-8.56,Y
Ad,Y,1,-2.56,Y
Ad,Y,1,-8.56,Y
Ad,Y,1,-2.56,Y
Ad,N,0,-10.56,Y
Ad,Y,1,5.44,Y
Ad,Y,3+,11.44,N
Ad,N,0,4.44,N
Ad,Y,1,-4.56,N
Ad,N,0,3.44,N
Ad,N,0,-9.56,N
Ad,Y,3+,6.44,N
Ad,N,0,-11.56,N
Ad,Y,3+,8.44,N
Ad,Y,3+,-6.56,N
Ad,Y,3+,9.44,N
Ad,N,0,-13.56,N
Ad,Y,0,-10.56,N
Ad,N,1,-7.56,N
Ad,N,3+,6.44,N
Ad,Y,1,-1.56,N
Ad,N,3+,15.44,N
Ad,N,0,-6.56,N
Ad,Y,1,-4.56,N
Ad,N,0,-11.56,N
Ad,Y,1,-4.56,N
Ad,Y,3+,9.44,N
Ad,N,0,-11.56,N
Ad,N,1,-8.56,N
Ad,Y,3+,17.44,N
Ad,N,1,-6.56,N
Ad,N,1,-0.56,N
Ad,Y,3+,7.44,N
Ad,Y,3+,2.44,N
Ad,Y,3+,7.44,N
Ad,Y,1,8.44,N
Ad,N,0,-9.56,N
Ad,N,3+,8.44,N
Ad,N,0,-11.56,N
Ad,N,0,12.44,N
Ad,N,2,0.44,N
Ad,N,0,-10.56,N
Ad,Y,1,2.44,N
Ad,N,0,-9.56,N
Ad,N,2,0.44,N
Ad,N,0,-10.56,N
Ad,N,0,-10.56,N
Ad,N,3+,9.44,N
Ad,N,3+,17.44,N
Ad,Y,2,-0.56,N
Ad,N,1,-8.56,N
Ae,N,3+,15.44,Y
Ae,Y,0,-6.56,Y
Ae,Y,3+,0.44,Y
Ae,Y,3+,2.44,Y
Ae,N,3+,16.44,Y
Ae,N,0,-11.56,Y
Ae,N,3+,17.44,N
Ae,Y,3+,18.44,N
Ae,Y,3+,14.44,N
Ae,Y,2,-7.56,N
Ae,N,1,17.44,N
Ae,Y,1,-0.56,N
Ae,N,0,-9.56,N
Ae,N,0,-9.56,N
Ae,Y,3+,2.44,N
Ae,N,1,-2.56,N
Ae,Y,3+,3.44,N
Ae,N,3+,0.44,N
Ae,N,0,-13.56,N
Ae,N,0,-11.56,N
Ae,N,3+,10.44,N
Ae,N,3+,14.44,N
Ae,Y,2,-0.56,N
Ae,N,3+,8.44,N
Ae,N,0,-10.56,N
Ae,Y,1,-7.56,N
Ae,Y,3+,6.44,N
Ae,Y,1,-0.56,N
Ae,N,3+,18.44,N
Ae,Y,0,-10.56,N
Ae,Y,1,-9.56,N
Ae,N,3+,0.44,N
Ae,N,0,-11.56,N
Af,Y,3+,10.44,N
Af,N,0,-2.56,N
Af,N,3+,0.44,N
Af,N,2,-2.56,N
Af,N,2,-3.56,N
Af,N,3+,13.44,N
Af,Y,3+,-3.56,N
Af,N,3+,12.44,N
Af,N,3+,1.44,N
Af,N,0,-9.56,N
Af,Y,3+,-2.56,N
Af,N,3+,1.44,N
Af,Y,3+,-2.56,N
Af,N,3+,8.44,N
Af,Y,0,-11.56,N
Af,N,1,-11.56,N
Af,N,3+,-0.56,N
Af,N,0,-11.56,N
Af,N,2,4.44,N
Af,N,3+,1.44,N
Af,N,3+,5.44,N
Af,N,3+,2.44,N
Af,N,1,-9.56,N
Af,N,3+,4.44,N
Ag,N,2,4.44,Y
Ag,Y,3+,1.44,Y
Ag,Y,3+,2.44,Y
Ag,Y,1,-1.56,Y
Ag,N,1,-7.56,Y
Ag,Y,3+,5.44,Y
Ag,Y,3+,6.44,Y
Ag,N,1,-10.56,N
Ag,Y,3+,0.44,N
Ag,N,2,19.44,N
Ag,N,2,-2.56,N
Ag,N,1,-4.56,N
Ag,N,3+,18.44,N
Ag,N,2,6.44,N
Ah,Y,2,13.44,Y
Ah,N,3+,8.44,Y
Ah,Y,0,-9.56,Y
Ah,N,0,4.44,Y
Ah,N,3+,10.44,Y
Ah,Y,0,-1.56,Y
Ah,N,2,10.44,Y
Ah,N,3+,11.44,Y
Ah,N,3+,-2.56,Y
Ah,Y,0,-11.56,N
Ah,Y,1,3.44,N
Ah,Y,2,4.44,N
Ah,Y,3+,-3.56,N
Ah,Y,0,-8.56,N
Ah,N,2,8.44,N
Ah,Y,3+,8.44,N
Ah,Y,3+,4.44,N
Ah,Y,2,-3.56,N
Ah,Y,3+,8.44,N
Ah,N,2,-3.56,N
Ah,N,1,-9.56,N
Ah,Y,3+,-2.56,N
Ah,Y,3+,2.44,N
Ah,Y,2,0.44,N
Ah,N,1,4.44,N
Ah,Y,2,-7.56,N
Ah,Y,3+,11.44,N
Ah,N,0,-12.56,N
Ah,N,3+,9.44,N
Ah,Y,1,-2.56,N
Ah,Y,3+,-2.56,N
Ah,Y,2,13.44,N
Ah,Y,3+,11.44,N
Ah,Y,2,0.44,N
Ah,Y,3+,12.44,N
Ai,Y,0,0.44,Y
Ai,N,1,-10.56,Y
Ai,N,0,-6.56,Y
Ai,Y,1,-12.56,Y
Ai,N,0,-11.56,Y
Ai,N,1,-9.56,Y
Ai,N,2,-10.56,Y
Ai,N,2,6.44,Y
Ai,Y,0,-6.56,Y
Ai,Y,3+,-5.56,Y
Ai,Y,3+,-0.56,Y
Ai,N,3+,17.44,Y
Ai,Y,1,-0.56,Y
Ai,Y,1,-0.56,Y
Ai,Y,0,2.44,Y
Ai,N,1,6.44,Y
Ai,Y,2,-6.56,Y
Ai,Y,2,9.44,Y
Ai,Y,3+,4.44,Y
Ai,N,0,-13.56,Y
Ai,N,3+,5.44,N
Ai,N,2,-7.56,N
Ai,N,3+,3.44,N
Ai,N,2,-6.56,N
Ai,N,1,-13.56,N
Ai,N,3+,-0.56,N
Ai,N,3+,6.44,N
Ai,Y,3+,18.44,N
Ai,Y,3+,3.44,N
Ai,Y,0,-7.56,N
Ai,Y,3+,-2.56,N
Ai,Y,1,-2.56,N
Ai,Y,3+,-8.56,N
Ai,Y,2,-0.56,N
Ai,N,2,4.44,N
Ai,Y,3+,1.44,N
Ai,Y,2,12.44,N
Ai,N,1,-6.56,N
Ai,Y,2,10.44,N
Ai,N,0,-11.56,N
Ai,Y,2,-6.56,N
Ai,N,3+,5.44,N
Ai,Y,3+,10.44,N
Ai,N,3+,2.44,N
Ai,Y,3+,14.44,N
Ai,N,1,-9.56,N
Ai,N,3+,16.44,N
Ai,N,0,16.44,N
Aj,N,3+,12.44,Y
Aj,Y,2,-4.56,Y
Aj,N,0,-10.56,Y
Aj,N,0,-8.56,N
Aj,N,2,-0.56,N
Aj,Y,2,-2.56,N
Aj,Y,2,-3.56,N
Aj,N,1,5.44,N
Aj,N,3+,19.44,N
Aj,N,3+,1.44,N
Aj,Y,3+,3.44,N
Aj,N,3+,1.44,N
Aj,N,3+,2.44,N
Aj,N,1,-9.56,N
Aj,N,1,-7.56,N
Aj,Y,1,4.44,N
Aj,Y,1,-5.56,N
Ak,Y,1,1.44,N
Ak,N,3+,5.44,N
Ak,Y,2,-4.56,N
Ak,Y,3+,18.44,N
Ak,Y,2,-2.56,N
Ak,Y,2,-3.56,N
Ak,Y,0,-9.56,N
Ak,Y,3+,9.44,N
Ak,N,1,-6.56,N
Ak,N,0,-13.56,N
Ak,N,3+,3.44,N
Ak,N,3+,16.44,N
Ak,N,3+,10.44,N
Al,Y,3+,8.44,Y
Al,N,3+,15.44,Y
Al,Y,3+,-1.56,Y
Al,Y,3+,15.44,Y
Al,Y,3+,9.44,Y
Al,N,0,-6.56,Y
Al,N,1,19.44,Y
Al,N,3+,19.44,N
Al,N,3+,0.44,N
Al,N,0,-12.56,N
Al,N,3+,16.44,N
Al,N,3+,17.44,N
Al,N,3+,16.44,N
Al,N,0,-9.56,N
Am,N,3+,4.44,Y
Am,Y,1,-10.56,Y
Am,N,3+,8.44,N
Am,N,3+,14.44,N
Am,Y,0,-1.56,N
Am,Y,0,-10.56,N
Am,Y,2,-1.56,N
Am,Y,0,-7.56,N
Am,Y,1,-0.56,N
Am,Y,2,-1.56,N
Am,N,0,-6.56,N
Am,Y,3+,10.44,N
Am,N,3+,5.44,N
Am,N,0,-4.56,N
Am,N,0,-11.56,N
Am,Y,0,-10.56,N
Am,N,3+,13.44,N
Am,N,3+,8.44,N
Am,Y,2,12.44,N
Am,N,0,-13.56,N
Am,N,3+,-7.56,N
Am,Y,3+,-8.56,N
Am,N,0,-7.56,N
Am,N,3+,19.44,N
Am,Y,0,3.44,N
Am,Y,3+,7.44,N
An,N,2,2.44,Y
An,N,3+,2.44,Y
An,N,3+,1.44,Y
An,N,0,-12.56,Y
An,Y,0,-4.56,Y
An,Y,0,-3.56,Y
An,N,0,-10.56,Y
An,Y,3+,10.44,Y
An,N,0,-7.56,Y
An,Y,3+,3.44,Y
An,Y,1,-3.56,Y
An,N,0,-9.56,Y
An,Y,0,0.44,Y
An,Y,2,5.44,Y
An,Y,3+,1.44,Y
An,N,3+,10.44,Y
An,N,3+,11.44,Y
An,Y,0,-8.56,Y
An,Y,3+,4.44,Y
An,N,0,5.44,Y
An,Y,1,-1.56,Y
An,Y,0,12.44,Y
An,N,1,-8.56,Y
An,N,0,4.44,Y
An,N,0,-11.56,Y
An,Y,2,-1.56,Y
An,N,1,11.44,Y
An,N,3+,15.44,Y
An,Y,1,-5.56,Y
An,N,3+,4.44,N
An,Y,3+,5.44,N
An,Y,3+,0.44,N
An,N,3+,19.44,N
An,Y,3+,0.44,N
An,N,0,-4.56,N
An,N,3+,13.44,N
An,N,3+,14.44,N
An,Y,3+,17.44,N
An,Y,0,-10.56,N
An,N,3+,-4.56,N
An,N,3+,12.44,N
Ao,N,3+,6.44,Y
Ao,N,3+,6.44,Y
Ao,N,0,6.44,Y
Ao,N,1,1.44,N
Ao,Y,3+,13.44,N
Ao,Y,3+,10.44,N
Ao,Y,2,-4.56,N
Ao,Y,0,-8.56,N
Ao,Y,3+,0.44,N
Ao,N,3+,2.44,N
Ao,N,3+,-0.56,N
Ao,Y,3+,7.44,N
Ao,N,3+,12.44,N
Ao,N,2,-7.56,N
Ao,Y,1,-1.56,N
Ao,N,1,11.44,N
Ao,Y,2,-2.56,N
Ao,Y,0,-3.56,N
Ao,N,0,-12.56,N
Ao,Y,2,-0.56,N
Ao,N,1,-5.56,N
Ao,N,2,-1.56,N
Ao,Y,1,5.44,N
Ao,N,1,-6.56,N
Ao,Y,3+,8.44,N
Ao,Y,1,-9.56,N
Ap,N,1,-7.56,Y
Ap,Y,1,-2.56,Y
Ap,N,0,-13.56,Y
Ap,N,1,0.44,Y
Ap,N,1,-0.56,Y
Ap,N,0,-10.56,N
Ap,Y,2,9.44,N
Ap,Y,3+,11.44,N
Ap,Y,1,1.44,N
Ap,Y,3+,16.44,N
Ap,Y,1,-1.56,N
Aq,N,0,1.44,Y
Aq,Y,0,-6.56,Y
Aq,Y,1,-0.56,Y
Aq,N,2,3.44,Y
Aq,N,3+,0.44,Y
Aq,Y,2,5.44,Y
Aq,N,0,6.44,Y
Aq,Y,2,2.44,Y
Aq,Y,2,-2.56,Y
Aq,N,1,-0.56,Y
Aq,Y,0,-11.56,Y
Aq,N,3+,17.44,Y
Aq,Y,1,2.44,Y
Aq,N,2,-8.56,Y
Aq,Y,1,-0.56,Y
Aq,Y,3+,11.44,Y
Aq,Y,0,-12.56,Y
Aq,Y,1,0.44,N
Aq,Y,1,-3.56,N
Aq,N,0,0.44,N
Aq,N,0,-13.56,N
Aq,Y,1,-5.56,N
Aq,N,2,-2.56,N
Aq,Y,0,-9.56,N
Aq,Y,1,-10.56,N
Aq,N,0,-12.56,N
Aq,Y,3+,12.44,N
Aq,N,1,-8.56,N
Aq,N,0,-10.56,N
Aq,Y,3+,-5.56,N
Aq,Y,3+,6.44,N
Aq,N,3+,18.44,N
Aq,N,3+,13.44,N
Aq,N,0,-1.56,N
Aq,Y,0,-10.56,N
Aq,N,0,-13.56,N
Aq,N,0,-13.56,N
Aq,Y,3+,12.44,N
Aq,Y,2,-4.56,N
Aq,Y,2,-6.56,N
Aq,N,1,0.44,N
Aq,Y,3+,17.44,N
Aq,N,0,-11.56,N
Aq,Y,3+,10.44,N
Aq,N,0,-0.56,N
Ar,N,0,-7.56,N
Ar,N,3+,13.44,N
Ar,Y,3+,16.44,N
Ar,N,3+,0.44,N
Ar,N,3+,5.44,N
Ar,N,3+,2.44,N
Ar,N,0,-0.56,N
Ar,N,3+,7.44,N
Ar,Y,2,1.44,N
Ar,N,0,-3.56,N
Ar,N,3+,13.44,N
Ar,N,0,-13.56,N
Ar,Y,1,-1.56,N
Ar,N,0,-0.56,N
Ar,Y,2,1.44,N
Ar,N,3+,1.44,N
Ar,N,0,-10.56,N
Ar,N,1,-6.56,N
Ar,N,1,-4.56,N
Ar,N,0,18.44,N
Ar,Y,2,16.44,N
Ar,N,2,7.44,N
Ar,N,0,-10.56,N
Ar,N,2,-2.56,N
Ar,N,1,-4.56,N
Ar,Y,2,-3.56,N
Ar,N,3+,-5.56,N
As,Y,1,10.44,Y
As,N,0,-7.56,Y
As,Y,2,-6.56,Y
As,Y,2,-2.56,Y
As,Y,1,-9.56,Y
As,Y,1,-10.56,N
As,N,3+,11.44,N
As,N,1,-10.56,N
As,N,3+,1.44,N
As,N,0,10.44,N
As,N,2,0.44,N
As,N,2,-3.56,N
As,N,2,19.44,N
As,N,3+,17.44,N
As,N,2,-8.56,N
As,N,1,-6.56,N
As,Y,1,4.44,N
As,Y,1,1.44,N
As,N,0,-9.56,N
As,N,1,-6.56,N
As,N,2,4.44,N
As,Y,3+,-0.56,N
As,N,1,-6.56,N
As,N,0,-13.56,N
As,N,2,-8.56,N
As,N,1,-6.56,N
As,Y,3+,-0.56,N
As,Y,3+,-2.56,N
As,N,2,-11.56,N
As,Y,3+,10.44,N
As,N,1,-4.56,N
As,N,2,-4.56,N
As,Y,3+,-1.56,N
As,N,0,-1.56,N
As,N,0,-12.56,N
As,Y,1,-10.56,N
As,N,3+,1.44,N
As,N,3+,5.44,N
As,N,0,-12.56,N
At,Y,3+,13.44,Y
At,Y,3+,7.44,Y
At,Y,1,7.44,Y
At,Y,1,-1.56,Y
At,Y,1,-8.56,Y
At,N,0,-8.56,Y
At,Y,3+,-0.56,Y
At,N,2,0.44,Y
At,N,0,-10.56,Y
At,Y,3+,7.44,Y
At,N,2,3.44,Y
At,Y,1,0.44,Y
At,N,3+,8.44,N
At,Y,2,0.44,N
At,Y,1,-11.56,N
At,N,2,-9.56,N
At,Y,2,-3.56,N
At,N,3+,10.44,N
At,Y,2,-1.56,N
At,N,3+,15.44,N
At,Y,2,0.44,N
At,Y,0,-10.56,N
At,N,3+,-5.56,N
At,Y,2,-3.56,N
At,N,0,-11.56,N
At,Y,3+,4.44,N
At,Y,1,-2.56,N
At,N,1,-6.56,N
At,Y,3+,7.44,N
At,N,0,0.44,N
At,N,3+,2.44,N
At,Y,3+,-2.56,N
At,N,0,-4.56,N
At,N,1,-5.56,N
At,N,3+,9.44,N
At,Y,1,-10.56,N
At,N,0,-11.56,N
At,N,2,3.44,N
At,Y,3+,-2.56,N
At,Y,3+,6.44,N
At,N,0,-4.56,N
At,Y,2,-2.56,N
At,N,3+,16.44,N
At,Y,0,-7.56,N
At,N,3+,16.44,N
At,Y,0,-5.56,N
At,Y,0,-12.56,N
At,Y,2,2.44,N
At,Y,3+,-5.56,N
At,Y,3+,-0.56,N
At,N,1,-2.56,N
At,Y,3+,7.44,N
At,Y,0,-12.56,N
At,Y,3+,2.44,N
At,N,3+,15.44,N
At,Y,0,-7.56,N
At,N,3+,8.44,N
At,Y,3+,6.44,N
At,Y,1,-2.56,N
At,Y,3+,1.44,N
At,Y,1,-6.56,N
At,Y,2,-3.56,N
At,N,3+,17.44,N
At,Y,2,-0.56,N
At,N,2,5.44,N
At,N,0,-11.56,N
At,N,3+,-3.56,N
At,Y,0,-12.56,N
At,Y,2,17.44,N
At,Y,1,13.44,N
At,N,0,-9.56,N
At,Y,3+,6.44,N
At,N,0,-7.56,N
At,N,0,-9.56,N
At,N,3+,18.44,N
At,N,3+,3.44,N
At,N,1,-12.56,N
At,N,0,-11.56,N
At,Y,2,-0.56,N
At,N,0,-4.56,N
At,N,2,2.44,N
At,Y,3+,0.44,N
At,N,3+,0.44,N
At,N,0,6.44,N
At,N,3+,8.44,N
At,N,2,-0.56,N
Au,Y,2,-0.56,Y
Au,Y,3+,12.44,Y
Au,N,0,1.44,Y
Au,N,0,-11.56,Y
Au,N,0,-6.56,Y
Au,Y,2,8.44,Y
Au,N,3+,16.44,N
Au,Y,3+,1.44,N
Au,Y,3+,6.44,N
Au,N,0,-9.56,N
Au,N,2,8.44,N
Au,Y,3+,8.44,N
Au,Y,0,8.44,N
Au,N,3+,9.44,N
Au,N,1,17.44,N
Av,Y,2,1.44,Y
Av,Y,2,-1.56,Y
Av,N,1,-4.56,Y
Av,Y,3+,4.44,Y
Av,N,2,-5.56,Y
Av,N,0,17.44,Y
Av,N,3+,16.44,Y
Av,Y,1,-6.56,Y
Av,Y,0,-12.56,Y
Av,Y,3+,2.44,Y
Av,Y,0,-5.56,Y
Av,N,3+,13.44,Y
Av,N,0,-11.56,Y
Av,Y,1,-0.56,Y
Av,N,3+,9.44,Y
Av,Y,0,-7.56,Y
Av,Y,2,-0.56,N
Av,N,1,-10.56,N
Av,N,3+,15.44,N
Av,N,0,-13.56,N
Av,N,2,14.44,N
Av,N,0,-12.56,N
Av,Y,3+,12.44,N
Av,Y,2,3.44,N
Av,N,0,-0.56,N
Av,Y,3+,-1.56,N
Av,Y,2,0.44,N
Av,Y,3+,11.44,N
Av,Y,2,2.44,N
Av,N,3+,17.44,N
Av,N,0,-11.56,N
Av,Y,1,-4.56,N
Av,Y,1,-4.56,N
Av,Y,0,-10.56,N
Av,Y,1,5.44,N
Av,Y,1,14.44,N
Av,N,2,-0.56,N
Av,Y,1,-5.56,N
Av,N,0,-4.56,N
Av,N,0,-9.56,N
Av,N,0,-4.56,N
Av,N,1,0.44,N
Aw,N,0,-12.56,N
Aw,N,0,-9.56,N
Aw,N,0,-10.56,N
Aw,N,3+,2.44,N
Ax,Y,3+,4.44,Y
Ax,Y,3+,7.44,Y
Ax,Y,3+,9.44,Y
Ax,Y,0,-12.56,Y
Ax,Y,3+,1.44,N
Ax,N,3+,3.44,N
Ax,N,3+,8.44,N
Ax,N,0,-8.56,N
Ax,Y,3+,6.44,N
Ax,N,2,0.44,N
Ax,Y,0,-7.56,N
Ax,N,0,-6.56,N
Ax,N,0,-10.56,N
Ax,N,0,-8.56,N
Ax,N,0,-12.56,N
Ax,N,2,9.44,N
Ax,Y,3+,15.44,N
Ax,Y,3+,0.44,N
Ax,N,0,-9.56,N
Ay,N,3+,-1.56,Y
Ay,N,3+,6.44,Y
Ay,Y,2,-6.56,Y
Ay,Y,3+,-3.56,Y
Ay,N,3+,-6.56,Y
Ay,Y,3+,1.44,Y
Ay,Y,3+,1.44,Y
Ay,N,1,-11.56,Y
Ay,Y,1,-12.56,Y
Ay,Y,0,-10.56,Y
Ay,Y,3+,-1.56,Y
Ay,N,3+,12.44,Y
Ay,Y,1,-7.56,Y
Ay,N,0,-0.56,Y
Ay,Y,1,-11.56,Y
Ay,Y,0,-6.56,Y
Ay,N,0,-12.56,Y
Ay,N,3+,12.44,N
Ay,N,3+,8.44,N
Ay,N,0,-12.56,N
Ay,Y,1,-7.56,N
Ay,N,1,-3.56,N
Ay,N,0,-11.56,N
Ay,N,1,-1.56,N
Ay,N,3+,-4.56,N
Ay,Y,3+,12.44,N
Ay,N,3+,10.44,N
Ay,Y,3+,4.44,N
Ay,Y,1,-8.56,N
Ay,N,2,-7.56,N
Ay,Y,1,-7.56,N
Ay,N,3+,-1.56,N
Ay,Y,1,-5.56,N
Ay,Y,2,-1.56,N
Ay,N,3+,17.44,N
Ay,N,0,-9.56,N
Ay,N,2,-7.56,N
Az,N,1,-9.56,Y
Az,N,0,-2.56,Y
Az,N,1,-11.56,Y
Az,N,1,-9.56,Y
Az,N,0,-12.56,Y
Az,Y,2,2.44,Y
Az,N,0,-12.56,Y
Az,N,3+,8.44,Y
Az,Y,1,-3.56,Y
Az,N,0,-11.56,Y
Az,Y,3+,14.44,Y
Az,N,1,-6.56,Y
Az,N,1,-12.56,Y
Az,N,0,1.44,Y
Az,Y,1,4.44,Y
Az,Y,0,-12.56,Y
Az,N,1,-8.56,Y
Az,N,3+,10.44,Y
Az,N,0,-10.56,Y
Az,Y,1,-6.56,N
Az,N,1,-5.56,N
Az,Y,0,-13.56,N
Az,Y,1,-9.56,N
Az,N,0,-10.56,N
Az,N,3+,14.44,N
Az,Y,3+,3.44,N
Az,Y,0,-13.56,N
Az,N,1,-7.56,N
Az,N,3+,-3.56,N
Az,N,2,-0.56,N
Az,N,3+,-2.56,N
Az,N,3+,-3.56,N
Az,N,0,-7.56,N
Az,N,1,-1.56,N
Az,N,3+,13.44,N
Az,Y,1,-6.56,N
Az,Y,3+,4.44,N
Az,Y,3+,10.44,N
Az,N,1,-6.56,N
Az,N,1,-8.56,N
Az,N,0,-11.56,N
Az,N,3+,6.44,N
Az,N,3+,19.44,N
Az,Y,3+,6.44,N
Az,Y,1,-9.56,N
Az,Y,3+,14.44,N
Az,Y,3+,3.44,N
Az,Y,0,-9.56,N
Az,Y,3+,14.44,N
Az,Y,3+,6.44,N
Az,N,3+,19.44,N
Az,N,0,-5.56,N
Az,Y,3+,11.44,N
Az,Y,3+,10.44,N
Az,Y,3+,2.44,N
Az,N,3+,6.44,N
Az,Y,0,-7.56,N
Az,Y,3+,4.44,N
Az,N,0,-12.56,N
Az,Y,3+,1.44,N
Az,Y,1,2.44,N
BA,Y,3+,19.44,Y
BA,N,0,-9.56,Y
BA,N,0,10.44,Y
BA,N,1,-11.56,Y
BA,N,3+,6.44,Y
BA,Y,3+,13.44,Y
BA,Y,2,4.44,Y
BA,Y,2,0.44,Y
BA,N,1,-5.56,Y
BA,N,3+,0.44,Y
BA,N,0,17.44,Y
BA,Y,1,-7.56,Y
BA,N,0,-0.56,Y
BA,N,2,-0.56,Y
BA,Y,3+,0.44,Y
BA,N,0,-1.56,Y
BA,Y,3+,1.44,Y
BA,N,2,-6.56,Y
BA,Y,0,-9.56,Y
BC,N,3+,6.44,Y
BC,Y,0,-1.56,Y
BC,N,3+,4.44,Y
BC,N,1,2.44,Y
BC,N,2,13.44,Y
BC,N,1,6.44,Y
BD,Y,3+,13.44,Y
BD,Y,0,-9.56,Y
BD,N,0,-9.56,Y
BD,N,0,-12.56,Y
BD,N,1,-10.56,Y
BD,Y,1,6.44,Y
BD,Y,0,-3.56,Y
BD,Y,2,0.44,Y
BD,Y,0,-7.56,Y
BD,N,1,5.44,Y
BD,Y,0,-8.56,Y
BD,Y,3+,9.44,Y
BD,N,1,-11.56,Y
BD,N,3+,16.44,Y
BD,N,3+,16.44,Y
BD,N,3+,8.44,Y
BD,Y,3+,9.44,Y
BD,Y,0,-9.56,Y
BD,Y,1,-7.56,Y
BD,Y,3+,5.44,Y
BD,Y,1,-7.56,Y
BD,Y,2,1.44,N
BD,Y,1,10.44,N
BD,N,3+,3.44,N
BD,N,3+,15.44,N
BD,N,3+,-0.56,N
BD,N,0,-12.56,N
BD,Y,1,-8.56,N
BD,Y,0,-2.56,N
BD,Y,1,-1.56,N
BD,N,2,-1.56,N
BD,Y,3+,17.44,N
BD,N,0,-11.56,N
BD,Y,2,1.44,N
BD,Y,0,-13.56,N
BD,N,3+,5.44,N
BD,N,0,-11.56,N
BD,Y,1,-4.56,N
BD,N,0,-8.56,N
BD,Y,3+,12.44,N
BD,Y,0,-8.56,N
BD,N,0,-8.56,N
BD,Y,3+,9.44,N
BD,N,0,-10.56,N
BD,Y,2,-2.56,N
BE,N,1,-0.56,Y
BE,Y,3+,4.44,Y
BE,N,3+,3.44,Y
BE,N,3+,17.44,Y
BE,Y,1,3.44,N
BE,N,3+,0.44,N
BE,N,3+,18.44,N
BE,N,3+,2.44,N
BE,Y,3+,3.44,N
BE,N,1,-1.56,N
BE,N,0,-9.56,N
BE,N,3+,14.4399,N
BE,N,0,-6.56,N
BE,Y,3+,18.44,N
BE,N,3+,-1.56,N
BE,N,2,2.44,N
BE,N,1,0.44,N
BE,N,0,-5.56,N
BE,N,3+,10.44,N
BE,N,0,-7.56,N
BE,N,3+,-1.56,N
BE,N,0,-6.56,N
BE,Y,2,5.44,N
BE,N,0,-9.56,N
BE,N,0,-9.56,N
BE,N,3+,6.44,N
BE,N,0,-6.56,N
BF,N,0,4.44,Y
BF,Y,3+,16.44,Y
BF,N,0,-11.56,Y
BF,N,0,-9.56,Y
BF,Y,1,0.44,Y
BF,N,3+,19.44,Y
BF,N,3+,19.44,Y
BF,N,3+,0.44,Y
BF,Y,3+,3.44,Y
BF,N,1,3.44,Y
BF,Y,3+,14.44,Y
BF,N,3+,17.44,Y
BF,N,2,-7.56,Y
BF,Y,0,-8.56,N
BF,N,1,-6.56,N
BF,Y,3+,18.44,N
BF,Y,3+,15.44,N
BF,N,3+,15.44,N
BF,Y,0,-8.56,N
BF,Y,0,-9.56,N
BF,Y,2,-1.56,N
BF,Y,2,1.44,N
BF,N,0,-11.56,N
BF,N,0,-12.56,N
BF,N,0,-7.56,N
BF,N,1,-3.56,N
BF,N,2,-8.56,N
BF,N,0,-0.56,N
BF,N,2,10.44,N
BF,Y,1,-5.56,N
BF,Y,2,-5.56,N
BF,Y,0,-2.56,N
BF,Y,1,3.44,N
BG,N,1,-9.56,N
BG,N,3+,2.44,N
BG,N,2,-10.56,N
BG,N,3+,10.44,N
BG,N,0,-12.56,N
BG,Y,2,-8.56,N
BG,N,0,-12.56,N
BG,N,1,-8.56,N
BG,N,3+,11.44,N
BG,N,3+,4.44,N
BH,N,0,-13.56,Y
BH,N,3+,10.44,Y
BH,N,0,-7.56,Y
BH,N,0,10.44,Y
BH,Y,0,-8.56,Y
BH,Y,3+,6.44,Y
BH,N,0,-8.56,Y
BH,N,1,-8.56,Y
BH,Y,3+,-1.56,Y
BH,N,2,-3.56,Y
BH,N,3+,4.44,N
BH,Y,1,-7.56,N
BH,N,1,17.44,N
BH,N,3+,2.44,N
BH,N,2,0.44,N
BH,Y,2,-0.56,N
BH,N,3+,7.44,N
BH,N,0,-3.56,N
BH,Y,2,2.44,N
BH,N,0,-10.56,N
BH,N,0,-13.56,N
BH,N,3+,0.44,N
BH,N,1,-4.56,N
BH,N,0,-11.56,N
BH,N,0,-9.56,N
